#word,meaning,option1,option2,option3
低估,underestimate,reasoning,to estimate,unexpectedly
想象中的,imaginary,to forge,faking a modern object as an ancient one,set up a stall
信任,credence,prudence,pretence,cadence
药丸,pill,mile,ill,fill
为…作证,witness,fitness,waitress,modernize
每季,quarterly,springtime,annual,every year
目标,objective,subjective,objection,adjective
永久,perennially,frigid,short,all day long
延长,extended,unleash,rise suddenly and sharply,manage
移置,displace,disgrace,displease,misplace
遗传,genetic,genesis,genetics,emetic
瞥见,glimpse,peep,supercilious look,keep watch
差异,diversity,diversify,adversity,university
迷人,glamorous,amorous,hateful,extensive
推动力,impetus,impious,impetuous,ingenuity
长出,sprout,pout,spout,shroud
（液体、气体）流,current,recurrent,currant,urgent
溶液,solution,pollution,isolation,locution
爆米花,popcorn,rice with meat and vegatables,vegetables,plain cooked rice
丰富,abundance,abundant,appreciation,additional
星际,interstellar,sun,blazing sun,planet
副产品,by-product,staple,specialty,output
分期付款,installment,mortgage,repay,installment
缺席者,absentee,absence,absent,unaffected
焚香的烟,incense,incise,intense,license
企业家,entrepreneur,creator,politician,musician
废弃,obsolete,absolute,oblivion,forfeit
使混乱,jumble,humble,gamble,rubble
保证,pledge,sledge,lodge,ledge
限制,circumscribe,hinder,blockage,sanctions
闹剧,farce,face,pace,hare
弹力,elasticity,strength,electricity,a nation's power
合不来的,incompatible,zoologist,shine,glaze
使粉碎,shatter,spatter,scatter,chapter
命令,mandatory,congregation,remote control,ostentation
节约,economize,economics,economist,economic
(陪审团的)裁决,verdict,edict,verdant,isthmus
剧团,troupe,tripe,grouse,truce
摸索,grope,role,mope,robe
贫民,pauper,pamper,caper,paper
（电）阳极的,positive,position,punitive,disqualify
出卖,betray,stray,bray,astray
脆弱,fragility,steady,abide by the law and behave oneself,silly
无声息的,breathless,mannerism,placate,diatribe
楼梯,staircase,the Long Corridor at Yi He Yuan,gallery,courtyard
酸的,sour,door,boar,soft
原始,primordial,spare time,inappropriate,first
一群,pack,pick,smack,puck
接受者,recipient,incipient,customer,uninvited or unexpected guest
现象,phenomena,spectacle,panoramic view,vista
耗尽,deplete,replete,delete,depute
考虑周到,considerate,careful,weight,tolerant
感知,perceive,receive,perceptive,deceive
交迭（的）,overlapping,report,chirp,exigency
石工,stonemason,labor,actor,dressmaker
中世纪的,medieval,medical,mediaeval,come
沟壑,ravine,ravage,famine,rainy
(权力、级别或地位)至高的,supreme,spree,tortoise,audit
上瘾的人,addict,indict,adrift,admit
暗示,imply,timely,apply,simply
大批,array,bray,affray,away
工业,industrial,telecommunications,business,transport
模仿,impersonate,study,major,to study abroad
不幸,distress,mistress,stress,listless
有神论者,theist,anus,crater,washstand
芳香,balmy,palmy,balm,tally
挥霍,prodigious,propitious,to squander,extract
实用性,practicality,independent character,security,direction
促使事情发展的因素,catalyst,analyst,cataclysm,riotous
开始,initiate,initiative,vitiate,initial
释义,paraphrase,punctuation,postscript,introduction
禁止,prohibitive,visa,to ratify,check out 
痛苦,affliction,affection,deep sorrow,sorrowful
令人敬畏,formidable,pitiful,nasty,moving
生活福利设施,amenity,amity,energy,treaty
指示,indicate,vindicate,intimate,indicator
偏见,bias,beam,bite,brash
高原,tableland,circular,latch,explore
插入,insert,desert,invert,intern
提神之事物,refreshment,flow,staple,into
显著,markedly,official,at the back,nondescript
费时间的,time-consuming,sectarian,and,collate
威严,impressive,impression,impassive,oppressive
爱国,patriotic,patriotism,patriot,universal fraternity
坚持（意见）,cling,clink,along,clang
插入,embed,embody,ember,bed
大步,stride,strive,bride,stripe
最里面的,innermost,pavement,main,drive
流行,popular,poplar,jocular,copula
豹,leopard,leopard,lion,tiger
独立,discrete,discreet,personally,along
学分,credit,accredit,creditor,edit
洗牌,shuffle,scuffle,snuffle,ruffle
项目,project,protect,product,protest
可塑性,malleability,suitability,sensibility,flexibility
树叶,foliage,voltage,forage,evaporate
制止物,deterrent,detergent,incoherent,misspend
租金,rent,wage,taxation,tariff
不在,absent,assent,asset,ascent
油脂,grease,crease,greasy,graze
包住,encase,ease,case,enclave
相关,relevance,have nothing to do with,mention,oblivion
布鲁斯音乐,blues,online,illness,BC
机理,mechanism,mechanic,mechanics,mechanize
附近,vicinity,divinity,outlying,sunset
松鼠,squirrel,quarrel,mole,kangaroo
半透明的,translucent,terrible,magic,gallows
栩栩如生,lively,likely,livery,timely
破产,bankruptcy,bankrupt,collapse,success
公正,justly,conservative,advanced,lag 
受人欢迎,acclaimed,lusty,chase,entertain
脉搏,pulse,purse,yule,nurse
惯用,idiomatic,idiotic,axiomatic,be applicable
展览,exhibit,to drink as the result of having lost a bet,art exhibition,to appreciate
细菌,germ,seam,here,warm
除了…（还有）,besides,betimes,beside,reside
沼泽,swampy,lawn,North America,open land
推荐,recommendation,urge again and again,recommend ,appear 
先驱,precursor,the earliest ancestor,pioneer,people
传染性的,infectious,infection,epoch,dethrone
策略,maneuver,republic,patriotism,racism
鼓舞,stimulation,to place,excited,hinder
退休,retirement,refinement,conceited,to be responsible for 
哭泣,weep,week,reap,yelp
狭窄,confining,to be full of,moving,trenchant
玻璃器具,glassware,symbolic,obedient,pinafore
药方,prescription,folk remedy,label,leather belt
可渗透的,porous,proud,amorous,pompous
自传,autobiographical,prose,book,biography
可靠性,reliability,signify,disband,realty
刺激,stimulus,hinder,impose by force,spoil things through excessive enthusiasm
（四边形的厚物质）板,slab,dab,soar,blab
虚假,artificial,not just in name only, but also in reality,reality,completely
刺绣,embroidery,embroider,patch,taut
有鳞状斑点的,scaled,actor,dandy,bronze
妨碍,impede,impose,impure,impel
加速,accelerating,consolidate,with a wavy motion ,to bring forward
激进,radical,medical,rascal,racial
补偿,compensation,appreciation,to cheer sb. on,natural selection
有趾,toed,song,her,shepherd
无助,helpless,heedless,selfless,a land swarming with disaster victims
牛仔,cowhand,martyr,coward,cause someone to
反复说,iterate,irate,literate,berate
缝被子的人,quilter,boost,sparrow,filial
妥协,compromise,comprise,to make peace,tame
腾出,vacate,palate,agate,vacant
交替,alternate,alternator,alienate,head wind
分派,dispatch,despatch,split,incorporate in
传粉媒介,pollinator,canary,escape,bonus
教练,coach,couch,cock,poach
比例,proportion,promotion,growth rate,percentage
代替者,substitute,wriggle,fluke,oak
会计员,accountant,a cadre ,clerk,to immigrate
桂冠,laurels,trophy,controversy,contradictory
表面,facade,fade,decade,parade
异常,exceptional,to share,least,many
使晕倒,stun,spur,shin,stet
预兆,portend,portent,potent,contend
能力,capacity,capacitor,calamity,sagacity
掐,pinch,punch,pouch,spinach
不遵照传统生活的,nontraditional,maintain,washroom,canter
降下,descent,ascent,decent,descend
修改,modify,codify,mollify,bodily
类似,comparable,compatible,to resemble,solemn
偿还,reimburse,to give change,send back,lend
显著,remarkable,reparable,faint,broadly 
宇宙飞船,spacecraft,plane,airplane,glider
上升,ascent,ardent,scene,scent
厌倦,weary,wary,weird,wear
校正,proofread,alter,do up,order of arrangement
顺从,pliant,to violate,unconstitutional,against ones will or feelings
有治疗作用的,healing,kneecap,context,tangent
仙人掌,cacti,cuckoo,rose,lilac
殖民地,colony,crony,colon,ecology
估计,reckon,region,beckon,rector
敌对,hostile,jostle,hospice,hostage
造反,rebellious,rebellion,proper,think sth not worth doing
同等,equality,quality,equity,equalize
渡船,ferry,berry,very,fear
感伤性的,sentimental,slice,expel,nag
预制,prefabricated,divorce oneself from the masses and from reality and act blindly,homemade,to make a copy of
疏忽,neglect,select,deflect,elect
柳树,willow,mellow,fallow,widow
备忘录,memo,mama,mess,hero
多边形,polygon,polyglot,terrain,triangle
操作,manipulate,to operate,diction,abuse
教,instruct,construct,instructor,instinct
气候上的,climatic,climate,thaw,blockade
不公平,injustice,justice,ditch,chancy
监测,monitor,motor,monster,mentor
认知,cognitive,do not understand a certain thing,take notice of,to admire
称赞,acclaim,reclaim,declaim,exclaim
机械化的,mechanized,lodestar,educate,apple
雨量非常少的,semiarid,instil,active,fall
不可预知,unpredictable,list,menopause,dissonant
悬念,suspense,dispense,suspender,suspend
宣布,declaration,congregation,give somebody a task,give an order
青铜,bronze,booze,broke,drone
积极,energetic,proficient,make nothing of hardships,passive
杰出,outstanding,a common occurrence,despicable,exceptional
夷为平地,raze,rage,aye,rake
装运,shipment,transport,to book or check through ,to transport
限制,confinement,hinder,limit to,exert 
简洁,concise,connive,contuse,confide
流行性感冒,influenza,influence,malaria,to shade
自然,spontaneously,how about,would rather ,not as good as
达到高潮|顶点,culminate,fulminate,cultivate,ruminate
（使）爆裂,crack,clack,track,crock
遗传,heredity,hereditary,herewith,hereditary
使尴尬,embarrass,cornea,colloquy,abend
踢马刺,spur,spy,sour,tour
争论,controversy,argue over,libel,plead innocence
维护,uphold,behold,hold,unfold
把…排除在外,exclude,elude,excuse,explode
聚集,cluster,fluster,clutter,bluster
巨大,colossal,colossus,colonial,slight
徒劳,fruitlessly,worthless,convenient,inappropriate
伤感,sentimentalize,mournful,prostrate oneself,mixed feelings of grief and joy
杀虫剂,pesticide,amoeba,root of herbaceous peony ,medicine
鱼鹰,osprey,shrike,partridge,parrot
打开,unfold,unload,untold,enfold
无神论者,atheist,theism,attest,socialist
研究生助教奖学金,assistantship,ruthless,straiten,axle
（门窗等）微开的,ajar,liar,alas,afar
遗传学,genetics,genetic,genesis,kinetics
意识形态,ideology,geology,theology,riches
春天,springtime,springtide,hot  day,first half 
租约,lease,laze,phase,ease
不情愿的,reluctant,resultant,enforce,jest
意外,accidental,accident,incidental,sudden
取消,cancel,lancet,cancer,canker
杆状物,shaft,graft,share,shift
同样,uniformity,subordinate,agree without prior consultation,be classified as
模子,mold,carrying pole,kneading or chopping board,a block of wood or stone
扩大,expand,extend,expend,extant
参加,attend,ascend,attune,intend
划线于…下,underscore,convey,to emphasize,vindicate
文件,documentation,files,archive,stuff
腺体,glandular,white blood cell,nucleus,cell
海绵,sponge,sponger,song,spongy
轮廓,contour,candour,concur,contort
给…以灵感,inspire,conspire,insure,spire
冲突,friction,fraction,fiction,fruition
阻碍…发育,stunt,stint,sun,shunt
抓,scratch,scratchy,screech,snatch
使通风,ventilate,ventilator,nomination,gumboot
亚麻布,linen,like,linger,lime
照相,shot,exposure,be disguised as,fixing
乡下,rural,moral,mural,aura
迟到,tardy,carry,try,paddy
顶点,zenith,length,tenth,boundary
劈开,split,skit,shit,spot
徽章,emblem,ember,amble,embed
通勤,commute,commune,compute,computer
扩大,extend,extent,expend,extant
兵工厂,armory,repair shop,factory,factories and mines
量,volume,voluble,column,value
使...安心,reassure,measure,pressure,treasure
审慎,prudent,purulent,trident,imprudent
夸张,exaggeration,tell a lie,boost,answer
推测,conjecture,preside over,assumption,consider
胚胎,embryonic,process,past events,course of disease
臭名昭著,notorious,celebrated,complete darkness,immortality
不赞成,frown,down,drown,fawn
合并,merger,merge,ledger,meter
银根紧的,stringent,unify,obscene,starchy
开辟,pioneer,ponder,winter irrigation,to irrigate
接近,approaching,ordinary,just like,asynchronous
镇压,scotch,coach,scratch,notch
调查,survey,sure,surly,surge
临时保姆,baby-sitter,maw,tabular,deafen
立场,standpoint,calligraphy,grammar,clues
苏格兰的,Scotch,mink,trade,third
严格,rigorous,vigorous,riotous,timorous
令人满意,satisfactory,resentful,conspire,keep one's mind on something
狂热,feverish,to fester,stoppage,uterine bleeding
独立自主,independent,analyst,intercom,elevator
天文学家,astronomer,dancer,analyst,scientist
茁壮成长,thrive,thrice,hive,strive
相应,correspondence,to need,to be,hand down 
标签,tag,fag,page,sag
充满活力,exuberant,ebony,crow,core
手工业工人,artisan,artiste,artesian,artist
腐烂,decay,delay,deaf,deity
平常,mundane,mandate,sundae,inferior
众多,numerous,humorous,large quantities of,circumference
负担得起,affordable,impassable,to exceed,to restrict
使超载,overload,overhead,overcoat,overlook
分裂,breakup,to have a reunion,to tie,to part
模仿,mimetic,be a visitor ,to study abroad,take lessons after school or work
怪物,monster,poster,monastery,mobster
财政,finance,fiance,inane,finale
畏惧,dread,knead,broad,red
抬高,elevate,elevator,legate,enervate
猩红,scarlet,scare,carpet,scale
胆怯,timidity,muddled,not unwise,make light of difficulties and dangers
退休,retire,respire,revise,petite
微风,breeze,breezy,freeze,breed
小河,brook,crook,blood,broom
学校的全部课程,curriculum,slide,biological,cafe
信徒,faithful,unfaithful,fitful,worshipper
反顾,retrospect,pay no attention to,to be expert in,take notice of
胚胎学的,embryological,constipate,mucous,corpuscle
力劝,urge,wage,judge,gorge
混乱,chaotic,chronic,solemn,out of tune
调和,coordination,tame,bruise,fighting
训练,drill,droll,spill,dial
情绪,emotion,emotional,lotion,erosion
有韵律的,rhythmical,twelve,leg,diaphanous
争斗,aggressiveness,arbitrate,bruise,contradict
卑贱,humble,rumple,huddle,rumble
空白,vacancy,vacant,hairy,"not even a blade of grass grows"
气味,scent,sweet,slant,cent
小费,tip,top,oil,rip
自然（主义）的,naturalistic,easterly,transfuse,bowdlerize
臭氧,ozone,bone,zone,noone
浅滩,ford,word,fog,gore
同样,likewise,peer,subordinate,synchronous
国会,congressional,Senate,House of Representatives ,consulate
福特汽车公司,Ford,footnote,munition,initial
柔软,supple,suppose,dapple,supply
填塞,cram,chasm,clam,rap
优先,preference,reference,precedence,reverence
尽善尽美,perfection,perception,surpass,clever
充满热情,passionate,finalize the design,blood-soaked,hurricane
相当多地,substantially,uncle,father's elder brother,up and down
移居外国者,emigrant,migrant,emigrate,immigrant
继承,inherit,inert,interim,insert
出席,presence,pretence,credence,preserve
未损坏的,unspoiled,magnetic,bigwig,range
羞怯,shyness,heave deep sighs,sob,cry on each other's shoulder
证明,document,monument,visible,to belong to
（材料等）结构,texture,feature,mixture,lecture
准确地确定,pinpoint,anticlimax,warrant,zap
状况,condition,conduction,conviction,coalition
心脏,cardiac,cardinal,element,poison
复兴,revival,recital,removal,rival
解剖学,anatomy,analogy,psychology,economics 
向一旁,sideways,sidewalk,admonition,tomato
编携,portable,portage,portal,notable
不诚实的,crooked,separate,dreamy,adulation
图像,image,rage,male,visage
多功能的,malfunctional,casualty,perennial,highbrow
（使）旋转,rotate,route,rotten,prorate
阶段,phase,peace,hate,phrase
碎片,debris,ferris,debit,beaten
使迷惑的,puzzling,pemmican,quiz,cobble
特征,characteristic,disparity,drawback,formidable
地平线,horizon,outside  borders,manor,boundary
被称为…,reputed,aversive,rumour,menial
授权,accredit,credit,to authorize,to donate
纪念,commemorate,require,pursue ,to review
安装,install,instil,instant,stall
坑,pit,sit,pep,dig
播种,sow,boa,log,soul
家长,patriarchal,stepmother,father's elder brother,protector
没有污点,spotless,advance,intention,shelve
有害,noxious,obnoxious,anxious,copious
因此,thereby,hereby,whereby,therapy
彬彬有礼,civility,civilian,divinity,civilize
极小,minuscule,nadir,virology,excerpt
气球驾驶者,balloonist,cot,bullion,moulder
危险,hazardous,confront a powerful enemy,a land swarming with disaster victims,pressing
出类拔萃,peerless,outrageous,be accustomed or used to,no good
一段情节,episode,epitome,epistle,upstage
预测,forecast,recast,foremost,forest
宪法,constitution,bound by an oath,lease,clause 
卓越,preeminent,prominent,out of the ordinary,not follow the beaten track
晒斑,sunburn,auburn,suburb,unborn
穿着,attire,entire,retire,tire
罐,jar,dab,far,gag
天,heaven,beaver,weaken,eaves
陪伴,accompany,company,welcome,conference
徒步旅行,hike,mime,hide,wipe
潮湿,humid,human,hum,mid
战术,tactics,tactile,antics,lactic
信奉宗教,religious,religion,delicious,loyal to
无差别的,undifferentiated,cause,synthesize,trick
单独的（地）,alone,aloud,lane,lone
喜剧,comic,omit,comet,chic
使恼火,chafe,chase,shave,hale
静止,quiescent,finalize the design,mysterious,blood-soaked
有理想的,aspiring,make nothing of hardships,ripe,amateur
合作,cooperation,fully displaying one's capabilities,grope,to issue
同时,simultaneous,along with,in addition,but
调色板,palette,gazette,palate,epaulette
水管工人,plumber,slumber,lumber,clamber
冷淡,aloof,alone,also,floor
消失,vanish,banish,varnish,finish
顾问,consultant,constant,assistant,above-mentioned
连锁,interlocking,having nothing to do ,to be a suspect ,forfeit 
显著,pronounced,illegal,vague,state in writing
周期,periodic,periodical,period,the Tang Dynasty
真正,genuine,equine,engine,after all
石英,quartz,quart,quarter,quartet
难达到的,inaccessible,senility,fraternize,cat
讽刺作家,satirist,satirize,birthplace,exhilarate
自然而然,involuntary,life insurance,no more,incidentally
暴力,violence,silence,violent,gravity
畜棚,barn,lawn,bath,warn
次序,progression,phase,for the first time,framework
压垮,crush,gush,flush,crust
不能理解,incomprehensible,superficial,very difficult ,neither here nor there
获得胜利,triumph,triumphal,trump,to go bankrupt
雇主,employer,empower,employee,explorer
风景,landscape,mode,equation,Chinese style
耐用,durable,curable,adorable,dutiable
贪污,corruption,correction,extort under false pretences,corruption
商业,commerce,coerce,commence,compere
头昏眼花,dizziness,numb,be in a coma,have a high temperature
小礼拜堂,chapel,oily,chandler,tinker
招致,incur,injury,inner,concur
挖地洞,burrow,furrow,borrow,barrow
色彩,tint,subject,problem,system
重新解释,reinterpretation,afflict,tributary,brow
哑铃状的,dumbbell-like,slab,hangar,spoilsport
（尤指食物）易腐的,perishable,burrow,cigar,flake
交响乐,symphony,symphonic,antithetical couplet,song
在…之下,beneath,breath,bequeath,reexport
粉笔,chalk,walk,champ,shank
独处,solitude,solicitude,to get help from,pay a visit
激烈,violent,silent,violet,violin
固有,inherent,incoherent,inherit,indecent
稳定,stable,stalk,table,suitable
新近,freshly,in advance,in succession,a while
传奇,legendary,tragedy,TV drama program,one-act play
持久,long-lasting,haul,frequent,industrious 
宣布终止,renunciation,actualize,amenity,levity
招待员,receptionist,to make a fire,convey,cook
陡峭,precipitous,circumference,flat,rugged
大量,multitude,altitude,boast,not care
发展,evolution,revolution,devolution,resolution
中子,neutron,neutral,animal,atomic
恭敬,deferential,not feel ashamed to ask and learn from one's subordinates,barbarous,dry
正在进行,ongoing,normalize,traveller,lounge
食物,sustenance,fodder,smoke and fire,vegetables
产卵,spawn,wild,breeding,grow up
使隔离,seclude,include,secure,secede
实际上,actually,actuality,actual,unavoidable
凌辱,outrage,courage,outface,rape
肖像,portrait,portray,image,bust
消耗,consumption,vendetta,promulgate,diagnose
花束,bouquet,banquet,pistil,malt
平稳,smoothly,ungrateful,turmoil and chaos of war,all neglected tasks are being undertaken
敏感性,sensibility,rabble,inn,operation
艰苦,tough,rough,youth,truth
欣赏,appreciation,art exhibition,tease,guess
稽核,audit,pundit,audio,edit
修订,revision,provision,division,revulsion
慈善事业,charitable,other,mean and ferocious,different
电影放映员,projectionist,three,ventilator,disposal
要求,postulate,postdate,populate,pursue 
不幸,adversity,diversity,adversary,to rise to power and position
同义字,synonym,fallacy,all,kindle
（非正式）极…的,fantastic,fanatic,bogus,colorless
暗示,implication,declare where one stands,to state,mark
刺激,irritating,in addition,boost,hinder
未经证实,unsubstantiated,fodder,verse,motorway
好交际的,sociable,social,unsociable,interaction
吊,suspend,suspense,suspender,spend
(单复数同形)子孙,offspring,close friend,friend,aunt
声称,claim,clam,plain,chasm
（物体表面）滑的,slippery,slipper,shipper,clippers
重新找回,retrieve,relieve,reprieve,cause to perish
琴弦,chord,char,chore,churn
任务,undertaking,hegemony,property right,a power
共生（关系）,symbiosis,twin,trimming,plank
有特色的,distinctive,remarkable,outrageous,unprecedented
公共马车,stagecoach,lute,metricize,receipt
平静,serene,secrete,shrine,secede
限制性的,restrictive,astray,springy,infraction
巨大,gigantic,coarse,the edges of the swords not being stained with blood - win victory  without firing a shot,weak
分离,disconnect,discontent,disconcert,for a long time
神圣,sacred,screw,sabre,barred
合格,qualified,normal,designated,sole
敌人,foe,dote,fee,fob
保留,reserve,reverie,deserve,serve
推荐,recommend,commend,to introduce,recommend 
海草,seaweed,grass,poisonous weeds,black henbane
象征,symbolize,symbolic,sign,it can clearly be seen
寄宿,lodging,live in ,camp,to live in a cave
成为先兆,foreshadow,visible,to come from ,it could even be said
牧者,herder,shepherd,groom,semi-tenant peasant
世界性的,cosmopolitan,pre-existence,Third World,society
陈词滥调,platitude,gratitude,latitude,altitude
设计舞蹈动作,choreograph,rebuild,petrify,plural
纪念物,memorial,memorize,immemorial,necessity
体谅,consideration,forgiveness,involuntarily,show tender affection for
保修,warranty,warrant,arrant,homemade
不同意的,dissenting,slippery,fortress,direct
职业,profession,profusion,procession,professor
小溪,creek,greet,creed,wreak
特性或方法,professionalism,setback,lone,runway
模仿,impersonation,gilt,take lessons after school or work,major
鉴赏家,connoisseur,historian,observer,statesman
会议,conference,inference,confluence,confidence
学费,tuition,edition,intuition,munition
传染性的,contagious,contagion,contiguous,foreign
以契约约束,indenture,denture,silage,assignment
液体,liquid,liquor,limpid,quid
类群,species,specie,series,specify
徘徊,hover,lover,cover,dove
使减轻,mitigate,litigate,militate,vitiate
机敏,alert,avert,clerk,adept
库存品,inventory,investor,inventor,album
自治,autonomy,astronomy,law and order,submission
保护,preservation,wait upon,bodyguard,tend
绘制…的地图,map,nap,yap,ah
胖嘟嘟的,plump,pump,plumb,thump
拖引,tow,to,toe,toll
周边,peripheral,symmetry,harmonious,simple
强调,emphasis,emphatic,emphasize,to emphasize
四轮马车,wagon,when,tripartite,lobster
争吵,brawling,scold,noisy,contradict
螺丝刀,screwdriver,probe,ear of maize,cramp
诱惑,lure,lore,cure,curl
档案,file,gill,wile,pile
摇摆,sway,war,seat,spar
假设,hypothesis,if that's the case, then ,in view of,only when
疯草(牲畜食后引起疯草病),locoweed,pal,bar,feed
呼吸,respiration,hold in the mouth,to spit,to smoke
迟钝,torpor,torpid,horror,torso
可变,volatile,to transform,soften,denaturation
醒目,strikingly,unimaginable,clear,potential
敏捷,agile,aide,exile,mile
坚决主张,insist,infest,resist,invest
增补,supplementation,reissue,natural selection,addendum
平凡,commonplace,easy,upper class,pretty good
迟疑,hestiant,willing to help but unable to do so,anxious,be driven to join the Liangshan Mountain rebels
评价过高,overestimate,magistrate,drainage,detainee
无资格的,ineligible,glider,pursuit,monopsony
提供消息,informative,vain,claim,straiten
楔形,wedge-shaped,grape,drag,km
无生命的,inanimate,intimate,reanimate,beef
使升级,upgrade,grade,parade,degrade
宗派,faction,reaction,sanction,action
武器,weapon,season,teapot,weaken
流利,fluent,affluent,fleet,effluent
迅速成长,burgeon,burden,surgeon,dudgeon
使过度疲劳,overtire,veterinary,taxation,humour
使容易,facilitate,faithless,pinprick,challenge
接受器,receptor,router,lightning arrester,theostat
远景,perspective,historical sites,backdrop,panoramic view
新奇,novel,hotel,covet,model
限制,confine,online,confute,condone
照片,photograph,phonograph,pantograph,bust
漂浮,float,gloat,cloak,afloat
采石场,quarry,carry,parry,quart
（诗歌的）头韵,alliteration,altogether,neutrality,speed
注意,heed,herd,teem,sled
惊讶,astonished,withdraw,be accustomed or used to,sensible
暴动,riot,hint,lift,ripe
总站,terminal,seminal,terminus,terminate
（一堆）碎石,rubble,rabble,bubble,ruffle
照字面意义地,literally,literary,literacy,literal
变数,variable,amiable,arable,valuable
逐渐消失,fade,wad,lace,hate
概括,generalization,contain,embody,expose
属性,attribute,tribute,haughtiness,possible
天才,ingeniously,knowledge,foresight,will to fight
债权人,creditor,editor,credit,beggar
有帮助的,helpful,heedful,to erode,restrict at
妨碍,impediment,impenitent,to bound,blockage
对称（性）,symmetry,equilibrium,trivial,simple
叙述,recount,recoup,account,count
限制,restrict,district,restraint,retract
迁移,migratory,signatory,to move the capitol ,have spent
厌烦,disgusted,universal love,have a gnawing regret,dreary
二氧化物,dioxide,divide,diode,oxide
放映机,projector,protector,project,prosecutor
芬芳,aromatic,mottled,gaudy,foul smell
分析报告,analysis,paralysis,analyse,analyst
黏糊糊的,slimy,slim,sly,slime
博览会,exposition,expedition,opposition,deposition
树栖,arboreal,atone,bell,pigeonhole
平衡,balance,palace,blanch,glance
广阔的区域,expanse,sully,godless,lily
成分,element,elegant,clement,eleven
凭据,credentials,financial resources,manpower resources,light source
奇特,oddly,odd,eddy,bodily
明确,distinct,instinct,distant,distance
雕刻,engrave,enclave,grave,engage
冲刷,scour,soar,scrub,scoop
亚种,subspecies,frigidity,call,cheer
爆发,eruption,equation,fruition,derivative
规定,dictate,distaste,dilate,dictator
怀疑,doubt,mount,duet,count
人与人之间的,interpersonal,skimp,preemption,frostbite
系统,systematic,lineage,film series,network
浅薄,superficially,omnipotent,conversant with things past and present - erudite and informed,hopeless
眨眼,blink,blind,lank,clink
变成化石,fossilized,airway,countless,kill
传统,conventional,custom,rudely,etiquette
（从外国移入的）移民,immigrant,migrant,immigrate,emigrant
多层建筑,multistory,calm,necessity,whatsoever
能适应的,adaptable,forfeit,laxative,hallo
宁静,tranquility,pressing,pull oneself together,thirsting or hungering for sth.
效忠,committed,make a hasty last-minute effort,remedy,struggle
理发师,barber,barter,career,border
本能,instinct,distinct,instant,instruct
蒸发,vaporization,solution,melt,worried
下垂物,pendant,pennant,pending,pedant
紫色,purple,rumple,supple,purely
阶层,stratum,statue,status,strum
标准,norm,form,not,loom
不能架桥,unbridgeable,lever,purpose,bastardize
(通过太阳知道时间的)日规,sundial,sandal,sundae,knell
货物,cargo,barge,cart,carp
天生,instinctive,made in one's own country,orthodox,not proper
短裤,pants,pact,banns,pant
冰雹,hail,mail,rail,cavil
纪念,memorize,motorize,memorial,temporize
昏昏欲睡,drowsy,dross,drown,browse
强烈抗议,outcry,outlay,outer,outcrop
使改变方向,redirect,baboon,diarrhoea,repression
有效,valid,lid,arid,invalid
生殖,reproductive,lay ,grow,wild
不肥沃的,infertile,infantile,fertile,lend
沉思,contemplate,deliberation,appreciate,visualize
半文盲,semiliterate,writer,artist,novelist
大吃大喝,consume,consumer,confute,console
边缘,perimeter,parameter,neutral,high performance
洗衣店,laundry,launder,foundry,sundry
人道主义者,humanist,missionary,terminate,our
(去壳的)麦粒,kernel,kennel,keel,vernal
家务杂事,chore,cope,hole,core
集中,intensive,incentive,intense,intensify
令人惊异,amazing,talkative,justify,ocular
类似,analogous,inequality,common,be just like
幼虫,larvae,beetle,cockroach,cricket
雕刻品,sculpture,scripture,culture,sculptor
（一）卷,roll,poll,roan,stroll
长期存在,long-standing,patronize,electron,centralize
丰富,abundant,abundance,soak,stem
狂热,craze,irate,prize,cape
解放,emancipate,revolution,make a stand and fight ,internal disorder
扭曲,distortion,to face about,tumble,smooth
制冷剂,refrigerant,hemp,opium,heroin
丛林,jungle,jingle,juggle,jangle
酸的,acid,aide,aid,acrid
华丽,magnificence,crude,slippery,elegant
一角硬币,dime,dice,dim,jibe
难辨认的,illegible,legible,stubble,quire
速度,velocity,ferocity,felicity,academy of sciences
劳动者,laborer,labor,one able to do light manual labour only,magician
慢跑,jogging,bouncing and vivacious,enthusiastically,gallop
排挤,supplant,supplicant,isolated,plot against
上过釉的,glazed,promise,ode,torch
特意,expressly,unauthorized,not enough,jolly
子孙,descendant,ascendant,defendant,the aged
使惊讶,astonish,admonish,own,draftee
成分,component,opponent,competent,element
建筑学的,architectural,commando,crinkle,booklet
啄,peck,pack,jack,speck
小片,snippet,shipper,slipper,nipper
敬意,deference,reference,defence,preference
行列,range,bang,cane,wrangle
不公平的,unfair,unfit,affair,fair
创意,originality,objection,call on,local flavor
多层面的,multifaceted,exploit,bequest,felicity
分配,dispense,disease,disperse,dispose
保存,conservation,succeeded in finding,storage,keep
厌恶,disgust,digest,discuss,disuse
陡峭,sheer,sheen,cheer,sweet
敌手,opponent,component,exponent,private
通风,ventilation,block the traffic,block up and intercept,traffic
有矛盾情绪的,ambivalent,to pledge,compelled,be at a loss
（有关）卫生的,sanitary,solitary,sanity,salutary
有名,celebrated,unknown,immortal,disreputable
大量消减,slash,slush,splash,spasm
保留,save,cape,naive,fate
浮现,emergence,emergency,emergent,cover
进化,evolve,revolve,devolve,valve
讽刺,sarcastic,fig.: wonderful!,to contend,to vilify
倾向,trend,wend,grand,tend
短暂,ephemeral,real time,half of the day,ice-cold
取出内脏,eviscerate,converge,faultless,classical
