#word,meaning,option1,option2,option3
重新点燃,rekindle,saucer,jerk,emancipate
擦拭不掉,indelible,momentary,quite a while,a while
隐居,retiring,camp,settle down,make one's home
焦急,embarrassment,to hesitate,cool,undisturbed
挑衅,provocation,faking a modern object as an ancient one,blessings,to fake
覆盖物,vesture,mosquito,baste,synopsis
祝福,benediction,purgative,combing,asset
陈旧,antiquated,currently existing,old-fashioned,old
可触摸的,tangible,intangible,tangle,latch
铝土岩(产铝的矿土、石),bauxite,cackle,hoover,serpentine
刚愎自用,perverse,reverse,pervert,slow 
抚摸,stroke,strike,smoke,stride
同位语,apposition,stanch,gradient,spade
立论,argumentation,tarnish,written polemics,to smear
平流层,stratosphere,formation,fault,troposphere
(使)层化,stratify,midst,narcissus,naval
最高,topmost,topcoat,very long,slender
彩色,chromatic,gaudy,balmy,gray
使...尴尬,disconcert,discontent,disconnect,unkempt
谄媚,adulate,emulate,educate,undulate
沉思,ruminant,ruminate,dominant,deliberation
困难,straits,out of tune,smash,lash
长途的冒险旅行,odyssey,sluggish,jailbird,excitement
不触犯人,inoffensive,idleness,postpaid,afraid
难听的声音,cacophony,donate,nicety,quaint
尽责,conscientious,to be confronted with,grope,make a hasty last-minute effort
定额,quota,quote,rota,iota
肾炎,nephritis,albinism,heart disease,measles
轻吹,whiff,waif,thief,huff
说蠢话,babble,gabble,nibble,table
迂腐之人,pedant,pendant,decant,sedan
掘出,exhume,excuse,exude,exhale
外交礼节,protocol,deserve,ibid,unofficial
化身,embodiment,it could even be said,to reveal,mean
改正,rectify,ratify,certify,testify
缰绳,rein,reign,kin,ruin
致命,lethal,metal,petal,legal
树皮,bark,mart,bake,barn
轻快的步伐,lope,poke,slope,lime
精神错乱,delirious,noon,ozone,hypnosis
较早,anterior,interior,inferior,anteroom
邪恶,malign,align,alien,main
吝啬,stingy,stringy,sticky,spongy
贵族,aristocrat,princess,the east section of the palace,duke
黑暗,murky,hurry,curly,funky
斜视,squint,shunt,quit,squirt
心满意足,contented,to conspire with someone,relaxed,to map out
有丰富知识的,knowledgeable,answer fluently,grand talents mature slowly,smatterer
健壮,stalwart,red through and through,male and female,youthful
树苗,sapling,sling,darling,starling
代理人,surrogate,eyewitness,assistant director,guarantor
争吵,wrangle,wangle,bangle,range
尖端,tined,generalized,to pass a test,low level
心胸狭窄,insularity,secure,goldsmith,fireman
盟国,ally,tally,oily,sly
使困惑,baffle,piffle,gaffe,bauble
敏锐,perspicacity,machine,to have good eyes,skilled
水龙头,faucet,detector,probe,pottery
吵闹,clamor,use force,contradict,start a fight
验光师,optometrist,circle,pork,ammunition
剥去,strip,trap,stripe,tripe
武士精神,chivalrous,backache,revolt,starfish
组成,constitute,institute,constipate,to isolate
清白,unspotted,full of  tenderness or affection ,yellow,despicable
单调的低音,drone,dole,drove,drink
词典,lexicon,lexical,legion,dictionary
闲聊,prattle,expound,list,to speak about
不满,grudge,drudge,grade,trudge
欢乐,gleeful,to the satisfaction of everyone,awfully,fall on one's knees
冗长,long-winded,soft,ragged,unfinished
防范措施,safeguard,lifeguard,ninetieth,wan
恭顺,subservient,indifferent,dull,pride
假装,assumed,to breathe deeply,hold one's breath,to take a breather
充满危险和刺激的,adventurous,sedative,vein,their
陆标,landmark,elegant,folk,noes
背叛,treacherousness,to seize the throne,subversion,snatch
讼务律师,barrister,barrier,cutlet,inlet
引起,induce,injure,seduce,indulge
到来,advent,invent,adverb,ardent
不法行为,malfeasance,lit.: draw legs on a  snake,to violate a prohibition or ban,to correct an error
点缀,intersperse,married,to fail,stand like the three legs of a tripoid
偶然,fortuitous,can it be possible that,unexpectedly,roughly
腐蚀,corrosion,corrosive,to corrode,be more of a hindrance than a help
畏缩,cower,cow,power,cider
神,divinity,vicinity,dignity,civility
有益健康,healthfulness,talkative,ferment,heal
摧毁,ravage,garage,adage,rage
洞察力,insight,night,sight,insist
太古,pristine,era,6th earthly branch,this age
与他人合作,cooperate,corporate,operate,quandary
文具,stationery,stationary,stationer,envelope
引起,evoke,vote,yoke,revoke
崇拜,lionize,agonize,admirable,not give in to
子孙,scion,friend,aunt,peer
按字母表顺序的,alphabetical,zoom,ambush,skinflint
优美,grace,trace,graze,drape
惊人,tremendous,very friendly,to know well,trivial
低估,underrate,understate,undertake,underwrite
庄严,solemnity,solemnize,exultation,to moderate
抵制(贸易),boycott,abandon,naturalize,salver
叛国罪,treason,season,reason,commandment
容量大的,capacious,rapacious,captious,sagacious
拖网,trawl,train,brawl,crawl
经验主义,empiricism,agnosticism,nationalism,atheism
烤焦,scorch,scotch,score,couch
火的,igneous,darkness,motherly,elective
麻醉剂,anesthetic,ointment,preparation,pill
天体,celestial,celestial body ,throne,constellation
题献,inscription,hut,wind,tourist
可牺牲的,expendable,stench,breach,flaccid
动乱,upheaval,noisy,infest,inconstant in love
玉,jade,rake,fade,gaze
功利,utilitarian,personal gain,merit,failing
怀疑论,skepticism,Marxism,legal principle,romanticism
好争辩的,disputatious,summat,paradise,guy
概念上,conceptual,passage,hide,payee
合流,confluence,influence,conference,confidence
肉体,corporal,corporate,corral,pathogeny
固执,adamant,machine,slow ,answer fluently
腾越,cavort,nod,to gain ground,turn about
非常规,unconventionality,shocking,to pass a test,unprecedented
匕首,poniard,onward,pollard,spear
手术刀,lancet,cancel,lace,lance
健谈,voluble,volume,soluble,valuable
目录,catalog,style,style,program
(使)松弛,slacken,blacken,lackey,slake
柔和的色彩,pastel,easel,pester,easter
最重要的,paramount,lineman,affinity,cleanse
纪念品,memento,moment,cement,remnant
剧作家,playwright,dancer,psychologist,novelist
抵抗,resistance,resistant,assistance,attack
摇尾乞怜,grovel,grove,hovel,revel
嘲笑,sardonic,carbonic,cynical,criticize
耸立,towering,break apart,snap,to leave in sb's care
(法律)传票,subpoena,scrutiny,gymnastics,beware
技术管理人员,technocrat,discourage,topical,insurer
绿锈,patina,misdeed,anguish,write
河口,estuary,ticket window,entrance,pass
合群,gregariousness,tit for tat,be a speculator ,coincidence
固执,obstinate,handy,mechanical,muddled
停战,truce,true,truck,trace
没有激情,unimpassioned,good,lunacy,threat
(外表)僵硬的,stark,start,stalk,stank
施魔法于,enchant,entrant,trenchant,merchant
可传达的,communicable,militate,vex,form
资助,auspices,vocal accompaniment in some traditional Chinese operas,express sympathy, greetings, consolation, etc.,foster
钳子,pliers,pier,flier,ring
喧哗,vociferous,calm,to crowd,prosperity
证明,verify,omen,to come from ,to say
固定,settled,unreasonable,formidable,blood-soaked
满意,content,context,convent,constant
圣像,icon,corn,con,on
名声,reputation,deputation,repetition,recitation
删节,abridgment,do up,to amend,amend
亲爱的行为或话语,endearment,effect,place,dancer
独特性,peculiarity,old and new,corrupt practice,to be apart
(象)长牙,tusk,musk,husk,dusk
向...询问情况,debrief,poem,councillor,slice
细说,expatiate,expiate,expatriate,to state
摇摆,waver,war,aver,have
敲击乐器,percussion,persuasion,permission,printout
玻璃,vitreous,shatterproof or safety glass,chinaware,white pottery 
安静,placid,plain,acid,placard
生动刻画,cameo,camber,comet,cane
增补,supplement,appreciate,lengthen,to cheer sb. on
太节省的,parsimonious,not stint,to advance,revolution
可怕,horrendous,moving,nasty,be unpopular
出来,issue,tissue,sue,insure
橡树,oak,of,yak,bag
运动性,motility,access,pardon,grasp
吸引力,magnetism,magnesium,mannerism,magnetize
运动,kinetic,genetic,kinetics,outflow
憎恶,animosity,dislike,will not live under the same sky  - absolutely  irreconcilable,to yearn for
淘气,wicked,wicket,wicker,ticker
世俗,secular,ocular,regular,peculiar
轻视,belittle,little,brittle,take care of oneself
精确,accuracy,accurate,unmistaken,garble a statement, etc.
恢复(原职),reinstate,affinity,thirteen,enchant
嘲弄,deride,pride,derive,device
测量,gauge,gauze,grange,gouge
困境,quagmire,current situation,stock market,epidemic situation
肿大,intumescence,analgesic,digestion,to cough
固定下来,well-established,ladder,minibus,barred
围栏,pen,few,vet,pet
撕裂,rip,gripe,air,pip
精神科医生,psychiatrist,kill,smattering,connection
胡划,doodle,noodle,double,dodge
韧性,flexibility,lightly,handy,flaky
虚构,imaginary,to forge,display,provoke
相信,credence,pretence,prudence,cadence
目击者,witness,fitness,waitress,guarantor
谨慎小心,scrupulous,prudent,vague,take seriously
目标,objective,objection,subjective,adjective
得意洋洋,elated,mixed feelings of grief and joy,to the satisfaction of everyone,willing
衣衫褴褛,tattered,lassitude,embassy,son
刚直,probity,prodigy,probate,profit
独白,soliloquy,colloquy,version ,dialogue
欺骗,trickery,crockery,rickety,ticker
测时法,horology,zoology,virology,sop
换置,displace,misplace,disgrace,display
起源,genetic,genetics,frenetic,emetic
瞥见,glimpse,supercilious look,visit and observe,peep
光辉,sheen,sheer,seem,heed
多样,diversity,diversify,university,diversion
使闭塞,occlude,rod,parry,gypsy
迷人,glamorous,amorous,dreadful,hateful
刺激,impetus,impious,impetuous,hinder
长出,sprout,spout,stout,sport
首次公演,premiere,job,hoop,effort
充裕,abundance,abundant,extensive,fearful
驱逐,repulsive,adopt,mistreatment,admit 
安装,installment,put,pave,assemble and install
可憎,odious,copious,noxious,ominous
无动于衷,stolid,solid,scold,stole
激怒,incense,intense,inverse,license
书橱,bookcase,bedclothes,screen,cupboard
石板,slate,skate,slake,seat
减轻,allay,all,alley,galley
企业家,entrepreneur,inventor,banker,skill
废弃,obsolete,absolute,forfeit ,to risk one's life
溃烂,ulcerate,lacerate,macerate,lame
灰心丧气,deflated,proud of oneself,plot,disappointed
发誓,pledge,sledge,please,dredge
限制,circumscribe,to push,obstruct,limit to
气味,effluvium,interest,delight,philately
无表情的(脸),deadpan,wringer,detergent,aroma
闹剧,farce,fake,care,facet
滑轮,pulley,pellet,bullet,parley
演说者,orator,oratory,razor,operator
献身,devotional,death,die,get killed
使醉,inebriate,infuriate,infallible,disfavour
解释,expound,impound,expend,pound
弹性,elasticity,non-profit,acidity,compatibility
不能和谐共存的,incompatible,surplus,regulation,cavalcade
不适当的,inexpedient,sincerity,nape,incident
命令,mandatory,gather,mobilize,give somebody a task
糕点,pastry,dessert,cakes,sweet dumplings made of glutinous rice flour
节省(钱、时间),economize,economics,economist,economic
判决,verdict,edict,verdant,to discipline
歌唱团,troupe,troop,arouse,trounce
摸索,grope,gripe,rope,graph
贫民,pauper,paper,proper,damper
不赞成,discountenance,kiloton,software,received
滚烫,scalding,real time,pleasantly cool,moderate 
溺爱,doting,misunderstanding,worth hearing a hundred times,adore
暴露,betray,bray,stray,tray
脆弱,fragility,firm,silly,indefatigable
必需物,requisite,requite,exquisite,perquisite
两栖动物,amphibian,animal,botanical,supply
使...更活跃,enliven,eleven,earthwork,reentry
最初,primordial,session,ever since a long time ago,year
罗网,snare,sonar,stare,snarl
沉默,mute,rate,mate,mine
冒烟,reek,greet,sleek,lee
羊齿、棕榈等的叶子,frond,oration,disputant,legitimate
狼群,pack,peck,lack,mark
接受者,recipient,incipient,customer,uninvited or unexpected guest
耗尽,deplete,replete,delete,depute
体贴,considerate,cannot bear to,weight,an understanding
顺从,complaisant,unconstitutional,to be contrary to,refusal
察觉,perceive,receive,perceptive,deceive
鞭打,flagellate,flap,smash,inconvenience
(精致的)衣服,apparel,agrarian,aura,walk
中世纪的,medieval,medical,mediaeval,contemporary
造反,insurrection,need not,revolution,not worth
倦怠,ennui,to take a breather,to pant,to feign
礼服,tuxedo,clothes,smock,winter clothes
深谷,ravine,rainy,revive,divine
盗印,pirate,prate,irate,mirage
至高,supreme,spree,tomb,epic
平凡,nondescript,pretty good,upper class,difficult
沉溺,addict,advice,edict,audit
六分仪(航海定向仪器),sextant,extant,extent,servant
弯路,detour,demur,devour,tour
不重要的,marginal,marital,cardinal,virginal
狡诈,crafty,turn ,faithful,honest
暗示,imply,simply,timely,dimple
部署,array,bray,arrant,aural
措词含糊,inexplicit,geometry,perimeter,burgeon
扮演,impersonate,concert,sing,lower the curtain
多疑症,paranoia,parabola,ream,friendly
痛苦,distress,mistress,stress,distrust
(气候)温和的,balmy,bandy,palmy,sally
很大,prodigious,propitious,steep,forceful
催化剂,catalyst,analyst,cataclysm,pickings
试验,assay,essay,sway,ass
发起,initiate,initiative,vitiate,imitate
监视,surveillance,to inspect ,supervise and urge,to inspect
花蜜,nectar,vector,sector,near
传译,paraphrase,comment,to resolve,consultation
价格昂贵,prohibitive,sunrise,derisive,camp
改善,ameliorate,relax,take a turn for the better,to moderate
阳台,piazza,the Long Corridor at Yi He Yuan,sewer,gallery
困难,formidable,to beat,out of tune,impoverished
带来愉快的设施,amenity,amity,catarrh,crinkle
短语,phrase,phase,please,phrasal
偏见,bias,its,bliss,biro
高原,tableland,desert,North America,open land
脾气暴躁之人,curmudgeon,regress,engaged,lemon
插入,insert,infect,infer,insist
(指风)猛刮,bluster,blister,fluster,bolster
有酸味的,acidulous,showroom,hymen,readjust
下船,debark,sail or fly,embark,space flight
(动物)咆哮,growl,grow,grill,bowl
投入,devoted,introduction ,to permeate,to put into
调整(音的强弱),modulate,ovulate,undulate,adulate
到处都是,teem,tea,meet,them
舍不得放弃,cling,link,sling,clank
牢牢插入,embed,emend,embody,ember
大步行走,stride,strive,stripe,astride
不连续的,discrete,discreet,jerky,unjust
土,agrarian,rubbish,else,petition
信任,credit,crest,predict,creditor
效忠,homage,damage,voyage,humane
夜曲,serenade,serene,grenade,Beijing opera
支吾,shuffle,scuffle,snuffle,shuttle
外行,laity,late,gait,laird
游荡,vagrancy,to explore,diversion,go for a drive, ride or sail
(尤指孩子)胖乎乎而天真无邪的,cherubic,jocose,professor,Mayday
叶子(总称),foliage,voltage,forage,pit
行列,procession,profession,recession,processor
威慑物,deterrent,detergent,emphasis,anyway
擅长文字创造的人,wordsmith,furnish,cosmonaut,wealth
加仑,gallon,gallop,wallow,gall
(意见)分歧,rent,mollify,shaggy,resurrect
不能渗透,impermeability,obtain,sticky,generous
变换位置,transpose,transport,transpire,transfuse
穷困,destitute,institute,fluffy,problem
凌乱景象,shambles,shamble,shameless,fluffy
缝缀而成的衣物或工艺品,patchwork,everyday,crochet,gymnast
(炼出的)动物油脂,grease,crease,grenade,please
铝,aluminium,bronze,platinum,copper-nickel alloy
易变化的,vertiginous,towards,liberality,epidemic
虽然,albeit,successively,along with,except 
鹊,magpie,magic,maple,arctic
单片眼镜,monocle,kidnap,compact,porcelain
有关联,relate,elate,plate,release
结构,mechanism,mechanics,mechanize,mechanic
附近,vicinity,divinity,sunset,short distance
松鼠,squirrel,quarrel,mole,alligator
(半)透明的,translucent,ten,scant,squeak
命令,injunction,junction,induction,injection
不能喝的,undrinkable,beneficial,melt,thirst
织补衣物,darn,cart,dire,dark
精致,exquisite,requisite,perquisite,artificial
刺,poke,vote,poker,rake
展览品,exhibit,part,specimen,antique
(强加于人身的)痛苦,infliction,the crime of treason,accusation,tattoo criminals on face
不新鲜的,stale,shape,stall,stalk
微生物,germ,harm,term,perm
多余,superfluous,equilibrium,deficit,short
悠然,leisureliness,almost extinct,tranquil,lonesome
贪求,covet,covert,cower,cone
看不清的,indiscernible,barn,perception,cannon
劝告,exhortation,urge,urge on,declare to be at fault
忧愁,doleful,hopeful,sullen,worry
阅读障碍,dyslexia,disdain,magnet,mope
先驱,precursor,originator ,granddaughter,granddaughter
令人敬畏,awe-inspiring,censer,torch,rostrum
正式批准,ratification,premature,forgather,barrow
弯曲,devious,serious,tedious,devout
策略,maneuver,protectionism,communism,dictatorship
保险柜,coffer,coffee,confer,buffer
经纪人,broker,broke,poker,banker
嫩叶,spear,smear,speak,pearl
后退,retrograde,to take drugs,increase,to put in place
宽恕,remission,emission,omission,permission
散步,promenade,stray,rush about,to go on foot
止血,astringent,weaning,stanch ,adjourn
冒称具有...权利,arrogate,abrogate,arrogant,irrigate
间谍活动,espionage,shimmer,portico,bathroom
弯曲,flex,sex,flux,flee
秘传,esoteric,diary,magazine,a news story 
处方(上的药),prescription,transition,extra,fond
同意,consent,consult,contend,comment
精力,vim,mom,rim,six
憔悴,haggard,niggard,hazard,halyard
多孔,porous,amorous,pompous,proud
暴君,tyrant,rant,grant,tract
失眠症,insomnia,insignia,rheumatism,a disease one is shamed of
掩饰(罪行),palliate,palate,palpitate,palliative
刺激物,stimulus,spoil things through excessive enthusiasm,in addition,obstruct
狡猾,artful,harmful,awful,earful
厚板,slab,slap,blab,swab
人造,artificial,dainty,crude,male and female
窜改,falsify,calcify,gasify,addendum
摆,pendulum,pendium,walkie-talkie,pendulum
盘绕,wreathe,breathe,wreath,create
忧伤,blue,bye,elude,blare
锉屑,filings,espouse,cropper,calculator
妨碍,impede,impose,ampere,impel
感觉迟钝,insensitivity,paralysis,seasick,craze
专横,overbearing,unfold,fall behind,semi-feudal
闪彩光的,iridescent,latent,innate,religious
重做,iterate,liberate,literate,operate
仁慈,clement,casement,cement,element
危害,compromise,comprise,convenient,unfavorable
陈腐,banal,violent,democracy,to start
套索(捕捉牛、马用),lasso,lapse,lass,mass
迅速,dispatch,despatch,nearby,too soon
大声地啜喝,slurp,north,precision,erratic
自以为是,self-righteousness,pride,generous,fervent
雀斑,freckle,truckle,fickle,speckle
(食物)过量,surfeit,forfeit,that one,more than
长途公共汽车,coach,couch,crouch,beach
比例,proportion,promotion,mortality rate,handle
代替,substitute,nominate,appear ,recommend 
(虚伪)外表,facade,parade,decade,vacate
可推迟的事,deferrable,don,pleasantly,feast
无能,impotent,impatient,potent,important
争论者,wrangler,depreciate,endeavour,which
特别(好)的,exceptional,lip,enquiry,pliers
使昏迷,stun,spin,shun,stub
画架,tripod,tripe,trip,trio
预兆,portend,portent,porter,potent
容量,capacity,sagacity,incapacity,calamity
无报答的,unrequited,concession,sympathy,dramatic
贫困,penurious,inconvenience,to hit,imbalance
激怒,exasperate,exaggerate,to invade and harass,to gain by cheating
捏,pinch,witch,punch,inch
非传统的,nontraditional,arduous,stentorian,language
证明,certification,to reveal,to come from ,reaction
精神错乱,derangement,undue,nightdress,assemble
修改,modify,codify,modish,bodily
偿还,reimburse,send back,lend,to give change
描写美过其实的,flattering,overall,intervene,slide
上升,ascent,advent,decent,ascend
啜饮,sip,tip,skip,sky
易弯,pliant,ambiguous,cassette,reorganize
鞭笞,scourge,surge,scour,source
继而发生,ensue,ease,ensure,sue
长处,forte,port,force,fete
易发怒的,irascible,faculty,bend,snare
夸耀,swank,spank,dank,slink
顾问,counsellor,councillor,helper,proprietor
菌群,colony,colon,felony,ecology
徽章,insignia,insomnia,white flag,colored flag
推断,reckon,beckon,reason,region
敌对,hostile,hostel,hustle,hostage
反抗,rebellious,rebellion,immunity,force majeure
渡口,ferry,mercy,jerry,cherry
相互,reciprocal,step by step,to be independent,exist side by side
多愁善感,sentimental,hysterical,pretty and flirtatious,peace
敏感,touchy,touch,couch,vouch
多余的量,superfluity,philately,scribble,insipid
悔罪,contrite,contrive,concrete,contribute
撕裂,laceration,snap,stoppage,pick
安慰,mollify,nullify,jollify,mortify
适时,timely,time,lively,timer
狂怒,berserk,paralysis,blockage,suffocate
初学者,neophyte,senior high school student,university and high school students,graduate 
柳树,willow,willowy,hallow,callow
顶点,acme,acre,ace,time
发起者,instigator,geophysics,imaginary,slip
操纵,manipulate,bind,step over,sanctions
小装饰图案,vignette,longhand,pantheism,ravine
懒散地斜靠,lounge,long,lunge,bounce
独具慧眼,perspicacious,sensitive,answer fluently,have little talent and less learning
不间断的,unremitting,always,always,at all times
丧亲,bereave,berate,brave,behave
标点符号,punctuation,parenthesis,semicolon,trademark
(国际象棋的)开局让棋法,gambit,gambol,gamble,gait
闲逛,saunter,shutter,counter,hunter
认知,cognitive,pay attention to,acquaintance,to know
嘈杂,hubbub,humbug,hubby,desolate
欢呼,acclaim,exclaim,reclaim,declaim
把(谷物)的杂质吹掉,winnow,mistake,airspace,letterbox
邪恶,villainous,brutal,various,in addition
不能妥协,irreconcilable,predict,numerable,parquet
踏板,pedal,penal,medal,sedan
无法预言,unpredictable,bondage,warden,peal
微温,tepid,topic,torpid,timid
少女,nymph,mister,Madam,female
宗派,cult,cuff,scull,jut
不能区别,indistinguishable,bear,fluorine,arterial
挂念,suspense,dispense,suspender,suspend
宣言,declaration,declaration form,petition ,announcement
(道德上)不受腐蚀的,incorruptible,stepmother,convict,hygienic
星系,galactic,lactic,language system,setup
好斗,scrappy,a move,motion,savage act
彻底破坏,raze,lake,maze,brave
有限,limited,polysaccharide,everything ,large quantities of
提议,proffer,proper,prefer,offer
简洁,concise,confine,confuse,concede
包含,subsume,to incorporate,cram,accommodate
达到顶点,culminate,fulminate,cultivate,ruminate
裂开,crack,click,crank,crag
优生(学)的,eugenic,saint,newly,rile
使某人忸怩、难堪,embarrass,scoop,context,layman
挑剔,nitpick,resort to,make things difficult,to make fun of
蹲伏,crouch,grouch,trough,crock
激励,spur,shut,spurt,spar
沼泽,bog,fog,bony,vox
争论,controversy,to vilify,tease,to quibble
(枪等)口径,calibre,calibrate,caviare,twinkle
不敬,derogatory,sneer,to defile,written polemics
愤怒,wrath,wreath,brat,watch
维护,uphold,hold,behold,untold
排斥,exclude,seclude,include,exude
使腐坏,addle,waddle,adduce,amble
镀金,gild,child,aid,mile
扭打,tussle,tumble,tissue,hassle
束,cluster,clatter,plaster,bluster
巨大,colossal,colossus,colonial,arduous
最低点,nadir,radio,air,wader
精神病的,psychotic,psychosis,psychic,paralyzed person
杀虫剂,pesticide,laxative,aspirin,amoeba
沉思,muse,museum,misuse,mud
妙不可言,ineffable,terrible,comical,be unpopular
短距离全速奔跑,sprint,spring,stint,springy
逐渐呈现,unfold,enfold,untold,fold
背诵,recitation,citation,excitation,recreation
卷轴,reel,peal,refuel,rebel
遗传学,genetics,genetic,genesis,kinetics
骡一样的,mulish,punish,relish,modish
邪恶,iniquitous,ubiquitous,what,unusual
需要立即采取行动的,exigent,grouse,interlock,olympiad
哮喘症,asthma,infection,homicide,hoary
归咎于,impute,compute,impugn,impure
事件发生的现场、地点,locale,else,solarium,deposit
无动于衷,impassiveness,disdain,in spite of,stand side by side
时装模特儿,mannequin,demagogue,tribesman,plaza
鞣革工人,tanner,pander,manner,tanker
钱币学家,numismatist,zone,militate,angular
安慰(的话),reassurance,be juxtaposed,balance,misgivings
出租,lease,leak,cease,least
招徕顾客,tout,rout,abut,tent
最后面的,hindmost,jubilant,bangle,shrivel
负责,preside,reside,provide,president
意外,accidental,accident,incidental,permit
航海,seafaring,patrol by a ship,aviation,go fifty-fifty
骑手,rider,bride,ride,ridge
矛柄,shaft,chart,shifty,shirt
一致,uniformity,to rest in,be classified as,synchronous
恢复(健康),recuperate,remunerate,destroy,to rest
皱褶,pucker,sucker,wicker,locker
模子,mold,lever,a block of wood or stone,carrying pole
(音乐)渐强,crescendo,crescent,cataract,history
蛊惑民心的政客,demagogue,pedagogue,wallet,showcase
扩大,expand,expend,errand,extend
喝酒喧哗,roister,pasteboard,explosive,thus
国会或其他立法议会中的借投票表决以终止辩论的方法,cloture,oblivion,effusive,wiry
好奇,inquisitive,lingering fear,to astonish,thoughtful
在...之下划线,underscore,medal,apartheid,displace
贮水池,cistern,mister,discern,astern
蜡烛芯,wick,tapestry,carbonize,tack
安置,ensconce,regulate,manage,revision
惰性,inertia,inert,neutral,authoritative
证件,documentation,half fare,majority vote,license
自以为文化修养很高的人,highbrow,numerable,labor,accordance
蜿蜒,winding,contingent,cornflake,sawmill
再恶化,relapse,elapse,release,relate
辩白,exculpatory,dialectical,to quibble,eloquent
兴冲冲的,ebullient,stuff,infest,disco
放纵,indulgent,indulge,indolent,indulgence
非正式,informality,national,annex,civilian use
摩擦,friction,fraction,fiction,function
特技,stunt,grunt,stun,sauna
沿街叫卖之小贩,hawker,reinstate,tribute,hertz
压抑,smolder,cherish,involuntarily,to feel sorry for a person over sth that should have happened
大胆,hardihood,to loiter,muddled,resolute
使...通风,ventilate,ventilator,block the traffic,adjoin
宣泄,catharsis,telemetry,probe,oil recovery
外向性,extroversion,resign,pair,typewriter
怒目而视,glower,blower,grower,shower
乡村,rural,real,rival,aural
学术讨论会,colloquium,southwards,reparable,outlive
阴冷,dank,dune,hank,bark
缓慢,tardy,hardy,sandy,vary
砍伐,hew,now,new,her
极点,zenith,length,tenth,half of sth
分裂,split,spit,slim,suit
象征,emblem,amble,ember,embed
交换,commute,commune,compute,compete
延展,extend,expend,exceed,extent
呕出,disgorge,noticeable,systematic,ail
军械库,armory,garage,storage,bunker
开业者,practitioner,houseboat,backhander,national
气量狭窄,illiberal,speaking,monoplane,thinker
天文台,observatory,publishing house,observatory,Xinhua news agency
(直角三角形的)斜边,hypotenuse,bombard,car,bestrew
使放荡,debauch,detach,cause to develop,to take drugs
介绍,presentation,elect,inform,recommend 
使安心,reassure,measure,pressure,treasure
一大群,legion,lexicon,region,lion
夸张,exaggeration,boast,answer,conceal
支持,espouse,spouse,expose,response
稀薄化,rarefaction,club,tetanus,natural
推测,conjecture,assumption,reckon,to  uphold
猛击,swipe,pipe,wire,scope
胚胎,embryonic,internal,past events,to see the world
根除,deracinate,to sweep away,to endure,scrub
臭名昭著,notorious,well known,energetic,immortal
合并,merger,merge,eager,murder
(规定)严苛的,stringent,crest,endways,pernicious
镇压,scotch,stitch,coach,couch
(调拌等用的)抹刀,spatula,again,noonday,passage
散光,astigmatic,skillful,passive,ignorance
大舞厅,ballroom,flex,apex,underworld
对小事斤斤计较,gnat,beat,heat,snap
有知觉的,sentient,sentiment,lenient,forget
(船)倾斜,careen,today,breath,analyse
耻辱,mortification,trophy,performance,taint
(常作复数)邻近地区,purlieu,wand,patter,farmyard
有魅力的,charismatic,pedestrian,recrudesce,marine
消瘦,peaky,activity,previous,breeding
与道德无关的,amoral,immoral,atonal,moral
赌注,stake,stare,take,flake
茁壮成长,thrive,tribe,thrice,arrive
无法生存,nonviable,spectre,jogtrot,outfight
肤浅,facile,face,facade,cackle
逃学,truancy,to study abroad,read,to imitate
(植物)茂盛的,exuberant,visionary,gnaw,treatment
臭鼬,skunk,stun,skulk,sound
技工,artisan,artiste,artesian,artist
用语,parlance,variance,palace,balance
现世,mundane,mandate,sundae,dismiss from office
使士气低落,demoralize,moralize,demobilize,vocal
许多,numerous,humorous,four-sided,large quantities of
能够支付,affordable,abort,delight,backwoods
无动于衷,unmoved,uncover,not mind,balance
牵连,embroil,oblivion,to risk one's life,to waive one's right to vote
使...凋谢,wilt,dirt,weft,wily
不精确,imprecision,mutton,demography,culpable
有理由的,justifiable,garble a statement, etc.,considerate,fluent
怨恨,gall,gash,call,ill
定界,delimit,per capita,assign,average
姓,cognomen,adolescent,padlock,put
马虎地(的),slapdash,cabby,iniquitous,thump
安魂弥撒,requiem,viceroy,generate,powerful
禁欲,ascetic,scenic,arctic,value one's own old broom - cherish something of little value simply because it is one's own
将某人某物举起,elevate,legate,elevator,elate
抗议,remonstrate,petition ,march,student's strike
夸示,ostentation,to radiate,smoking,lighten
挑起论战,polemical,pail,hose,feed
深入探究,delve,deluge,twelve,drive
麻疯病,leprosy,prosy,uphill,toil
凹线,groove,grove,grope,grovel
忧郁症,hypochondria,crocus,speech,massive
迷惑,bewilder,builder,to fool,to gain by cheating
胆怯,timidity,upright and outspoken,slow ,be smooth and slick 
一针见血,trenchant,enchant,commune,prophecy
康乃馨(一种花),carnation,creation,damnation,narration
榨取,milk,mini,silk,gill
来得太迟,belated,relate,bated,beloved
小河,brook,brisk,droop,brood
昆虫学,entomology,snip,difficulty,aforesaid
压制,coerce,cohere,fierce,core
全部的课程,curriculum,view,flow chart,masterpiece
(丈夫省钱老婆花钱),husband,husbandry,disband,fraternity
(球场的)露天座位,bleachers,unversed,chaperon,grin
反顾,retrospect,not resigned to,shut oneself up and ponder over one's mistakes,repent
写,indite,abbreviation,to write,to care for 
混乱,chaotic,chronic,sternly,cleanse 
限制,restricted,condition,excited,put an end to
法庭,forensic,government branch,factories and mines,Public Security Bureau
协调,coordination,dynamic equilibrium,symmetry,concise
