#word,meaning,option1,option2,option3
rekindle,重新点燃,春天,集会场所,社团
underscore,强调,宣誓,报警,禀告
cistern,贮水池,实用性,气概,官员
wick,蜡烛芯,体育,必然,小钱袋
ensconce,安置,布局,调节,调度
inertia,懒惰,疏忽,消极,仔细
documentation,证件,选票,帐单,牌照
highbrow,自以为文化修养很高的人,头发,同情,发光
winding,蜿蜒,意见不一,用开水煮,娱乐
relapse,旧病复发,起来,是,后来
exculpatory,辩白,笔战,辩证,狡辩
ebullient,兴冲冲的,陆地,活动,才干
indulgent,放纵,放任,欺诈,欺瞒
informality,非正式,公共,民用,本职
friction,摩擦,附着,着陆,通行
stunt,阻碍(成长),发怒,裁剪,情绪
hawker,沿街叫卖之小贩,等级,纠正,在家
smolder,无火焰地闷烧,愿,初级,报务员
hardihood,大胆,坚决,无法无天,卑怯
ventilate,使...通风,通行,阻塞,毗连
catharsis,宣泄,采煤,冬灌,采掘
extroversion,外向性,无数,企图,音乐
glower,怒目而视,东张西望,遥望,面对面
rural,乡村,城镇,蒙得维的亚,科纳克里
colloquium,学术讨论会,第五(个),存在,紧张
dank,阴湿,崭新,凉爽,破旧
tardy,缓慢,通宵,频率,不翼而飞
hew,砍伐,刺,穿透,雕刻
zenith,极点,界限,半边,八度
split,分裂,联结,合力,分开
emblem,象征,称呼,统称,体现
commute,交换,交替,变速,变相
extend,延展,缩短,浸透,收缩
disgorge,(水)流走,虚弱,(植物流出的)白色乳液,粗鲁地向…讲
armory,军械库,兵站,核电站,发电厂
practitioner,开业者,聪明,喜欢争吵,创立
illiberal,气量狭窄,由,辫子,清除
observatory,天文台,新华社,路透社,科学院
hypotenuse,(直角三角形的)斜边,罗网,强求,触摸
debauch,使放荡,推广,例行,颁行
presentation,介绍,叮咛,保送,报信
reassure,使安心,慰问,帮忙,激励
legion,一大群,国家,有规律的,两者(都)
exaggeration,夸张,吹牛,解答,标榜
espouse,支持,沉浸,在内,处于
rarefaction,稀薄化,译文,文件,紧张
conjecture,推测,坚持,主张,臆测
swipe,猛击,润滑,掉转,刺激
embryonic,胚胎,病程,本末,结尾
deracinate,根除,消灭,解渴,拔除
notorious,臭名昭著,胜利者,黑暗,荣誉
merger,合并,互联,三位一体,众志成城
stringent,缺钱,现成,沙,屹立
scotch,镇压,流放,斩首,赦免
spatula,(调拌等用的)抹刀,关入笼中,两倍,修女
astigmatic,散光,成熟,孩子气,无知
ballroom,大舞厅,男青年,拙劣,粗鲁
gnat,对小事斤斤计较,蠢事,家务,隐私
sentient,有知觉的,熟悉,洞察,意识
careen,使倾斜,想,急行,卓越
mortification,耻辱,污点,骄傲,成果
purlieu,(常作复数)邻近地区,毛病,货币,使安静
charismatic,有魅力的,故事,急行,垃圾箱
peaky,虚弱,粗劣,强劲,巩固
amoral,与道德无关的,社会,与此同时,(一幅)画
stake,赌注,斧,骰子,巡航导弹
thrive,茁壮成长,损害,笑话,反对
nonviable,无法生存,支持者,某人,扶手
facile,肤浅,粗劣,可观,深刻
truancy,逃学,留学,读书,模拟
exuberant,(人)充满活力的,性情温存的人,共产党政体,同性恋者
skunk,臭鼬,黑貂,豪猪,豺
artisan,技工,包身工,舵手,帮工
parlance,用语,单字,谚语,短语
mundane,现世,折磨,罢官,出名
demoralize,使士气低落,蜂箱,使中毒,掠过
numerous,许多,圆周,不乏,大批
affordable,能够支付,到...上面,涂面霜,怒吼
unmoved,镇定,抱愧,惊慌,不愧
embroil,牵连,弃权,连锁反应,舍弃
wilt,使...凋谢,开放,发芽,结果
imprecision,不精确,传说,令人恐惧,冻结
justifiable,有理由的,百无一失,严密,错误
gall,怨恨,爱憎,爱国,博爱
delimit,定界,平均,划分,人均
cognomen,姓,预料,冷静,表皮
slapdash,马虎地(的),为了,收藏品,甜的
requiem,安魂弥撒,广泛,劳力,调味汁
ascetic,苦行者,应用,收到..的信,面谈
elevate,将某人某物举起,更好,表格,停顿
remonstrate,抗议,罢教,游行,发牢骚
ostentation,夸示,闪电,惊涛骇浪,反射
polemical,挑起论战,非常,存储,官员
delve,深入探究,追究,标号,分类
leprosy,麻疯病,唤醒,公平,用带系上
groove,(刻出的)线条,意外的相见,增进,怀疑
hypochondria,忧郁症,事态发展,除…之外,有分歧
bewilder,迷惑,欺瞒,兵不厌诈,骗取
timidity,胆怯,灵敏,刚直,糊涂
trenchant,一针见血,预言,长谈,密谈
carnation,康乃馨(一种花),列车员,搏斗,重…
milk,榨取,剥削,诱拐,投机
belated,来得太迟,悲哀,审讯,用棒击
brook,小河,北冰洋,太平洋,河流
entomology,昆虫学,地位,仪态,困窘
coerce,强迫,胁迫,逼债,强制
curriculum,全部的课程,波谱,表格,手迹
husband,(丈夫省钱老婆花钱),规,求平方,忽地低下头(或弯腰)
bleachers,(球场的)露天座位,恰好,通人情的,灯泡
retrospect,反顾,悔改,不理,后悔
indite,写,爱抚,拍击,拍打
chaotic,混乱,俨然,艰苦,蓬松
restricted,限制,推进,强加,加以
forensic,法庭,公安局,人民法院,厂子
coordination,协调,广博,鞭辟入里,大规模
toady,谄媚者,绊倒,前部,中止
drill,钻,棒子,螺丝刀,夹子
declaim,高谈阔论,对话,多嘴,吞吐
humble,使谦卑,全体,口头,偶然发生
floridness,鲜艳,芳香,淡,灰色
extravagance,奢侈,小心,疏忽,断断续续
exhibitionist,喜欢出风头的人,飞机,呼吸的空气,评论
sapless,没有元气,航海,开花,野生植物
facetious,轻浮,孟浪,爱面子,毕恭毕敬
grain,小的硬粒,惭愧,损害,顺序
gaiety,欢乐,欢腾,悲哀,叩头
conviviality,欢乐,不亦乐乎,拜倒,下跪
disputable,有争议的,对立面(物),耕作,同盟
scent,气味,集邮,兴致,乐趣
dalliance,虚度光阴,打赌,恋爱,同性恋
hardbitten,不屈,明白,薄弱,不避艰险
foible,小缺点,仪态,可能,左手
bedraggled,(衣服、头发等)弄湿的,毛发,成功,屠宰
ford,浅滩,岸边,群岛,群山
asteroid,小行星,白矮星,骄阳,寿星
molar,臼齿,牙床,声带,牙齿
clamp,钳紧,裁缝,强烈要求,愚蠢
rhinestone,水晶石,合理,糖,肥胖
harshly,严酷,宽限,落后,不在乎
whimsy,古怪,怪僻,尴尬,正常化
perigee,近地点,活泼,每一个的,天
supple,伸屈自如,不过,翎毛,使不能行动
cram,临时抱佛脚,做出,尝试,合作
resurge,复活,鼻青脸肿,出院,疼痛
passionate,充满激情,历史,发热,运算
blurb,简介,引证,解析,析出
restiveness,倔强,温柔,驯服,淘气
inherit,继承,循环,进行,休战
bless,颂扬,背弃,拍案叫绝,违心
hypocrite,伪善者,独裁者,北洋军阀,妖精
zealot,狂热分子,褪色,名字,有智慧的
limpid,清澈,黑暗,朦胧,不可磨灭
connubial,婚姻,难题,危险,轶事
revitalize,使重新充满活力,附近,要求,可怕
reflective,深思熟虑,感激,考虑,感动
unspoiled,未损坏的,(尤指北美的)大草原,制造,企图
shavings,刨花,草,郁金香,百合
inevitable,不可避免,正在,定准,人寿保险
nudge,(用肘)轻触,宾语,器械,诗人
rashness,轻率,把稳,漂浮,识相
texture,结构,班子,各种,某种
pinpoint,非常精确,表演,银河系,做成
characterization,描绘,记载,志,授意
begrudge,吝啬,落后,白色,傲视
gutter,街沟,背(朗)诵,新(近)的,护理
perversion,堕落,例行,振兴,推广
tribunal,法庭,警方,法院,兵工厂
shiftless,没有决断力的,避重就轻,振兴,承受
chalice,大酒杯,加上小点,高于,喜剧性事件
fastidious,难取悦的,过不去,摆弄,寻开心
discordant,不一致的,缺席,(表示间接关系)给,方法
invalidate,使无效力,牛排,增加,迷惑
drudge,劳碌的人,种类,客堂间,家庭
felicitous,(话语等)适当的,不违农时,不宜,不济
bibulous,高度吸收,使…堕落,数个,帐篷
portable,轻便,允当,不便,白白
buffoon,演出时的丑角,毛病,烧伤,现实
crooked,不诚实的,固体,差额,图画
unabashed,不加掩饰,非凡,五(个,(用于否定句、疑问句等)什么
disgruntle,使不满意,两倍,救生（船）艇,站
startle,使吃惊,嚼烟,名片,航海
extravagant,无节制的,消息,允许,覆盖于…顶端
rotate,旋转,跳动,摇晃,簸荡
peek,偷看,看见,采风,瞥
hyperactivity,活动过强,引起,蚂蚁,扩音器
parable,寓言,小说,编年史,本子
slaver,口水,激素,白血球,痰
debris,废墟,遗迹,骤雨,瀑布
strait,海峡,红海,河流,海域
convince,说服,驯服,投降,巴结
cosset,宠爱,爱国,爱恋,认知
compliant,服从,违抗,遵循,背道而驰
characteristic,与众不同的特征,改善,只...),在的上方
reputed,有名气的,可信任的人(或物),引起注意,相当
amateurish,业余爱好,警卫,从不,清晰
commemorate,纪念(伟人,连接,上流社会,记成绩
install,安装,放置,组装,铺设
compulsion,强迫,开心,摆布,强制
sow,母猪,山羊,巴克夏猪,狗
noxious,有害,不利,不可逾越,无害
edict,法令,通知,通告,结论
canny,精明仔细,发动机,益,皮(肤)
bedizen,把...装饰得华丽而俗气,大概,时常发生,鼓
flatcar,平台型铁路货车,口授笔录,巨大,上学
pecan,山核桃,桃子,李子,葡萄
affable,易于交谈,一生,过去,烟叶
suspended,暂停,断奶,断电,休会
rhyme,押韵,规矩,契约,规则
overexposure,过分暴露,表等走快,暴力,展开
prowess,不凡的能力,东方,的确,丰富
amuse,逗某人笑,发光,爆炸,宽大
civility,彬彬有礼,漂浮,殷勤,端庄
metrical,测量,监测,勘探,检测
minuscule,极小,覆盖,自主,毁灭
drenched,湿透,破旧,新鲜,时髦
peerless,无可匹敌,解释,苍白,完全
perpetuity,永恒,站住,勉强,板上钉钉
desiccate,(使)完全干涸,浸透,缩小,收缩
predestine,注定,失效,鼎立,对立
crumb,饼屑,学,热爱,淘气
forecast,预报,传达,晓示,报警
constitution,宪法,法制,契据,法令
preeminent,出类拔萃,不凡,盖世,特定
specialize,专门研究,通俗,不是,能力
dejection,沮丧,迁怒,败兴,设计
scandalous,丢脸,提升,降级,罢官
attire,好衣服,提前,奋斗,(兽的)软毛
accompany,伴随,欢迎,会晤,拥护
canvass,细查,环绕轨道运行,液体,极度
backset,倒退,提高,履行,建设
verification,确认,驳倒,抨击,推翻
sawdust,锯屑,避开,合乎卫生,隔开
hike,徒步旅行,有学位者,总计,铺上一层
complicate,使某事复杂化,侍候,介绍,抢劫
closure,关闭,崩溃,不打自招,破产
disconnected,不连贯的,联想,创造,(用于形容词
giggle,咯咯笑,旅游,灾难,议题
svelte,(女人)体态苗条的,失灵,向内,能力
seamy,肮脏,失调,庄严,白热化
astral,星状,人,旅馆,化学制品
comic,喜剧,独幕剧,梆子腔,腔调
panacea,万灵药,温柔,(用作定语)民间的,尝试
disjointed,脱节,脱氧,脱离,参加
cleanse,清洗,冲洗,荡,涂抹
chafe,摩擦生热,(尤指从一地到另一地的陆上)旅行,聚集,说谎
reverent,恭敬,冷淡,热情,大方
quiescent,不动,狂暴,一贯,勉强
indict,控诉,诉讼,弹劾,上诉
cooperation,合作,大显身手,办到,尝试
penicillin,青霉素,使挨饿,注意到,前进
simultaneous,同时发生,穿针线等,公平,弄乱
fret,(使)烦躁,凄惨,忧郁,悲痛
palette,调色板,黑板,钢笔,笔帽
plumber,管子工,醉酒,难题,快
chimerical,梦幻,兴致,趣味,幻想
duplicitous,双重,随着,不再,必将
aloof,冷淡,衡量,贬抑,歧视
interlocking,连锁,提到,牵扯,无关
disparity,不同,异步,大同小异,不等式
pronounced,(观点等)强硬的,隐约,暗地里,使得
periodic,周期,婴儿期,半衰期,北宋
genuine,真的,固然,左右,难怪
scorn,轻蔑,歧视,不置可否,小心
flatulence,肠胃气胀,梳洗,那些,中间
involuntary,无意,特别,就是,痛快
moratorium,停止偿付,令人兴奋的事,奖牌,治疗
alleviate,缓和,毒化,改善,复兴
barn,谷仓,壁垒,兵营,核武库
catastrophic,灾难性的,残酷,叹气,多的
crush,压坏,不符,甜的,经营
argot,隐语,梦话,口号,脏话
undisciplined,未受过训练的,坚果,假的,更远
divagate,离题,蒸熟来吃),宿营,邀请
execrable,极坏,使丧失,聚精会神,钻床
refresh,消除...的疲劳,不断,暗示,弯曲
noncommittal,态度暧昧,第九十,顽皮,商店
deify,奉为神,机会,废话,(感情等)支配或控制(某人)
crestfallen,挫败,关闭,成功,陷落
corruption,堕落,实行,向下,建设
populace,民众,人们,人民,东西
commerce,商业,男爵,伟业,军政
seriousness,严肃,神经过敏,整齐,轻松
chapel,(附属于教堂或监狱等的)小教堂,降低,雇用,处理
incur,招惹,污染,感染,导致
burrow,(兔子等)所掘的地洞,公正,泄漏,毛衣
tint,色泽,天然气,本色,废气
perfervid,非常热心,宇宙,公平,下游
cavil,挑毛病,戏弄,刁难,开心
perishable,(食物)易坏的,乱弄,降级,植物
loiter,游荡,兜风,消遣,打赌
atrocity,残暴,仁慈,苛刻,异
tempo,(动作、生活的)步调,深度,长短,科学院
quantum,量子,原子核,电子,原子
scrutable,可以理解,老的,原子弹,邮寄
solitude,孤独,仓促,冷静,艰苦
busybody,好管闲事的人,拿来,盲的,调查(或研究)的结果
hepatitis,肝炎,暗疾,肺炎,白痢
inherent,固有,外来,自然,国产
stable,牢固,不在话下,弱小,细小
pedestrian,行人,流浪者,游客,本家
dingy,肮脏,蓬松,整洁,松弛
staid,稳重,实在,小心,不耐烦
gallop,疾驰,跑马,蹦蹦跳跳,奔命
fern,羊齿植物,哺乳动物,宠物,植物
engross,全神贯注于,认为,窗口,试卷
acuity,(尤指思想或感官)敏锐,总收入,分枝,通常
parquetry,镶木地板艺术或图案,(农作物等)地带,角逐,解说
factitious,人为,精密,机动,粗糙
perjure,作伪证,输掉,判断力,动词
precipitous,陡峭,半圆,四方,舌尖
enigma,谜,停止,乡村,依赖
overtake,赶上并超过,当间谍,运输工具,盖章
quiescence,静止,勉强,无理,隆重
reverence,崇敬,引咎,可敬,向往
multitude,大众,东西,分子,人群
wean,戒掉,平等,空白,生长
neutron,中子,电子,原子,原子核
deferential,顺从,遵循,触犯,违反
contingent,意外,不至于,偶然,人寿保险
vanilla,香草,薄荷,苔藓,藜
sustenance,生计,人道,餐饮,午饭
attic,阁楼,城堡,厂房,农舍
spawn,(鱼等)卵子,女人,千克,(温度计等)零度
seclude,和别人隔离,彻底,不动摇地,审讯
susceptibility,易感性,伙伴,罐头,分别
ceremonious,仪式隆重,拉紧,成语,成为
outrage,暴行,表现,司法权,毛病
portrait,肖像画,壁画,屏条,图标
bouquet,花束,麦芽,雌花,秧苗
caldron,(煮汤用的)大锅,怒吼,无误,小钱袋
prudery,过分守礼,把(钉、桩等)打入,抹,原型
rueful,后悔,不顾,自愿,悔罪
lance,鱼叉,刀子,剃刀,圬
introspection,内省,悔恨,悔改,顾及
carnivore,食肉动物,竹子,博物馆,音乐
anorexia,厌食症,多发病,病灶,肺炎
audit,旁听,模拟,主修,不求甚解
spelunker,爱好探察洞穴的人,相信,学习,楼
charitable,宽厚,邪恶,罪恶,不仁
nethermost,最低,矮小,极大,矮胖
postulate,假定,不然,由此可见,凡是
hedgehog,刺猬,豺,豪猪,黑貂
adversity,不幸,胜利,发迹,暴发
buck,雄鹿,经过,…的理由,书店
intestate,未留遗嘱,业务费用,移动,掌握
poncho,雨衣,盔甲,旗袍,中山装
dilettante,半瓶醋,对答如流,不辨菽麦,孩子气
staccato,(音乐)断音的,楼层,(人,(英)运货汽车
otter,水獭,蜥蜴,蟾蜍,青蛙
flutter,拍翅,斗争,舆论,蜜蜂
submissive,恭顺,尊敬,客气,不吝
revenue,国家的税收收入,超出,辩护,不吸烟的人
unsubstantiated,未经证实,咖啡茶,躲藏,顺着
bribe,贿赂,活动,受贿,贪污
thresh,打谷,收割,钓鱼,打猎
suspend,吊,翘,悬垂,突出
offspring,儿女,双胞胎,独生子女,幼女
dote,昏聩,大无畏,僵硬,便宜行事
claim,要求或索要,宠物,(学科的)分科,推测
decelerate,(使)减速,叫,议案,俘虏
slippery,狡猾,真挚,虚伪,忠实
halo,(日、月等)晕,态度,蠕(虫),边界
retrieve,寻回,攻克,粉碎,扰乱
bonnet,圆帽,只...),想到,抱
podium,讲坛,柜台,炮台,舞台
mogul,显要人物,静止,晒干,用药麻醉
chord,和弦,(非正式)抓住,伤员,武器
symbiosis,共生(关系),欣赏,十四,因而
ire,愤怒,懊丧,暴跳如雷,迁怒
potentate,统治者,喾,董事,承包人
headlong,轻率的(地),油煎,仅仅,嫩枝
munitions,军火,化学武器,常规武器,马蹄铁
drench,使湿透,江,有本事的,眩晕
fast,很快,暮,附近,迟到
imperil,使陷于危险中,逼人,安如泰山,艰苦
warranted,凭正当理由的,争论,中止,根本
profundity,深奥,神秘,流利,低等
bulwark,堡垒,兵营,核电站,仓库
pretence,虚伪,叛逆,百依百顺,不甘心
dual,双重,不再,到底,接着
municipality,市政当局(指城市行政区及管理者),用步子测量,不飞,抽取
spineless,没骨气的,浪荡,规矩,坚定
ordnance,大炮,手枪,扳机,左轮手枪
phenomenology,现象学(对现象的哲学研究),场地,陷阱,行礼
fosse,护城河,南海,小河,波罗的海
prank,恶作剧,开玩笑,逼迫,诱惑
blanch,(脸色)变苍白的,只...),破裂,件
audacity,大胆,坚强,无所谓,糊涂
debacle,解冻,褪色,变质,冰冻
mortgage,用...作抵押,体育,记者,信封
requisition,要求,求爱,惦念,向往
unobservable,难以察觉,疾驰而过,瓶子,机会
sacred,神圣,贞洁,淫猥,端庄
qualified,有资格的,口角,筒,醉酒
zephyr,西风,和风,疾风,东风
reserve,谨慎,负责,浪费,粗心
recommend,推荐,保送,代表,出面
scalpel,外科手术刀,马车,掌握,(给试卷)打分
remittent,(病)间歇性的,靠,夫人,小包
exhort,力劝,劝说,归咎,游说
boudoir,(女人的)化妆室,图书馆,洞房,编辑室
foreshadow,预示,在于,反映,显得
sequacious,盲从,抵制,背道而驰,违犯
retrogress,倒退,建设,败坏,普及
comply,遵循,由,通过,按说
jest,说笑,对话,仗义执言,诉说
insecure,不安全的,歌颂,相反,对某事物之狂热爱好者
platitude,陈词滥调,言论,说法,答词
nominal,名义上的,无疑,仿真,渺茫
memorial,纪念碑,故宫,东宫,克里姆林宫
ocular,可见,预兆,来源,显示
incommensurate,不成比例,办事处,行为,容貌
inkling,略知,障碍,注意到,栽培
inter,埋葬,相象,混合比,下级
vainglorious,自负,辞职,包揽,承担
garrulous,唠叨,赘述,乱说,通信
unflappable,不惊慌的,从容不迫,迫切,恐慌
neonate,初生儿,强大,责任,(狗尾巴等)摆动
arctic,北极,纬线,赤道,大陆
creek,小湾,冰河,深水,昆明湖
avenge,为...复仇,出汗,承认,为什么
showy,炫耀,辐射,闪电,惊涛骇浪
connoisseur,鉴赏家,制作者,郭沫若,大家
sarcasm,讽刺,嘲笑,笔战,争议
compassionate,有同情心,售书员,叙述,不一致
falsification,篡改,违章,纠正,纠察
grant,同意给予,农业,时期,在…之下划线
conference,讨论会,负担,分会,常委会
self-effacing,不爱抛头露面的,精选,冲刷,流传
flustered,慌张,如饥似渴,迫切,抱愧
inalienable,不可剥夺,喂(养),嚼烟,记忆
douse,把...浸入水中,公斤,重要性,充满活力
contagious,传染,免疫,带动,感染
rescind,废除,连锁反应,舍命,放弃
indenture,契约,合同,保证,条款
reptilian,卑下,权威,无名,第一
carpenter,木匠,裁缝,艺人,劳工
vituperative,辱骂,争吵,叫嚣,责骂
hover,翱翔,念,滑翔,倾斜
mollycoddle,娇生惯养的人,遗失,野生生物,恶毒
mitigate,减轻,上升,减肥,攀升
frequency,频率,通宵,减缓,整天
diminuendo,(音乐,争论,震动,显露
alert,警惕,不经意,入迷,专心
trite,陈腐,公平,白色,开展
inventory,存货清单,甜点,姨父,跟踪
dumbfound,使...惊讶发愣,弓,茫茫一片,虎
autonomy,自治,归顺,治理,办理
preservation,保护,保驾,侍候,关照
quay,码头,萨拉热窝,大城市,合肥
phial,小瓶(药水瓶),因而,温柔,一般
plump,颇胖,可怕,平衡,广大
indiscreet,不谨慎的,女神,管理部门,触
escort,护送,服务,保安,保驾
dally,闲荡,探险,消遣,兜风
byzantine,像迷宫似,分布广的,虚构,蒸熟来吃)
peel,外皮,尾巴,不随意肌,膀子
peripheral,不重要的,海外,对内,对外
screwdriver,螺丝起子,钻,棍棒,夹子
substratum,基础,界限,限于,典型
hidebound,顽固,能干,对答如流,灵敏
lure,诱惑力,心理,观念,力量
closet,壁橱,屏风,架,碗柜
skim,从液体表面撇去,以后,离开,意义
praise,赞扬,抵制,违心,拍案叫绝
principle,原则,表语,状语,补语
file,锉刀,夹子,铲子,刨刀
ignoble,卑鄙,贞洁,无聊,淫猥
rout,大败,打败,战胜,胜过
malefactor,罪犯,在传播,十四个,公正
sway,影响使改变,在...对面,在...以后,法国人
hypothesis,假设,不独,因为,连
untutored,未经教育,冰冻甜食,然后,辫子
redeem,赎罪,索赔,赎回,补税
respiration,呼吸,叮,舔,吸气
oblation,宗教的供品,寿礼,宝贝,宝石
numb,麻木,疯狂,瘫痪,狂热
discretion,谨慎,负责,不知死活,识相
torpor,死气沉沉,懒洋洋,激昂,屏息
volatile,反复无常,变幻,衍变,变质
dilatory,慢吞吞的,交通,短路,触发
stencil,用模板刻写,创始人,打结,收益
agile,敏捷,半夜三更,初,不翼而飞
agglomerate,凝聚,会合,分离,背井离乡
stupefy,(使)茫然,桥,总管道,剩下
bromide,平庸的人或话,新闻广播,完全,公开
destitution,匮乏,可怕,丰富,迷人
demure,严肃,大喜,凄惨,神经过敏
sledgehammer,长柄大锤,击,练习,闪电
equipoise,平衡物,生计,复习,塑料制品
exuberance,愉快,狂喜,鞠躬,大快人心
gynaecocracy,妇人政治,铅笔,信念,课时
levy,征税,税收,补税,缴纳
gangway,(上下船的)跳板,把…比作,近代,盥洗室
commonplace,平常,艰巨,困难,及格
farewell,再会,系,南方,明智
lettering,刻字,裁剪,劈开,雕刻
pyre,火葬用的柴堆,广场,从…取血,达到预期目的
overestimate,对...估计过高,伙伴,谋划,旅游者
enamel,珐琅,板牙,脖颈儿,颈项
ineligible,没有资格,十几个,调停,成为(表示变化)
mollification,缓和,赶紧,加深,复兴
adage,格言,谓语,氨基,表率
hybrid,杂种,性别,省级,豆科
inanimate,无生命的,由铁道运输,是,喧闹
arbitrate,仲裁,额定,确认,推翻
brindled,有棕色斑纹的,加倍,这(那)些(指特定的人或物),墨镜
upgrade,提升,折磨,丢饭碗,贬低
faction,派系,联合国,北约,帮会
amalgam,混合物,介质,金属,文物
idolize,极度喜爱或仰慕,住宅区,扩大,剧本
poise,泰然自若,安稳,安心,抱歉
undesirable,令人不悦,厌倦,博爱,不共戴天
fluent,(指人)语言流利的,使破灭,烟,气体
burgeon,迅速成长,渐进,昂首阔步,振兴
facilitate,使容易,兴奋,寄予,强加
molest,骚扰,打败,打破,夺回
correspondent,记者,编审,编者,翻译
perspective,(判断事物的)角度,常规,角度,文法
indoctrinate,教导,野营,提供,最后
confine,限制,助长,拔苗助长,妨碍
modish,时髦,崭新,潮湿,现有
missive,(尤)公函,(使)滑行,延迟,想
plunder,抢劫,绑架,犯罪,断路
quarry,采石场,磁场,殡仪馆,股市
alliteration,头韵,内地(陆)的,可作解释的事物,编织针
prudence,谨慎,漂浮,负责,识相
chaff,谷物的皮壳,槟子,杏仁,家畜
plane,刨,叫,紧急,满意
riot,参加暴动,国家,电影院,协议
unenlightened,愚昧无知,对答如流,差劲,才疏学浅
diverge,分歧,纠葛,世仇,恩怨
cardiologist,心脏病专家,优点,玻璃杯,机会
prognosticate,预测,盼望,估计,巴不得
paranoid,偏执狂的,怀疑,人称,观察
artless,粗俗,色情,高雅,卑污
rubble,(一堆)碎石,雨滴,喷泉,遗迹
quote,引用,参考,介绍,简介
splice,接合,流行,接口,遗传
variable,易变,应该,常见,矫正
implacable,难以满足,一把,鞋,很好
attribute,把...归于,敏感,那个,街区(四条街中间的区域)
forwardness,大胆,顽强,不敢越雷池一步,智慧
intent,专心,疑惑,大意,警觉
maniacal,狂热,疯狂,崩漏,瘫痪
acknowledge,承认,批评,公认,狡赖
embitter,使痛苦,约定,目标,他
impediment,妨碍,有助于,制约,寄予
symmetry,对称,适应,相配,不切实际
indulgence,放纵,放任,趋附,庇荫
smear,油渍,笔迹,疤痕,痕迹
resound,回荡着声音,无可非议,由铁道运输,主角
recount,描述,宣示,阐述,详述
wangle,用巧计或花言巧语获得某事物,使接替,平常日,童年
panache,羽饰,辐射,冒烟,反射
ebullience,兴冲冲,狂喜,欢腾,大快人心
foreclose,取消抵押品的赎回权,摔跤(运动),家务,青春
projector,电影放映机,喇叭,无线电,电话机
leakage,渗漏,通风,将近,堵车
plaque,血小板,激素,痰,生长激素
cajole,(以甜言蜜语)哄骗,无声,空的,滑冰鞋的滑刀
analysis,分析,探讨,字斟句酌,简介
exposition,博览会,国会,大会,分会
lathe,车床,硬盘,光碟,软盘
arboreal,树木,疤痕,森林,裂纹
suffocate,(使)窒息而死,做得到的,人体的本能,船形物
element,要素,命脉,卖点,成份
ruffle,弄皱,冲撞,骗取,缠绕
inconsequential,不重要的,不痛不痒,画蛇添足,紧迫
distinct,清楚,悲悼,记忆,忘记
engrave,在(硬物)上雕刻,致词,忠实,(光、色等的)带、条
high-minded,情操高尚,废墟,完全,和睦
addition,增加,干,浸透,缩短
scour,四处搜索,罚,功率,领带(结)
swine,猪,黄色,半,推论
relinquish,放弃,断送,舍命,卷入
prickly,多刺,有趣,待遇,真正
dictate,口述,记述,描摹,记载
incendiary,放火,犯法,抢劫,断路
flirtatious,调情,同性恋,求婚,兜风
corona,冠(状物),顾客,(大)猫熊,早餐
carp,鲤鱼,标签,丹方,说明书
rung,梯子横挡,体制,层次,框架
systematic,有系统的,小型,估量,在头顶上
fallacy,谬误,抽象,百无一失,合理
reluctance,勉强,调戏,强迫,摆布
tickler,棘手的问题,课业,功课,页码
bondage,奴役,独霸,让位,在野
subjection,顺从,对抗,信守,违例
conventional,因循守旧,自私,大公无私,进步
exigence,危急关头,炉火,这(个),应用
adaptable,有适应能力的,老年,亲戚,咖啡色
detoxicate,除毒,洗刷,打消,放弃
yokel,乡巴佬,华侨,华人,居住者
tranquility,宁静,恐慌,如饥似渴,落实
committed,(对事业,每,转播,划(船等)
bathetic,假作悲伤,落后,不平,强暴
flaw,瑕疵,优点,便宜,私利
turncoat,背叛者,完全,使产生,取得
forager,为动物寻找饲料的人,尝试,蚂蚁,全体划船队员
veer,转向,切换,交换,改编
instinct,本能,推动力,眼光,竞争力
vaporization,蒸发,焦,烧毁,溶化
epaulet,肩章,图书,白蜡,徽章
ponderable,可估量的,学),严谨,打
stratum,地层,基础,天花板,地面
crook,钩状物,拉,把…捏成球状,包裹物
apolitical,不关心政治的,信息通路,麻烦,监视人
unequivocal,不含糊的,不露声色,暧昧,明文
mutinous,反抗,不可抗力,抵抗力,防卫
whit,一点儿,纷纷,芸芸,微不足道
norm,规范,课外,业余,本职
marrow,精华,财富,偏见,宝贝
gorgon,蛇发女怪,借,大大,搬
lagoon,泻湖,池塘,长江,昆明湖
gaucheness,不文雅的举止,(旅游的)接待处,显示,摆弄
instinctive,天生,把稳,外来,正统
presumption,冒昧,操切,慎重,小心
wardrobe,全部服装,装货(或人),冲,投票
noisome,令人不快,在里面,不听命令,使想起
sonata,奏鸣曲,戏剧,京戏,歌剧
threadbare,磨破,进步,大公无私,蛮干
self-control,自制,制片,培修,仿造
bicker,为小事争吵,国籍,相信,嗜好(不包括阅读等)
aggrieve,使痛苦,直接,通用,悲痛
hail,致敬,你好,写信,汇寄
filthy,龌龊,蓬松,眼花缭乱,失调
hortative,激励,加以,堵塞,助长
pleat,(衣服上的)褶,脑力,使处于某种状态,思想
factionalism,宗派活动,成功而风行一时的事物,办法,主要
affidavit,宣誓书,渴求,相像,假装
redirect,改变方向,正确无误,淘汰,影响
incite,激发,拔苗助长,促进,杜绝
valid,有效,百无一失,严密,抽象
infertile,无法生殖,不同意,它,地面
