#word,meaning,option1,option2,option3
underestimate,低估,预测,猜测,出乎预料
naked,裸体,覆盖,露出,笼罩
magistrate,地方法官,标准,使诧异,压制某人
lateral,支线,通路,线路,集成电路
extinguisher,消灭者[物],妙的,暴露,显示出...与...联系
chew,咀嚼,误会,相识,认识
helicopter,直升飞机,空间站,冰橇,舵
dodge,闪开、躲避,事,大多数,端庄
charm,魅力,电力,潜力,实力
commence,获得学位,政党,塑料,空想
thorn,带刺的灌木,低声说出,土地,吻
volcanic,火山,海域,巫山,陡坡
unduly,不适当地,多么,无比,不外
format,为(书刊)安排版式,让给,自豪,烟囱
statesman,政治(活动)家,突然袭击,类型,(纸牌、国际象棋中的)王后
inhabitant,居民,市民,华侨,华裔
allowance,零用钱,会费,旅费,军费
submit,提议,探讨,呼叫,呼唤
tolerable,可容忍的,得不到,是否,相应
subtitle,副题(书本中的),看护人,马上,香粉
maritime,海的,矿工,锻工,技工
merge,结合,纠缠,失效,互通
drown,淹死,溢出,流动,漂移
mushroom,蘑菇,期满,到期,不堪
planetarium,行星仪,下落,意思,表象
flora,（某地区或时代的）植物群,在...附近,超前,改建
meringue,蛋白酥皮筒[卷],(声音)低沉地,共同,成年
thrust,猛推,逗人发笑,归于,中秋
amount,数量,总数,跨度,食指
superstructure,建筑物,房子,堆肥,豆饼
ammonia,(化)氨,恶毒,怨,介绍
meteorology,气象学,高科技,科目,医学
congress,代表大会,电话会议,研讨会,国会
treatment,治疗,版刻,绘图,速写
momentum,动力,握力,电力,核能
commuter,通勤者,十足,一般,发出警告
unicorn,（传说中的）独角兽,匆忙,虚弱,蹒跚
wording,语法,逻辑,道理,目的
signature,签名,报废,报案,报关
coincidence,巧事,奇事,轶事,婚姻
overseas,到国外(的),秩序,板,超出
version,看法,异议,意念,意见
appreciate,评价,评比,点名,蹲点
millennium,一千年,恢复,环境,低劣的报纸
focus,焦点,卖点,排队,精神
bite,咬,叼,呼吸,吐
frail,脆弱,聪明,剽悍,坚强
pageant,壮观的游行,集市,脱衣服,手段
revise,复习,实习,进修,不求甚解
implicate,牵连（于罪行中）,关心,喂(养),烟火
semester,学期,东晋,北魏,任期
observance,奉行（法律,违反,顺从,保育
tactic,手段,暗箭,把戏,毒手
commonwealth,共和国,盟友,中华,大国
furnace,火炉,玩具,风筝,扳不倒儿
namely,即,诊所,精确,反对
contrive,计划,筹措,痛快,打算
complexion,情况,势在必行,大概,巨流
opening,孔,水路,便道,不冻港
canvas,帆布,绒,缎子,补丁
coincide,恰好相符,没有,渐衰期,牵制敌军
swarm,（蜜蜂）一群,拳击,动身,这(个)
festival,节日,冬至,白露,劳动节
chromosome,染色体,韧带,骨髓,核子
coordinate,协作,大显身手,抱佛脚,面临
charity,仁慈,邪恶,丧心病狂,那个
upholster,装饰,仿造,酿造,制作
symbol,符号,标号,编码,页码
succinct,简明,非法,隐约,潜在
somewhat,有点儿,层层,多数,丰富多彩
maim,使残废,侦探,释义,能
ardent,热心,自豪,索然,殷勤
hurdle,跳栏,束缚,鹅毛,屏障
grumble,抱怨,厌倦,痛恨,哀怨
institution,创立,办学,标新立异,办报
trigger,扳机,弹药,手枪,长枪
virtually,几乎,果真,真正,不如
prevent,预防,损害,避讳,防水
overcome,战胜,洗刷,缓解,横扫
blast,一阵,吨公里,海里,公尺
mess,混杂,交叉,围绕,传播
flicker,闪烁,衍射,发光,呜咽
submerge,潜入水中,增加,印记,摸
flourish,挥舞,抖动,拨号,挪动
porch,门廊,楼梯,庭院,走廊
drain,消耗,园艺(学),护理,节日
indelible,擦试不掉,半天,短命,冰天雪地
antiquated,陈旧,优美,现有,古老
digital,数字,单字,卜辞,文字
bang,砰地,奶奶,作坊,树干
tangible,可触摸的,虫,理由,庄重
receipt,收据,保单,存根,图片
perverse,刚愎自用,灵活性,毒化,机械
stroke,中风,瘫痪,疯狂,堵塞
airing,风干,增加,紧缩,浸透
title,标题,牌子,俗称,帽子
certify,证明,预兆,标志,可见
adoption,采用,用以,辨认,断定
deadline,截止时间,橱柜(放食物或衣物等),(使)腐烂,每
cabinet,内阁,部门,痞,疹子
odyssey,奥德赛,体操馆,车辆,函件
comprise,构成,接口,隔离,联网
laden,负载,份量,厚度,尺寸
conscientious,负责,包干,自负,辞职
quota,(生产、进出口等的)配额,母亲,注视,离开
protocol,外交礼节,让开,谈判,迁就
rectify,纠正,画蛇添足,改过,补偏救弊
maiden,未婚,三位一体,众志成城,定向
lethal,致命,无情,凶猛,尖锐
bark,吠,更,吃,各
pilot,驾驶(飞机等),张,打击球,印刷机
chronology,年代学,科技,高科技,科目
counselor,参事,支柱,申请人,师傅
abortion,流产,崩溃,暴露,倒闭
commissioner,地方长官,毛泽东,首相,经理
ally,同盟者,游伴,同学,同事
baffle,迷惑,欺瞒,欺诈,兵不厌诈
suite,一套房间,有风,昔日,合伙人
carrier,带菌者,徐悲鸿,孟子,隐士
clamor,叫嚷,拥挤,隆重,无声
strip,条,奇特,搁,淋浴
execution,死刑,徒刑,经济,流氓罪
constitute,制定,原定,报到,额定
locker,小柜,椅子,球台,课桌
hillside,山坡,幽谷,陡坡,矿山
grudge,吝惜,惋惜,不惜,同情
promising,有希望的,变化,家务,标准
safeguard,安全措施,来自北方,独有,切
landmark,重大的事件或发现,标语牌,筹码,岸标
secretion,分泌物,等级,钟点,出口
chat,聊天,提到,列举,提出
induce,引起,免疫,造成,敦促
advent,到来,降临,来自,登月
flank,(军队的)侧翼,对于,影子,规矩
regardless,不管…的,战胜,起床,品质
review,回顾,挂念,惦念,求爱
intersperse,散布,开列,堆积,排列
tyre,轮胎,龙头,轮子,舱
filter,过滤,淘金,切,筛选
analytical,分析,标点,字斟句酌,简介
refund,归还,退还,退票,借出
ravage,破坏,撕毁,打破,倒塌
plea,请求,打听,干涉,探路
insight,见识,功夫,生产能力,心理
cooperate,合作,大显身手,尝试,做出
nutrition,营养,氨基,成份,补语
stationery,纸张文具(总称),英(美)喂,日报,联营
pole,磁极,尺寸,极了,马力
evoke,唤起(回忆、感情等),戴,看见,障碍
storey,层,栋,对,棵
whip,快速或突然移动,全盛期,此外(还),变化
handicap,障碍,遗产,屏障,赘疣
alphabetical,依字母顺序的,(由葡萄等制成的)水果酒,涂油,忧虑
delta,(河口的)三角洲,较好,在当代,图章
grace,优美,妖艳,妖冶,古老
tremendous,绝好,衍条,(用链条)拴住,战争
boycott,抵制,赞扬,顺从,违心
homestay,客居外国家庭期间,门票收入,重大,擦
scorch,挖苦,丑化,争论,笔战
handbook,手册,信用卡,光谱,留言簿
function,(机器)运行,苍白,创始人,使人十分惊奇的
numerical,数字,卜辞,分号,汉字
stereo,立体声的,履行,(仪表等的)读数,控制板
optical,视觉,恶感,恶意,反感
confluence,合流,合成,集成,东拼西凑
tune,调整,调遣,对调,调剂
mount,…山峰,(装饰用的)瓶,集会场所,启示
catalog,对…编目,爱情,醉汉,表面
inference,推论,主持,以为,坚持
electrician,电工,帮工,裁缝,海员
paramount,最重要的,自愿,宴会,效果
estuary,河口,渡口,鼻儿,城关
outdo,胜过,适应,不及,下列
obstinate,固执,灵活性,机智,毒化
truce,停战,截至,下马,熄灭
verify,证实,来自,体现,取决
content,)目录,由于,不真实的,雇用
icon,肖像,暴病,合影,半身像
flagstone,石板,笔杆,笔架,圆珠笔
reputation,好名声,众望,名望,盛名
entail,必须包括,诧异,遭遇,商定
christian,基督教教徒　,解决,在…旁,折叠
peculiarity,奇怪,或者,不够,莫非
enormously,非常,分享,最少,采纳
evaluate,评价,评比,点名,督促
categorize,把…分类,包含,贯穿,副词的比较级之后)比
waver,犹豫不决,如饥似渴,落实,坦然
cyclic,周期性的,英镑,崇拜,深深
percussion,撞击,刺激,转身,润滑
clue,线索,病理,角度,贬义
rough,粗暴,热心,爱面子,冷酷
magnificent,壮丽,灿烂,俏皮,锦绣
chimney,烟囱,存储器,路由器,卫生设备
placid,安静,如饥似渴,不知所措,抱愧
shuttle,梭子,丛,对比,叠
supplement,补充,加长,加宽,升值
minority,少数民族,操纵,遭遇,只...)
issue,发给,接收,发出,招收
predict,预告,可见,展示,证明
wicked,顽皮,孝顺,严厉,自然
secular,世俗的、尘世的,盼望,迅速,可可粉
tyrannical,暴虐,慈悲,不道德,敦厚
accuracy,准确,完善,百步穿杨,不足为训
intermediate,中间,唯一,困难,第一流
gauge,标准度量,家乡,约请,钞票
quagmire,沼泽地,沙漠,内陆,田野
metro,伦敦地下铁道,路边,高速公路,南京路
rip,撕扯,折断,拥抱,剥离
establish,确定,定案,务实,否定
witness,为…作证,预兆,可见,归属
bend,(使)弯曲,搅拌(奶油,规则,驾驶
scrupulous,谨慎小心的、细心的,预告通知,游戏,进一步地
quarterly,季度的/,不符,意外遭遇,计划
objective,客观,勉强,笔误,对付
elated,得意洋洋,悲喜交集,欢腾,快乐
displace,使错位,使认识到,结构,跳动
genetic,遗传学的,集合,把…捏成球状,低级
glimpse,一瞥,清除,在中间,种类
diversity,多样化,商业化,工业化,情绪化
impetus,推动力,传统,骗术,本能
mangrove,红树林,冬青,乔木,杜仲
sprout,萌芽,衍生,散发,失去
current,(水、气、电)流,达最低点,说话,弄乱
solution,溶液,水泡,岩浆,泡沫
abundance,丰富,升值,压缩,增多
piston,活塞,弹簧,轮轴,皮带
inattention,粗心,当心,断断续续,孟浪
bookcase,书架,棉被,被褥,壁橱
slate,石板,笔架,笔心,圆珠笔
entrepreneur,创业人,发明家,创造者,研究员
obsolete,废弃,舍命,断送,弃权
hose,软管,板子,木板,白煤
apparent,明显,笼统,暧昧,有效
jumble,揉杂,交叉,包围,传输
main,主要,开玩笑,卑微,要紧
pledge,发誓,重申,传达,指出
shatter,使粉碎,参赛的人(物),海滩,点燃
bake,烘烤,滑溜,吃饭,煨
mandatory,命令,提倡,集合,独揽
pastry,酥皮点心,白糖,饼饵,饼子
verdict,判断,挪用,动用,比照
troupe,歌唱团,运动场,报社,电影院
grope,(暗中)摸索,分析,研制,科研
positive,确实,情愿,究竟,不免
betray,背叛,篡夺,叛卖,颠覆
token,象征性的,冷淡,渡过,接受
amphibian,两栖类的,终于,园,帮(援)助
sour,酸的,没有,爆炸,沉浸
squeal,告密,欢呼,狂吠,飞翔
recipient,接受者,顾客,购买者,听众
deplete,倒空,白费,浪费,消费
considerate,体谅,担心,饶恕,约束
sodium,钠,立即,荒谬的念头(或建议),大的
perceive,认识到,在今夜,矿石,司法
tropic,回归线,热带,东经,北极
apparel,（精致的）衣服,仁慈,同情,豆科植物
medieval,中世纪的,东晋,北宋,北魏
horrible,讨厌,爱国,博爱,偏爱
supreme,极度,过于,秉承,百般
addict,使成瘾,在早期,的确,同种同族
marginal,微小,高度,深刻,薄弱
array,使…成队列,摆设,列为,张灯结彩
paranoia,偏执狂,失败,分布广的,解答(谜等)
distress,使悲痛,内容,开始变得,标题
prodigious,很大,强大,险峻,轻微
nitrate,硝酸盐,盐,硫磺,弱碱
catalyst,催化剂,状态,开业,缩小
comedy,喜剧,独幕剧,腔调,梆子
initiate,开始,拔锚,启动,动工
paraphrase,释义,标号,简介,引用
individual,个别,互相,不得不,独立
obscene,淫秽,多情,色情,兵连祸结
uncap,脱掉帽子,初级,滴落,同事
formidable,可怕,动人,广博,不得人心
indicate,(用手势、灯光等)指示,不平常的,吊着,责任
bias,使有偏见,斯文,倾听,上升
insert,插入,堵塞,钳,衬里
refreshment,)茶点,用膳,烘烤,尝试
legal,合法,暗暗,不三不四,明白
growl,(狗等)嗥叫,降职,风俗,使增加
impressive,感人,富于,缺乏,不得人心
modulate,变调,掉换,转向,切换
teem,大量出现,模范,进行选举,主人
cling,坚持,主持,公认,臆测
embed,牢牢插于,抱,(使)变浓,普通
stride,进步,昂首阔步,抢先,建设
quantify,确定…的数量,接到,补足,浅滩
discrete,个别,各个,从中,联合
credit,学分,原始,(作单位的)百,引进
sulfur,硫磺,水银,白磷,水晶
project,工程,航运,核工程,排水
motel,(附有停车场的)汽车旅馆,行骗,诙谐幽默者,工厂
grease,油脂,动物油,板油,豆油
whereas,鉴于,无论如何,由此可见,那末
relate,与…有关系,快的,广博,堕落
mechanism,机构,赘疣,政权,政府
vicinity,邻近,交界,逼近,过不去
translucent,半透明的,赞助,作出,聚集
bankruptcy,破产(状态),认真,解决,损失
exquisite,精致,机关,雌雄,人造
poke,戳,穿透,雕刻,倾倒
stale,陈腐的,愿意,美味可口,强暴(行为)
preferential,优待,待遇,虐待,有待
germ,微生物,宠物,哺乳动物,物品
warmth,热忱,尊重,谦逊,冷酷
recommendation,建议,议论,呼叫,务实
superfluous,多余,平衡,现存,足够
consist,存在于,激烈的竞争场合,遥远,四
infectious,传染,轰动,带动,免疫
maneuver,策略,制度,共和,独裁
remission,宽恕,放心,担心,爱怜
poker,戳的人,隔开,减小,想法
limitation,限制,兴奋,杜绝,妨碍
prescription,指示,禁令,通告,命令
consent,同意,承诺,协定,回绝
territory,领域,政界,波段,两手
porous,可渗透的,突然一阵(雨、烟等),争论,筑墙围住
bay,海湾,护城河,东海,陡坡
stimulus,刺激物,使坚强,快活,迟于
slab,厚板,暴涨,谋杀,瞬间
artificial,假的,直接,紧急,几乎全部
falsify,窜改,修正,编次,编印
pendulum,(钟等的)摆,紧密,在楼上的,承诺
wreathe,完全笼罩,编织式样,攻击,敲
impede,妨碍,堵塞,封锁,兴奋
radical,(数学)根的,伙伴,索取,作业
compensation,补偿,淘汰,补票,加油
shamble,摇摇晃晃地走,你们亲自,光辉,动身
compromise,妥协,巴结,调和,驯服
alternate,交替,间接,挨次,亲手
dispatch,急件,白皮书,方案,议案
coach,训练,补课,补习,讲解
proportion,部分,毛茸茸,对偶,大多数
substitute,代用品,证物,构件,物件
accountant,会计,售货员,经纪人,移民
jail,监狱,公安局,法庭,兵工厂
exceptional,例外,同屋,同时,等于
capacity,能力,想像力,高技术,手艺
exasperate,使恼怒,缠绕,阻碍,骗取
pinch,困苦,贫困,敲打,俨然
descent,下降,日落,猛跌,跌价
offence,冒犯,骗取,兵不厌诈,缠绕
modify,缓和,改善,增进,抓紧
comparable,可比较的,血亲,检查,起源
reimburse,偿还,借出,退还,退票
remarkable,显著,不明,隐约,不可告人
ascent,上升攀登,宣告,在今晚,图书馆馆长
weary,疲倦,激昂,饱满,不赞一词
ensue,接着发生,前往,来自,来到
thesaurus,词典,参考书,年鉴,剪报
forte,（音乐）强音的,负荷,扫除,用铅笔写
hug,搂,轴,丛,把子
colony,殖民地,邻国,本国,帝国
reckon,想,出乎预料,预计,估计
hostile,敌方,亲信,比邻,一行
ferry,渡船,游艇,出租车,拖船
reciprocal,互利,不劳而获,受苦,暴发
touchy,敏感,机械,迟钝,胆小
even,偶数,零头,单数,因子
tuberculosis,结核病,性病,暗伤,疫病
manhole,人孔,场地,争论,伙伴
timely,及时,渐次,不久,不止
neglect,忽视,小心,松弛,入迷
sexual,性欲,野心,食欲,要求
manipulate,操纵,判明,识货,挪用
lounge,闲逛,兜风,恋爱,消遣
punctuation,标点符号,调号,密码,逗号
monitor,监听,裁判,督促,点名
cognitive,认识(力)的,拔出,非凡,包装材料
hubbub,嘈杂,寂寞,隆重,冷静
acclaim,向…欢呼,询问,推翻,承认
pedal,踏板,石板,铁板,板子
nitrogen,氮,轻信,使中圈套,移居者
annuity,养老金,版税,工钱,报酬
suspense,悬念的状态,提及,谁,空出
declaration,宣告,召集,宣传,责成
bronze,青铜色,铝,黄铜,白银
energetic,精神饱满,关税,钢板,使卡住
plus,加上,收缩,干,增多
ale,淡啤酒,热望,过错,运行
concise,简明,有用,含糊,暗地里
adult,成年人,姥姥,长老,年轻人
culminate,达于极点,升起,毛病,刺激
crack,发出爆裂声,监视人,兄弟般的,盘)
embarrass,使窘迫,后面,油漆匠,片刻
crouch,蹲伏、弯腰,判决,充满活力,命令
spur,激励,推进,兴奋,堵塞
controversy,争论,笔战,诽谤,笑话
uphold,支持,在于,保全,在前
exclude,把…除外,侮辱,暗害,孤立
nozzle,喷嘴,翅膀,宝座,耳子
cluster,串,堆,绺,担
colossal,巨大,波澜壮阔,美好,奔放
pesticide,杀虫剂,阿司匹林,软膏,泻药
sprint,(短距离)全速奔跑,坚强,执照,地区
unfold,逐渐表露,手段,只不过,身份
reel,线轴,同性恋者,有节奏地敲击,折中
asthma,气喘病,多发病,禽流感,肺炎
ideology,意识形态,宝藏,短见,鹅毛
hospital,医院,剑桥,哈佛,电影院
lease,租约,契据,协定,合同
reluctant,不愿意的,迫使,恐吓,强制
sewage,(下水道)污水,诙谐幽默者,末尾,此外(还)
cancel,取消,免除,命名,解散
interpreter,译员,姥姥,兽医,媒体
shaft,竖井,渠道,谷仓,核电站
mold,造型,身材,形势,三角形
expand,展开,并举,断电,巡回
percentage,百分数,百分比,速率,入学率
attend,照顾,保镖,侍候,保护
fetch,找来,拉紧,了解,鲁莽
inertia,惯性,酸性,中性,重要性
insure,保证,不出所料,到底,有时候
relapse,旧病复发,新生,起来,改进
insurance,保险,到底,或者,双重
sponge,海绵,钻石,化学,化肥
inspire,使生灵感,习字帖,劳资协议,可判死刑
friction,摩擦,不期而遇,触发,着陆
scratch,搔,第一位的,安排,相像
whirlwind,旋风,顶风,暴风骤雨,阵风
ventilate,使通风,奇异,膝部,原子核的
linen,被单,毛毯,壁毯,枕头
cartography,制图法,速写,雕琢,素描
rural,农村,费城,神户,汉密尔顿
split,分裂,众志成城,团圆,告别
commute,承车上下班,法官,(安然)度过(暴风雨、难关等),你自己
extend,给予,发汗,加以,致死
practitioner,律师,阿姨,检察官,陪审团
sponsor,发起,宣传,召回,总动员
volume,书卷,年鉴,小册子,字典
observatory,气象台,路透社,美联社,出版社
ketchup,蕃茄酱等,海滨(的),责备,地面
presentation,陈述,上述,记述,详述
reassure,使(某人)安心,书商,发现,收集的东西
legion,兵团,年级,军,班级
prudent,谨慎,奢侈,节省,识相
bleed,从…抽取液体或空气,连接,岛民,无论什么时候
pounce,猛扑,鞠躬,冲突,致敬
notorious,臭名昭彰,丢脸,尴尬,得意
batch,一组,过路人,礼物,毒气
frown,皱眉头,端详,眺望,接吻
yard,码,困惑,海里,矿山
survey,检查,推举,大选,开除
brutal,残忍,强暴,敦厚,坦率
forgive,原谅,顾虑,体贴,注意
rigorous,严酷,民主,大气,大方
stake,赌注,巡航导弹,阄,骰子
thrive,兴旺,和平,按兵不动,多情
correspondence,符合,意气相投,戏剧性,不切实际
tag,标签,便条,丹方,呈文
antonym,反义语,文科,仅仅,封条
exuberant,(人)充满活力的(植物)茂盛的,鱼,秘密,喝
pursuit,活动,对流,流动,奔泻
decay,衰退,勃兴,破败,不失为
mundane,现世,升迁,免职,失业
numerous,为数众多,不乏,多糖,千万
overload,使超载,压榨,履行者,扁平的块状物
monster,怪物,鬼魂,恶鬼,西方
finance,为…提供资金,伸展,更坏(差)的,小型别墅
dread,恐惧,惊愕,懂事,杯弓蛇影
elevate,抬起,增高,上涨,衰减
ostentation,夸示,辐射,惊涛骇浪,冒烟
groove,开槽于,中心,收买,晒干
bewilder,迷惑,欺瞒,骗取,兵不厌诈
alpine,高山,海岸,群山,山脚
permit,允许,协定,答应,不容
timidity,胆怯,睿智,坚定不移,智慧
compliance,服从,违犯,违背,遵守
breeze,微风,冰山,暴风,和风
source,来源,百川归海,标志,认证
coerce,强迫,播弄,寻开心,恐吓
curriculum,必修课程,有金属特性的,十三(个,事业
retrospect,反顾,理会,不顾,自愿
forensic,法庭,政府部门,厂子,警察局
drill,钻孔,螺丝刀,夹子,棒子
emotion,感情,酸痛,感性,直觉
humble,降低身份,并列,旁观,敝帚自珍
shave,刮脸,化妆,补血,补养
vacancy,空房,实验室,礼堂,编辑室
scent,香水,胭脂,装饰,化妆品
foible,小缺点,颤抖的动作或声音,非常,估量
ozone,臭氧,电气,色彩,天然气
clamp,钳子,珊瑚,项链,戒指
likewise,同样,不谋而合,同期,附属
undue,过度,多么,多少,至少
end,终止,停火,收盘,僵化
cram,死记硬背,主修,模拟,预习
leafy,多叶,岛民,状况,技艺
inherit,继承,并举,一再,巡回
presence,存在,对应,满足,供需
bless,使圣洁,然后,不),温暖
inevitable,不可避免,毕竟,定然,一定
promise,有指望,集会,有限,丝织品
texture,(材料等的)结构,观测,特别节目,出席
pinpoint,极小之物,犄角,底部,冠子
carry,传播,遗传,谣传,传说
condition,)环境,多边形,三角形,身材
fastidious,难取悦的,刁难,拨弄,开玩笑
anatomy,解剖,动手术,治病救人,防治
toll,鸣(钟),(一节)课,任何..的事物,侄女
portable,轻便,难以,适合,手提
crooked,弯的,弄脏,拳击(运动),秘密
startle,使猛然一惊,八十,相对性,谋杀
extravagant,奢侈,不辞辛苦,谨慎,仔细
rotate,(使)轮流,铁路,商店,理想
orderly,整齐,丰衣足食,失调,贫穷
cog,诈骗,囤积,投机,诱拐
phase,使分段进行,意思,无可非议,规矩
database,数据库,内心,不错,(英国的)中小学校长
debris,(破坏物的)碎片,(大)团,镐,点
strait,困境,股市,境地,梦境
convince,使确信,红的,讲述(故事),美丽
cosset,宠爱,百听不厌,理会,厌倦
characteristic,特有,不知不觉,痛快,擅自
horizon,地平线,边陲,属地,本土
lap,(跑道的)一圈,(军事)行动,无用,(文章的)一节
commemorate,纪念,挂念,求爱,深思
install,任命,招收,委任,引用
pit,坑,心烦,出汗,怎样
sow,播种,培土,栽植,补苗
research,探讨,析出,字斟句酌,解析
noxious,有害,警备,不利,无害
exceedingly,过份,蚁,工作(量),欢快
thereby,因此,因为,除非,尽管
amuse,逗乐,可怜,奇特,尴尬
snowbound,为雪所封闭的,它的,抓牢,射击
glamour,魅力,电力,实力,国力
hazardous,有危险的,途径,院子,斯文
crumb,面包屑,微不足道,缤纷,一点儿
episode,插曲,伴唱,悲歌,催眠曲
forecast,预测,猜度,估计,预料
constitution,组织,董事会,阵营,电视台
specialize,使…特殊化,惦念,赞同,在…以下
let,出租,包租,买卖,佃
accompany,为…伴奏,灵魂,少量,后面
pilchard,沙丁鱼,金鱼,海龟,鲎
hike,远足,远征,对开,跋涉
toss,猛举,最差,无能,速度
uneasy,不安,病危,不爽,垂死
imperial,帝国,中华,外国,独立王国
giggle,痴笑,仔细,镜子,歌颂
alone,单独,独家,联名,就是
comic,有趣,怪僻,尴尬,可怜
panacea,万灵药,园,滚轴,生客
precise,精确,不当,笔误,完善
reverent,恭敬,爱面子,客气,不逊
navigable,可通船的,(乡间)小道,抖动,(使)生根
simultaneous,同时,即便,以便,加以
fret,(使)烦恼,汽车,氧气,扬声器
storage,贮藏,盯住,搜寻,寻的
vanish,消失,衍生,灭绝,失去
consultant,医院的高级专科顾问医生,要求,精神上,用途
genuine,真心,忠诚,叛逆,虚伪
mole,鼹鼠,松鼠,老鼠,猫
scorn,轻蔑、瞧不起,不允许,便士,一百个
alleviate,缓和,加深,改善,毒化
barn,饲料仓,发电厂,资料库,武库
crush,压碎,蚂蚁,复杂,后来
triumph,胜利,失败,覆灭,丢失
catch,抓住,挑起,免疫,促使
landscape,风景画,图标,壁画,素描
durable,耐久,柔软,轻轻,酥
corruption,堕落,振兴,奉行,向下
serpent,蛇(尤指大蛇或毒蛇),午夜,导致,清楚
chapel,小礼拜堂,祝福,朝圣,赶上
incur,招致,免疫,引起,致死
burrow,（兔子等）所掘的地洞,做成,进展,两次
perishable,（食物）易坏的,指挥,餐馆,发明(创造)的才能
bookkeeper,簿记员,直播,小型别墅,庙宇
symphony,交响曲,京戏,戏剧,催眠曲
tempo,（动作、生活的）步调,长短,科学院,深度
hepatitis,肝炎,白血病,胃炎,动脉硬化
violent,剧烈,生动,稳定,无情
inherent,固有,现成,原始,百无一失
pedestrian,行人,亲戚,舌头,旅游者
irrespective,不考虑的,看来,因为,鉴于
dingy,肮脏,严肃,失调,缓解
moral,道德上的,解放,第二,此外
staid,稳重,文雅,实在,慎重
legendary,传说中的,梆子腔,腔调,独幕剧
engross,全神贯注于,社会主义,耕作,集中
meditate,冥想,感恩,联想,深思
overtake,突然降临于,发送的货物,想象,研究
obligate,使负义务,恫吓,逼债,诱惑
multitude,众多,四方,不乏,多糖
evolution,进化,渐进,昂首阔步,落
wean,断奶,中断,止血,休会
ongoing,持续,从来,优先,老是
fall,落下,堕入,收缩,滑落
sustenance,粮食,袜子,白米,手套
seclude,和别人隔离,(表示间接关系)给,仪器,总计
consumption,消费额,次数,一个,比分
bouquet,一束(花),举起,论文,规定饮食
carnivore,食肉动物,颜色,过去,看待
tough,坚强,脆弱,无所谓,大刀阔斧
audit,审计,查询,核查,巡查
synonym,同义词,名词,俚语,量词
fantastic,异想天开,感动,感恩,想象
buck,马离地跳跃,猪一般的人(指肮脏,覆盖物,申请
canal,运河,长江,地下水,暗河
flutter,飘动,运动,奔流,对流
revenue,税收,赎罪,索赔,赎回
champagne,香槟酒,药丸,甜酒,药品
sociable,社交,滑雪,亲善,交接
bribe,行贿的财物,有名,铸造,向后
suspend,暂停,逐出,止痛,休会
offspring,子孙,朋友,大娘,祖先
claim,要求,巴不得,谋求,期待
slippery,狡猾,规矩,忠实,粗暴
retrieve,检索,保藏,避难,盯住
chord,和弦,用旧,卵形物,空中旅行
drench,使湿透,秋千,月亮,精粹
dual,双的,接着,毕竟,不见得
tradition,传统,礼节,无礼,习惯
gaily,华丽,文雅,简朴,破旧
gigantic,巨人似的,浇灌,校订者,卷
mortgage,抵押,偿还,分期付款,赔偿
sacred,神圣,自私,清廉,贞洁
reserve,预定,背信弃义,邀请,违约
recommend,托付,不情之请,捐赠,拜托
coeducation,男女同校,障碍,还,安全场所
scalpel,外科手术刀,男(性)的,一次机会,联系
symbolize,象征,体现,展示,所谓
honeymoon,度蜜月,打算,体温,谋杀罪
exhort,力劝,激励,归咎,慰藉
lodging,寄宿（处）,穴居,住院,露营
pour,灌,来往,日出,流入
stewardship,工作,上班,包工,继承
comply,同意,回绝,协定,不容
cosmopolitan,全世界的,经过,(一节)课,交易
platitude,陈腔滥调,书名,使…分裂,聚集
nominal,名义上的,传神,莫须有,实际
consideration,需考虑到的事,毕业,自由,分享
depletion,耗尽,花费,白费,浪费
warranty,保证书,租约,合同,不平等条约
dine,就餐,品味,素食,点心
create,创造,定名,独创,办报
arctic,北极,热带,本初子午线,子午线
clearance,许可(证),签证,打印,不准
sarcasm,讥讽,嘲笑,污蔑,拍案叫绝
grant,准许,盖章,禁止,签证
kidney,肾脏,肫,肝脏,器官
observe,说,传闻,倾听,收听
tuition,学费,文化,零钱,小费
whence,((文语.古)),起,有(能力、时间、知识等)做某事,蔓延
inalienable,不可剥夺,浓,工厂,颈
gymnasium,体育馆,博物馆,报馆,俱乐部
carpenter,木工,师傅,工匠,泥水匠
species,物种,部类,民间,电话网
hover,徘徊,不知所措,不愧,决心
chime,钟,面具,洋娃娃,玩偶
aid,帮助,资助,慰藉,游说
mitigate,减轻,裁军,增高,上升
fling,猛投,毛发,被错过,淡薄
trite,陈腐,大公无私,民主,不公
inventory,详细目录,外表,(业余)爱好,傍晚
autonomy,人身自由,无人,没有,不要
escort,护卫舰,太极剑,舰艇,主力舰
tow,拖引,扛,举起,写
peel,剥皮,费用大的,生日,悬挂
emphasis,强调,禀告,发誓,传达
cafeteria,自助餐厅,那时,达,无论哪里
lure,引诱物,生产能力,观念,本能
closet,小房间,被子,书架,架
skim,浏览,读报,步韵,背诵
file,把…归档,共计,一律,发明者
ambulance,救护车(船、飞机等),背弃,毒(死),小麦
sway,影响力,智能,传统,生产能力
hypothesis,假设,那末,因为,除此之外
redeem,赎罪,包赔,赎回,补税
respiration,呼吸,叫醒,发音,叮
numb,麻木,昏迷,瘫痪,狂热
volatile,反复无常,变质,变幻,恶性循环
nationality,国籍,监护人,参议员,身份
agile,灵活,眼尖,无能,精干
smash,猛撞,叔父,性情温存的人,糟透
cartilage,软骨,病灶,流行病,暗疾
levy,征集(税等),赔偿,税收,赎回
