#word,meaning,option1,option2,option3
intoxicate,使喝醉,安全场所,有求知欲,钟
loser,输者,客人,俘虏,流浪者
unprovoked,未受挑衅,由衷,裂缝,检查
manganese,锰,(植物流出的)白色乳液,不利,绊倒
experiment,实验,试验,培训,体操
teller,出纳员,经纪人,店员,职工
potential,潜在性,狂暴,生日,猪肉
hoe,锄,平庸,烧硬,宣布
padlock,正式关闭,几个,机构,正规学校教育
downpour,大量照射,汇报,研究者,反面
agog,渴望着,使失去战斗力的,液体,事情
cohesion,黏合,穿过,商行,试验
absolve,赦免,流放,绑票,处决
recorder,记录装置,不同,完美,纯
glib,能说会道,乱说,多嘴,倾倒
uncover,揭去盖子,难题,词语,董事会
compatriot,伙伴,比邻,敌手,陌生人
pout,生气,赌气,迁怒,心寒
unlettered,无字,在内部,低级夜总会,导体
qualm,疑虑,可以,自信,半信半疑
diver,潜鸟,在楼下,学会,前线
flog,驱使,发汗,致死,吸引
hussar,轻骑兵,特工,退伍军人,老兵
capricious,变化无常,变幻,恶性循环,渐变
wince,本能地退缩,剖面,放,颜料
collusion,共谋,让位,迁就,会谈
alpha,第一位的,形成缺口,幼年,难以置信
interloper,闯入者,兽皮,钉牢,鼓励
physicist,物理学家,制作者,文盲,工程师
besotted,痴迷,安土重迁,迷住,当心
dirk,短剑,盾牌,镖,太极剑
duffer,小贩,个体户,经纪人,出版者
scuttle,放弃,抛弃,弃权,断送
lush,酒鬼,婊子,浪子,帮凶
sort,性质,骄气,气质,傲骨
escapade,脱逃,跟进,出走,抱头鼠窜
slogan,标语,暗语,梦话,脏话
dolphin,海豚,鲸鱼,河马,鳄鱼
duo,一对,大多数,对偶,繁杂
balk,阻止,激怒,打扰,麻烦
conduit,渠道,葛洲坝,驳岸,陷阱
quibble,双关语,介词,助词,代词
slot,翼缝,策划者,花(菜)园,压(力)
numeral,数字,文字,分号,单字
glossary,词表,税,自由,鼓励
cobweb,陷阱,路线,屏障,长征
demented,疯狂,瘫痪,窒息,流血
offhand,不友好的,有恶意的,检查,使丧失
deface,涂掉,焦虑,相遇,前部
outermost,最外面的,出口,游戏,经
haw,树篱,后母,旅馆,景色
minimize,达到最低值,文明,苹果树,柔软(和)的
vegetarian,吃素,烘烤,捕食,吃饭
flail,胡乱摆动,把...弄干净,蠕(虫),贵重物品
grill,烤菜餐馆,试验,使成冰,喜剧
jetty,突出,悬,悬垂,陷落
pigtail,柔韧铜辫,带电,面向,油漆
liner,定期船,拼字,语言,照顾
erudite,博学,短小精悍,才疏学浅,对答如流
deviate,使背离,除…以外,节目,夜总会
radiate,有辐射的,公斤,条款,理由
daunt,使胆怯,集中,合作,提存
cashmere,开士米,不时,不),多样化
hoax,骗局,道路,束缚,不二法门
expedite,迅速执行,(专家)鉴定,触到,病历
putrid,腐烂,变质,褪色,融解
communism,共产主义,爱国,种族主义,保护主义
ellipse,椭圆,弧形,不乏,圆周
mongrel,杂种,性别,派别,豆科
lug,硬扯,治疗,(接连地)打,丰富
clod,块,个别,竟然会,可可饮料
ufo,不明飞行物,集成电路,初学者,公务
bonus,奖金,信用,借款,开支
chic,漂亮,高明,逼肖,捕风捉影
construe,解释,留言,附笔,引证
opus,作品编号,满口,独立派人士,苹果树
epilepsy,癫痫,湿气,暑瘟,梦游症
abjure,发誓弃绝,海豹,立场,脸
pyjamas,喇叭裤,短裤,裤子,围裙
lacquer,用漆涂,安顿,妒忌,抢劫
orchestral,管弦乐队演奏的,特种饮食,对某事物之狂热爱好者,荒谬
overdo,做得过分,奖,摧毁,林荫路
obloquy,丑名,办公桌,被云层遮蔽,加入
dysentery,腹泻,消化,发烧,咳嗽
dike,把...打扮得漂漂亮亮,无缺,对象,尊敬
pap,乳头,胸部,背脊,胸膛
tit,按钮,火炬,扣子,缰绳
compiler,编译程序,名次,一行,大气层
ewer,大口水壶,步骤,限定,素描
scud,飞奔,跑步,涉,跑马
rick,草堆,引以自豪的东西,下划线,招待会
fatalism,宿命论,民族主义,辩证唯物主义,浪漫主义
platoon,排,撮,把子,丛
bicycle,骑自行车,难看,微机,不礼貌的
vomit,呕,来自东方,现今,签(名)
oddity,怪人,鼓吹者,大师,留声机
intersect,相交,交流,亲善,社交
squash,硬放,连接,数到,一半
mammal,哺乳动物,摆设,植物,动物
react,影响,动摇,提到,激动
luminary,光的,饥饿,印刷工,舌头
pathology,病理,含义,贬义,概念
kinswoman,女性家属,最后,鼓励,建造
laureate,给...戴桂冠,也(不),严厉,限定
cherub,小天使,发疯,今夜,十几个
dispose,安排,安置,调整,调剂
regional,区的,买得起,使完美,背诵
beautify,变得美,快乐,三十,汽油
consign,留出,武装,保卫,迅速翻阅
jostle,挤,医药,男性服务员,凭借
comment,批评,揭发,抨击,谴责
nurture,给...营养物,外表,看护人,健壮
crucify,诋毁,狡辩,反唇相讥,丑化
ovum,卵形饰,羽状物,议院,有价值的
backwoods,边远蛮荒林区,第一名,珍视,十八个
corollary,具有推断性质的,下(蛋),搏动,接生
footprint,脚印,条纹,斑纹,笔迹
unload,倾诉,乱说,咕噜,多嘴
dunce,笨蛋,白痴,废物,半吊子
cataclysm,灾变,跳舞,盖章,水槽
object,提出,诉苦,闲话,演讲
nebula,薄翳,反冲,给…洗澡,附件
forthright,直路,高速公路,路,跑道
doggerel,打油诗的,机场,令人恐惧,珍视(藏)
bramble,黑莓果,呼吸,在这时代,困惑
dogmatism,武断,不平,革命,强暴
colon,冒号,商标,文字,单字
cognate,同源,步调一致,相当,差不多
milkman,卖牛奶的人,爽身粉,担心,创立
versatile,易变,控制板,不,畅销商品
plaudit,喝彩,咆哮,飞翔,哀号
converge,聚集,团聚,握别,崩溃
voracious,贪吃,哈欠,口渴,打喷嚏
swirl,回曲,中断,贫困,在……之上的
purposeful,有目的的,发表,读物,主张
coppice,灌木林,使坐下,停顿,起作用
dilute,稀释,裁员,上升,提高
asphalt,沥青,石膏,水泥,石灰
elixir,灵丹,中小学班主任,跳跃者,生气
quorum,法定人数,定量,流量,发电量
curvature,曲率,百儿八十,若干,比率
sensory,感觉,变法儿,考虑,坚持
abstention,弃权,卷入,断送,舍弃
caper,跳跳蹦蹦,到...里面,零件,甚至
propound,提出...请求验证,油漆,纸板,使干燥
sedan,单舱汽艇,驳回,除…之外,(使)转动
