#word,meaning,option1,option2,option3
低估,underestimate,unexpectedly,to persist,predict
染色体,chromosome,leucocyte,ligament,marrow
协作,coordinate,to get sth done,fully displaying one's capabilities,to try
慈善机关(团体),charity,clarity,chatty,chary
装饰,upholster,upholstery,holster,brew
符号,symbol,gambol,symbolic,cymbal
简明,succinct,faint,in private,suspicious
有点儿,somewhat,dense,layer upon layer,antithesis
使残废,maim,aim,balm,calm
热心,ardent,assent,advent,absent
跳栏,hurdle,tie,ember,goose feather
抱怨,grumble,fumble,crumble,bramble
社会公共机构,institution,waist,monotone,cute
扳机,trigger,wringer,snigger,tiger
几乎,virtually,at all,might as well,really
预防,prevent,prefect,resent,present
战胜,overcome,overcoat,overtime,quench
汽笛声,blast,beast,bass,burst
混杂,mess,messy,bass,miss
闪烁,flicker,flick,locker,wicker
使浸水,submerge,parrot,evidence,evil
繁荣,flourish,nourish,florist,bide one's time
门廊,porch,perch,pinch,pouch
水沟,drain,train,ordain,rain
擦试不掉,indelible,adult,momentary,a while
陈旧,antiquated,originality,magnificent,outmoded
数字,digital,digit,separate character,period
砰地,bang,an,tango,bane
可触摸的,tangible,intangible,tangle,frolic
收据,receipt,receive,recipe,deceit
刚愎自用,perverse,reverse,pervert,to have good eyes
(报时的)钟声,stroke,strike,smoke,stoke
风干,airing,annex,appreciation,to raise
头衔,title,tipple,rifle,trite
证明,certify,terrify,testify,mortify
收养,adoption,option,adoration,abortion
截止时间,deadline,headline,decline,breadline
橱,cabinet,canine,cabin,clarinet
奥德赛,odyssey,corporate,coalesce,burp
包含,comprise,compress,compromise,compose
负载,laden,garden,leader,wader
负责,conscientious,resign,make a production contract,conceited
(生产、进出口等的)配额,quota,quote,quite,rota
外交礼节,protocol,concession,to adapt to,to get out of the way
纠正,rectify,ratify,testify,certify
少女,maiden,laden,madden,maid
致命,lethal,petal,metal,legal
吠,bark,blare,nark,baulk
驾驶(飞机等),pilot,plot,pivot,pylon
年代学,chronology,botany,biology,statistics
参事,counselor,apprentice,holder,helper
流产,abortion,apportion,absorption,portion
委员,commissioner,to represent,editor,premier
同盟者,ally,ashy,alley,tally
迷惑,baffle,muffle,raffle,waffle
一套房间,suite,quite,write,smite
带菌者,carrier,barrier,courier,career
叫嚷,clamor,depression,silent,boom
脱光衣服,strip,strum,strap,trip
实施,execution,elocution,executor,executive
制定,constitute,institute,constipate,time
小柜,locker,ticker,joker,loser
山坡,hillside,Okayama,Mt. Huang ,Ulsan
吝惜,grudge,ridge,drudge,trudge
有希望的,promising,situated,disappear,headphone
维护,safeguard,lifeguard,wait upon,bodyguard
重大的事件或发现,landmark,gold medal,Motorola,milestone
分泌物,secretion,recreation,accretion,section
聊天,chat,chop,char,haw
引起,induce,injure,deduce,endure
到来,advent,absent,invent,assent
(军队的)侧翼,flank,clank,flash,frank
不顾一切,regardless,bold and decisive,naughty,not care
评论,review,preview,renew,view
散布,intersperse,be classified as,to line up,accumulate
轮胎,tyre,more,tie,tile
滤纸,filter,fester,halter,falter
分析,analytical,analytic,quote,to separate out
归还,refund,refine,resound,round
破坏,ravage,savage,rampage,garage
请求,plea,puma,plead,pie
见识,insight,night,insist,sight
合作,cooperate,corporate,operate,to try
营养,nutrition,attrition,nutation,predicative
纸张文具(总称),stationery,stationary,stationer,moat
柱,pole,role,golf,pile
引起,evoke,yoke,elope,evolve
层,storey,stereo,stormy,store
击败,whip,hip,whim,wipe
障碍,handicap,protective screen,goose feather,heritage
依字母顺序的,alphabetical,lard,disburse,schedule
(河口的)三角洲,delta,deity,dental,depth
(,grace,grime,grape,erase
绝好,tremendous,pipeline,epidemic,tune
抵制,boycott,to violate,unconstitutional,lit.: slap the table and shout with praise
客居外国家庭期间,homestay,dupe,gorge,nappy
挖苦,scorch,scotch,scarce,score
手册,handbook,bankbook,statistical form,bookkeeping
(机器)运行,function,unction,auction,faction
数字,numerical,numeral,brackets,period
立体声的,stereo,stare,steep,store
视觉,optical,optician,optional,optics
合流,confluence,confidence,influence,conference
调子,tune,tuna,mule,bung
…山峰,mount,moon,mound,tout
目录,catalog,style,appendix,layout
推论,inference,reference,conference,deference
电工,electrician,blacksmith,help with farm work,indentured laborer
最重要的,paramount,disease,denude,robust
河口,estuary,cut,Haikou,the mouth of a cave or big hole
超过,outdo,outer,outgo,onto
顽强,obstinate,dare not go one step beyond the prescribed limit,bold and decisive,casual
停战,truce,grace,trance,tuck
证实,verify,to belong to,all things tends in one direction,omen
使满足,content,consent,concert,convent
肖像,icon,ton,in,aeon
石板,flagstone,the cap of a pen,fountain pen,flagstone
名声,reputation,deputation,recitation,regulation
必须包括,entail,rental,mental,snail
基督教教徒　,christian,barred,pastel,saint
奇怪,peculiarity,occasional,possibly,all of a sudden
非常,enormously,to share,at best,least
评价,evaluate,evacuate,to evaluate ,supervise and urge
把…分类,categorize,hotchpotch,desist,apparatus
摇摆,waver,cover,taper,waters
循环,cyclic,over and over,develop simultaneously,to continue
撞击,percussion,persuasion,permission,revolve
线索,clue,flee,cape,chute
粗暴,rough,ought,cough,mouth
壮丽,magnificent,ancient,very fragrant,good-looking
烟囱,chimney,chime,lightning arrester,theostat
安静,placid,acid,flaccid,placard
梭子,shuttle,whittle,scuttle,hustle
补充,supplement,lengthen,buy one's ticket after the normal time,appreciation
少数,minority,majority,most,full of stains or spots
问题,issue,tissue,ensue,imbue
预告,predict,predicate,prefect,precinct
顽皮,wicked,wicker,ticket,sicken
世俗的、尘世的,secular,peculiar,regular,ocular
暴虐,tyrannical,evil,blunt,lunatic
准确,accuracy,accurate,a slip of a pen,garble a statement, etc.
中间,intermediate,optimal,issue,first-class
精确计量,gauge,gaze,garage,mauve
沼泽地,quagmire,peninsula,islands,archipelago
伦敦地下铁道,metro,maestro,Negro,metre
撕扯,rip,trio,pip,pipe
安顿,establish,arrangement,dispatch  ,maneuver 
目击者,witness,fitness,waitress,mediator
(使)弯曲,bend,abend,mend,hand
谨慎小心的、细心的,scrupulous,freely,mainland,abortion
季度的/,quarterly,lair,hairy,mum
目标,objective,objection,subjective,adjective
振奋,elated,exert ,before a verb] handle, deal with,to show
使错位,displace,displease,display,misplace
创始,genetic,frenetic,genetics,emetic
瞥见,glimpse,collect folk songs,keep watch,peep
多样化,diversity,diversion,diversify,adversity
推动力,impetus,impious,impetuous,instinct
红树林,mangrove,lemon,binzi,ipecac
萌芽,sprout,sprint,scout,sprat
现时,current,currency,currant,torrent
解决(办法),solution,locution,isolation,evolution
丰富,abundance,abundant,additional,appreciate
活塞,piston,bison,pistol,vision
粗心,inattention,cautious,frugal,tactful
书架,bookcase,bedclothes,cotton-padded mattress,closet
提名,slate,slave,slaty,glade
创业人,entrepreneur,astronomer,economist,scholar
废弃,obsolete,absolute,to draw into,forfeit
软管,hose,muse,hole,nose
明显,apparent,parent,unofficial,public
揉杂,jumble,tumble,mumble,gamble
主要,main,pain,maim,wail
保证物,pledge,ledge,sledge,edge
使粉碎,shatter,flatter,scatter,halter
烧硬,bake,bike,rage,sale
命令,mandatory,congregation,to mobilize,to announce
酥皮点心,pastry,dessert,jam,white sugar
裁决,verdict,edict,verdant,extort a confession
歌唱团,troupe,route,truce,troop
(暗中)摸索,grope,grime,groom,grape
确实,positive,position,punitive,it would be better
暴露,betray,beta,tray,stray
象征性的,token,coke,stoker,omen
两栖类的,amphibian,overpass,confident,eyewitness
脾气坏的,sour,dour,tour,soul
告密,squeal,squeak,squat,equal
接受者,recipient,incipient,purchaser,customer
倒空,deplete,replete,delete,deflate
体谅,considerate,to be willing to part with ,value one's own old broom - cherish something of little value simply because it is one's own,hold
钠,sodium,medley,sword,burnish
理解,perceive,perceptive,receive,deceive
回归线,tropic,topic,tonic,erotic
（精致的）衣服,apparel,grouch,collegiate,truculent
中世纪的,medieval,medical,mediaeval,the Tang Dynasty
可怕,horrible,forcible,terrible,laughable
最高,supreme,spree,slender,to stand tall
使成瘾,addict,adduce,edict,indict
微小,marginal,cardinal,margin,martial
使…成队列,array,army,spray,away
偏执狂,paranoia,parabola,fuddle,knock
使悲痛,distress,mistress,digress,listless
很大,prodigious,propitious,secure,steep
硝酸盐,nitrate,epsom salts,alkali,weak base
刺激因素,catalyst,analyst,cataclysm,concession
喜剧,comedy,comely,remedy,comity
开始,initiate,imitate,vitiate,intimate
释义,paraphrase,comment,caption,to refer
独特,individual,start something new or original,upper class,typical
淫秽,obscene,scene,obscure,bored
脱掉帽子,uncap,hunk,badge,hideous
难以战胜,formidable,prior,respite,infertile
(用手势、灯光等)指示,indicate,vindicate,indicator,indict
使有偏见,bias,Xmas,bad,bier
插入,insert,insult,inset,invest
)茶点,refreshment,to roast in ashes,dine,slippery
合法,legal,lead,regal,leg
咆哮,growl,grower,group,roll
感人,impressive,impassive,oppressive,impression
变调,modulate,ovulate,module,adulate
充满,teem,team,elm,seek
紧握不放,cling,link,clang,sling
牢牢插于,embed,bed,ember,embody
大步走,stride,stroke,strip,strife
确定…的数量,quantify,qualify,quantity,lascivious
个别,discrete,discreet,alliance,with one's own hands
学分,credit,predict,crest,accredit
硫磺,sulfur,white phosphorus,quicksilver,hydrocarbon
工程,project,protest,product,projector
(附有停车场的)汽车旅馆,motel,vowel,motley,moth
油脂,grease,please,cease,crease
但是,whereas,whereby,where,nevertheless
与…有关系,relate,elate,berate,sedate
机构,mechanism,mechanics,mechanic,mechanize
邻近,vicinity,divinity,press on towards,common border
半透明的,translucent,cavalcade,reverse,threshold
破产(状态),bankruptcy,bankrupt,guess,scepticism
精美,exquisite,requisite,perquisite,smart
戳,poke,bike,sake,puke
陈腐的,stale,sable,stele,sale
优待,preferential,wages,entertain,adoption
微生物,germ,very,gem,berk
热忱,warmth,worth,warm,wrath
推荐(信),recommendation,income,fate,orchestra
多余,superfluous,dynamic equilibrium,loss,shortage
存在于,consist,consign,consult,concise
感染性的,infectious,infection,ignominy,relevant
策略,maneuver,republic,system or institution,dictatorship
宽恕,remission,mission,emission,permission
戳的人,poker,power,polar,baker
限制,limitation,imitation,to restrict,put an end to
处方,prescription,to perform or have an operation,surgical operation,to give or have an acupuncture treatment
同意,consent,concept,convent,corset
领域,territory,system,aspect,twin strategies
可渗透的,porous,joyous,amorous,pompous
海湾,bay,by,baa,nay
刺激物,stimulus,aboard,cornet,comrade
厚板,slab,lay,slay,dab
假的,artificial,wicket,sensory,delude
窜改,falsify,calcify,gasify,to delete
(钟等的)摆,pendulum,pendium,maximum,soya
完全笼罩,wreathe,wreath,breathe,writhe
妨碍,impede,impale,impute,impure
彻底,radical,racial,medical,rascal
赔偿金,compensation,fine,bail,wear and tear
摇摇晃晃地走,shamble,shambles,bramble,shame
危及,compromise,comprise,tragic,difficult
交替,alternate,alternator,alienate,in the wind
急件,dispatch,despatch,proposal,application
训练,coach,poach,beach,coat
均衡,proportion,promotion,to coordinate,in detail
代用品,substitute,specimen,machine parts or tools kept in reserve,part
会计,accountant,secretary,to migrate,broker
监狱,jail,wait,bail,jamb
例外,exceptional,except slight differences,contend against,amount to
容量,capacity,incapacity,calamity,sagacity
使恼怒,exasperate,exaggerate,dash,cause complications
拧,pinch,mince,porch,punch
下坡,descent,descend,decent,deceit
过错,offence,offender,defence,offend
修改,modify,notify,codify,mollify
可比较的,comparable,compatible,republic,barter
偿还,reimburse,bounce ,send back,lend
显著,remarkable,reparable,secret,not clear
上升攀登,ascent,scent,ascend,ardent
(使)疲倦,weary,hoary,easy,wharf
接着发生,ensue,ensure,insure,sense
词典,thesaurus,encyclopedia,collection,monthly calendar
长处,forte,fore,foray,fortune
搂,hug,haw,jug,dun
殖民地,colony,crony,corona,colon
想,reckon,beckon,region,rector
不友好的,hostile,jostle,hostage,hostel
渡船,ferry,jerky,jerry,merry
互利,reciprocal,profit by other people's toil,suffer,advantageous
敏感,touchy,touch,tough,couch
甚至,even,leaven,emend,eye
结核病,tuberculosis,internal  injury ,sexually transmitted disease,plague
人孔,manhole,mantle,mangle,manacle
及时,timely,comely,lively,time
忽视,neglect,deflect,elect,reflect
性别,sexual,sensual,asexual,sequel
操纵,manipulate,to divert funds,to know what's what,to distinguish
休息室,lounge,plunge,louvre,lunge
标点符号,punctuation,period,comma,character
监听器,monitor,motor,monster,mentor
认识(力)的,cognitive,silver,somehow,viewpoint
嘈杂,hubbub,humbug,hubby,cool-headed
向…欢呼,acclaim,reclaim,claim,declaim
踏板,pedal,petal,cedar,feudal
氮,nitrogen,pull,plaintive,readjust
养老金,annuity,acuity,remuneration,retirement pay
悬念的状态,suspense,dispense,suspender,suspend
宣告,declaration,convene,publicize,order or command
青铜色,bronze,browse,blonde,booze
精神饱满,energetic,tenacious,repudiate,seventy
附加,plus,clue,glum,glue
淡啤酒,ale,sailor,bane,Chinese
简明,concise,conceive,confide,confuse
已成熟的,adult,aunt,adept,exult
达于极点,culminate,ruminate,fulminate,cultivate
裂缝,crack,clack,rack,pack
使窘迫,embarrass,scarecrow,rising,tripod
蹲伏、弯腰,crouch,touch,coach,pouch
鼓舞,spur,sour,spar,pure
争论,controversy,cynical,written polemics,try to defend oneself
支撑,uphold,behold,unfold,hold
把…除外,exclude,exude,elude,include
喷嘴,nozzle,wing,throne,outer space
群集,cluster,fluster,cloister,bluster
巨大,colossal,colossus,colonial,coarse
杀虫剂,pesticide,aspirin,medicine,laxative
(短距离)全速奔跑,sprint,spine,spirit,script
展开,unfold,enfold,unroll,uphold
卷,reel,week,creep,cell
气喘病,asthma,rheumatism,powdery mildew,diphtheria
意识形态,ideology,geology,theology,goose feather
医院,hospital,hospitable,National People's Congress,Harvard 
出租,lease,legate,least,leave
不愿意的,reluctant,resultant,to make fun of,press for payment of debts
(下水道)污水,sewage,sedate,silage,stage
取消,cancel,cane,cancer,channel
译员,interpreter,journalist,editor,nurse
竖井,shaft,shape,shut,what
造型,mold,triangle,terrain,stature
展开,expand,expend,extend,extant
比例,percentage,parentage,a platoon,thicket
注意,attend,trend,ascend,tend
拿来,fetch,pitch,retch,etc
惯性,inertia,inert,importance,necessity
给…保险,insure,insurer,ensure,inure
旧病复发,relapse,elapse,lapse,release
保险,insurance,assurance,insurant,instance
海绵,sponge,sponger,song,spine
鼓舞,inspire,respire,conspire,insure
摩擦,friction,fiction,fraction,fruition
搔,scratch,scratchy,scotch,snatch
旋风,whirlwind,against the wind,violent storm,gust
使通风,ventilate,ventilator,gourmet,discrete
被单,linen,liner,pine,line
制图法,cartography,sketch,to map,quick sketch
农村,rural,curl,mural,real
分裂,split,pit,slit,spurt
承车上下班,commute,compute,commit,computer
扩充,extend,extent,intend,expend
律师,practitioner,coach,the prosecution ,mister
发起,sponsor,sensor,sponger,spoor
书卷,volume,plume,voluble,vogue
气象台,observatory,observatory,publishing house,Xinhua news agency
蕃茄酱等,ketchup,humanize,shrivel,lax
表现形式,presentation,gin,misbehave,endow
使(某人)安心,reassure,pressure,measure,assure
兵团,legion,legation,lexicon,region
谨慎,prudent,prude,rodent,imprudent
从…取血,bleed,flee,blend,bee
猛扑,pounce,ounce,prune,nonce
臭名昭彰,notorious,well-known ,humiliation,proud of oneself
一组,batch,path,hatch,catch
皱眉头,frown,flow,drown,crown
院子,yard,cad,pare,yearn
检查,survey,purvey,suave,surveyor
残忍,brutal,frugal,rural,brute
原谅,forgive,furtive,forge,careful
严酷,rigorous,vigorous,riotous,timorous
下赌注,stake,spate,snake,stave
兴旺,thrive,thrice,thrift,thieve
相当,correspondence,totally,mostly,maximum
标签,tag,tub,lag,tan
反义语,antonym,acronym,fro,foreigner
(人)充满活力的(植物)茂盛的,exuberant,baa,arboreal,idol
追求,pursuit,pursue,bet,propose marriage
(使)衰退,decay,decry,delay,decoy
现世,mundane,mandate,sundae,torment
为数众多,numerous,humorous,every,very many
使超载,overload,overlap,overland,overcoat
怪物,monster,minister,mobster,monitor
财政,finance,fiancee,fiance,inane
恐惧,dread,dead,dress,dreary
提高,elevate,legate,enervate,delegate
夸示,ostentation,reflex,perilous situation,lighten
槽,groove,grope,grove,groom
迷惑,bewilder,builder,to gain by cheating,in war nothing is too  deceitful
高山,alpine,dell,Kunsan,foot of a mountain
许可(证),permit,merit,permute,termite
胆怯,timidity,unswerving,flexible,stupid
服从,compliance,compliant,unconstitutional,respect 
微风,breeze,freeze,bronze,breech
来源,source,scarce,force,course
强迫,coerce,coarse,core,fierce
必修课程,curriculum,rascal,terrible,dastardly
反顾,retrospect,voluntary,shut oneself up and ponder over one's mistakes,be capable of
法庭,forensic,police department,court of law,repair shop
钻孔,drill,trill,krill,spill
感情,emotion,motion,emotional,potion
谦卑,humble,jumble,fumble,tumble
刮脸,shave,shove,shaft,suave
空房,vacancy,vacant,office,sickroom
香水,scent,scout,cent,seat
小缺点,foible,fondle,wobble,fable
臭氧,ozone,drone,hone,zone
钳子,clamp,clasp,champ,clump
同样,likewise,be classified as,at the same time,hinge upon
过度,undue,sundae,unique,bundle
终止,end,send,mend,era
死记硬背,cram,jam,tram,gray
多叶,leafy,dense,Ladies,horology
继承,inherit,interim,inert,inhibit
出席,presence,pretence,preserve,credence
使圣洁,bless,bliss,less,blast
不可避免,inevitable,given,be about to ,life insurance
希望,promise,premise,praise,propose
(材料等的)结构,texture,torture,gesture,feature
极小之物,pinpoint,steeple,top,bottom
送,carry,harry,tardy,cavy
)环境,condition,conviction,conduction,coalition
难取悦的,fastidious,make things difficult,to joke,engage in
解剖,anatomy,analogy,cure,massage
鸣(钟),toll,ball,roll,toil
手提式的,portable,porthole,notable,portage
畸形,crooked,not know what sb,conventional,comical
使猛然一惊,startle,startup,stale,tattle
奢侈,extravagant,fawn on,serious,off and on
(使)轮流,rotate,estate,rebate,rota
整齐,orderly,elderly,order,ordeal
齿轮的齿,cog,log,ton,toy
使分段进行,phase,pace,phrase,prate
数据库,database,date,visual,leasehold
(破坏物的)碎片,debris,ferris,debit,herself
(,strait,trait,straight,strain
使确信,convince,convict,confine,convene
宠爱,cosset,loath,fail to grasp the main points,to have a love affair
特有,characteristic,jolly,never,do one's utmost
眼界,horizon,talent and learning,scientific,arithmetic
(跑道的)一圈,lap,nap,fop,ramp
纪念,commemorate,woo,to demand,recollect
任命,install,instil,instant,stall
坑,pit,spit,it,hit
播种,sow,snow,lot,sole
探讨,research,search,to manufacture,to separate out
有害,noxious,anxious,copious,odious
过份,exceedingly,nomadic,keyhole,pray
因此,thereby,hereby,there,thereof
给…提供娱乐,amuse,accuse,abuse,arse
为雪所封闭的,snowbound,solar,Christian,capitalize
魅力,glamour,clamour,amour,fascination
有危险的,hazardous,adjourn,unfair,haddock
面包屑,crumb,plumb,crime,cruel
插曲,episode,epitome,epistle,sing with solemn fervor
预测,forecast,forest,foremost,recast
宪法,constitution,legal system and institutions,legislation,hurried
使…特殊化,specialize,speciality,socialize,specialist
出租,let,get,lot,seat
陪伴,accompany,company,to violate an agreement,break faith with somebody
沙丁鱼,pilchard,sardine,goldfish,turtle
远足,hike,sake,hire,hip
扔,toss,boss,gloss,hiss
不稳定的,uneasy,easy,unmask,queasy
帝国,imperial,impartial,imperil,neighbor country
咯咯地笑着说,giggle,jiggle,gurgle,goggle
仅仅,alone,tone,atone,long
喜剧,comic,sonic,coil,mimic
万灵药,panacea,palace,deceive,marijuana
精确,precise,premise,precis,recite
恭敬,reverent,reverend,revert,revere
可通船的,navigable,navigate,precedent,organ
同时,simultaneous,accompanying,in conformity with,even though
(使)烦恼,fret,prep,pet,flit
贮藏,storage,steerage,forage,shortage
消失,vanish,varnish,punish,garish
医院的高级专科顾问医生,consultant,constant,alternate,door
真实,genuine,equine,engine,not just in name only, but also in reality
鼹鼠,mole,moot,hose,lode
轻蔑、瞧不起,scorn,score,scour,scold
缓和,alleviate,recovery ,relax,transfer
饲料仓,barn,biro,farm,warp
压碎,crush,brush,crust,crash
胜利,triumph,triumphal,trump,excel
引起(注意),catch,path,latch,hatch
风景画,landscape,oil painting,cross,sketch
耐久,durable,curable,arable,disable
堕落,corruption,correction,to take drugs,stride forward with one's chin up
蛇(尤指大蛇或毒蛇),serpent,segment,servant,serene
小礼拜堂,chapel,prayer,make a pilgrimage,blessings
招致,incur,injury,cur,injure
挖洞,burrow,barrow,furrow,arrow
（食物）易坏的,perishable,cartoon,sale,gust
簿记员,bookkeeper,brassiere,designate,hotheaded
交响曲,symphony,symphonic,theater,Beijing Opera
（动作、生活的）步调,tempo,tempt,temper,typo
肝炎,hepatitis,frequently-occurring disease,pneumonia,stomach illness
剧烈,violent,violence,violet,violin
固有,inherent,indecent,adherent,inherit
行人,pedestrian,traveler,passenger,tongue
不考虑的,irrespective,simply,furthermore,even though
肮脏,dingy,dinghy,dinky,dizzy
道德上的,moral,oral,morale,normal
稳重,staid,sensitive,patient ,elegant
传说中的,legendary,comedy,tragicomedy,accent
全神贯注于,engross,egress,gross,modesty
冥想,meditate,mediate,militate,medicated
突然降临于,overtake,overtax,overture,overstate
使负义务,obligate,obviate,oblige,press for payment of debts
众多,multitude,altitude,circumference,all
进化,evolution,revolution,devolution,elocution
断奶,wean,wan,jean,way
持续,ongoing,original,never ,all along
落下,fall,earl,salt,all
粮食,sustenance,socks,rice,mitten
和别人隔离,seclude,exclude,secede,include
消费额,consumption,momentum,variable,frequency
一束(花),bouquet,banquet,waspish,vomit
食肉动物,carnivore,tribunal,monograph,endanger
艰难,tough,plough,thigh,nought
审计,audit,audio,quit,await
同义词,synonym,new word,interjection,example sentence
奇异,fantastic,fanatic,not be accustomed to eating sth,sensible
马离地跳跃,buck,muck,musk,lock
运河,canal,vandal,carnal,call
飘动,flutter,fluster,clutter,flatten
税收,revenue,revere,venue,revenge
香槟酒,champagne,black tea,rum,maotai or maitai 
社交,sociable,social,unsociable,to be in touch with
贿赂,bribe,bruise,brink,brine
挂,suspend,upend,suspender,spend
子孙,offspring,friend,peer,forefather
权力,claim,declaim,calm,claw
滑溜,slippery,slipper,shipper,clippers
重新得到,retrieve,relieve,reprieve,snatch
弦,chord,short,card,char
使湿透,drench,trench,French,wrench
双的,dual,dunk,dull,coal
惯例,tradition,traction,transition,radiation
华丽,gaily,culture,refined,simple and unadorned
巨大,gigantic,untrammeled,arduous,consolidate
抵押,mortgage,mortgagee,mortgager,portage
神圣,sacred,shred,sachet,acre
保留地,reserve,revere,deserve,serve
推荐,recommend,commend,appear ,act in a  capacity
男女同校,coeducation,parquet,incipient,preclude
外科手术刀,scalpel,scale,scalp,scamper
象征,symbolize,symbolic,it could even be said,so-called
蜜月(假期),honeymoon,bohemian,mutinous,ablaze
力劝,exhort,export,extort,escort
寄宿（处）,lodging,settle down,to live in a cave,to make a living
灌,pour,sour,lout,poor
工作,stewardship,colleague,contractor,avoid the important and dwell on the trivial
同意,comply,comely,costly,company
不限于国家或地区范围的,cosmopolitan,arrogate,expunge,botch
陈腔滥调,platitude,latitude,gratitude,altitude
名义上的,nominal,comical,nominate,seminal
考虑,consideration,sense,accepted ,try different ways
耗尽,depletion,to consume,waste,to squander
保证书,warranty,warrant,arrant,deed
就餐,dine,fire,bide,hone
创造,create,cremate,wreath,recreate
北极,arctic,attic,hectic,erotic
许可(证),clearance,not allow,visa,to seal
讥讽,sarcasm,carcass,to vilify,slander
授予,grant,graze,grunt,glint
肾脏,kidney,kidnap,organ,gizzard
注意,observe,obverse,serve,observer
学费,tuition,auction,intuition,audition
((文语.古)),whence,thence,hence,where
不可剥夺,inalienable,inquest,treasury,hospitable
体育馆,gymnasium,newspaper office,club ,salon
木工,carpenter,carpentry,labor,casual laborer
物种,species,specie,specify,series
徘徊,hover,hose,hour,hovel
钟,chime,prime,chide,choice
助手,aid,fad,mid,jig
减轻,mitigate,vitiate,militate,litigate
猛冲,fling,flint,flying,wing
陈腐,trite,prize,tile,tribe
详细目录,inventory,investor,inventor,tally
自治,autonomy,astronomy,to handle,submission
护卫队,escort,effort,export,scoot
拖引,tow,toe,stow,kw
果皮,peel,peer,heel,spell
强调,emphasis,emphatic,emphasize,to inform
自助餐厅,cafeteria,splay,imperial,narcissus
引诱物,lure,re,here,sure
私下,closet,clot,close,cloze
掠过,skim,skid,aim,shit
档案,file,bile,flee,pine
救护车(船、飞机等),ambulance,imbalance,accidence,otherwise
影响力,sway,slay,way,away
假设,hypothesis,if that's the case, then ,every,because
赎罪,redeem,deem,redden,taxation
呼吸,respiration,to call awake,hold in the mouth,to cry
使失去感觉,numb,snub,pump,tub
反复无常,volatile,to evolve,gradual change,migrate
民族,nationality,Luoyang,Belgrade,Guiyang
灵活,agile,ample,smile,agree
打碎,smash,Xmas,mash,rash
软骨,cartilage,carriage,rhinitis,hepatitis
征集(税等),levy,leg,lay,lever
陈腐,commonplace,advanced,lag ,develop
欢送会,farewell,plenary session ,distinguished meeting,diet
火葬柴堆,pyre,detector,feasible,treason
反方向地,counter,hunter,bounder,cutter
使知道消息的,informative,picnic,potluck,gospel
仲裁,arbitrate,arbitrary,arbitrage,negative
切成细条,shred,shed,shoe,siren
使升级,upgrade,grade,parade,degrade
使平衡,poise,dose,posy,moose
不合需要,undesirable,grasp,globe,throughout
流利,fluent,flue,flunk,effluent
(风等)怒吼,howl,toll,owl,coal
迅速成长,burgeon,surgeon,burden,dudgeon
使容易(便利),facilitate,hormone,identity,adulteress
骚扰,molest,modest,modesty,most
对应物,correspondent,otherwise,jogtrot,root
透视图,perspective,a literary work,school timetable,flow chart
长篇小说,novel,hovel,shovel,noes
使闭门不出,confine,confide,cosine,convene
时髦,modish,dish,modest,modify
掠夺,plunder,launder,blunder,slender
出现,offer,otter,toffee,confer
储备金,float,gloat,afloat,foam
拒绝,refusal,refuse,refuel,urge on
采石,quarry,quay,quarrel,query
注意到,heed,bend,hemp,heat
剽窃,plagiarize,fraud,extort under false pretences,corruption
闹事,riot,rink,drift,hoot
有选择性,selective,elective,defective,selection
分歧,diverge,divulge,diverse,diver
病房,ward,upward,wary,warm
晚期,terminal,terminus,seminal,terminate
确实,literally,literacy,literal,literary
引用,quote,quite,quake,quire
电子(学)的,electronic,electric,electron,premature
变量,variable,variance,amiable,viable
褪色,fade,fare,face,fore
把…归于,attribute,tribute,courteous,etiquette
聚精会神,intent,intend,indent,ointment
承认,acknowledge,attack,to declare to be untrue,criticism
对称(性),symmetry,in detail,symmetry,equilibrium
限制,restrict,retract,restraint,strict
迁移,migratory,signatory,move ,stay somewhere temporarily
设法,somehow,delusion,cherish,to ponder
分析,analysis,analyse,analyst,analytic
陈列,exposition,expedition,position,deposition
树木,arboreal,forest,scar,scar
(使)保持平衡,balance,glance,blanch,parlance
弄皱,ruffle,muffle,duffle,raffle
信任状,credentials,awn,pest,granulated
不同,distinct,instinct,indistinct,distant
雕刻,engrave,engage,enrage,grave
(使)听写,dictate,dictator,dilate,distaste
鲤鱼,carp,hard,cadre,card
成体系的,systematic,goodwill,cemetery,lacquer
谬误,fallacy,wallaby,allay,reasonable and fair
(星等)闪烁,twinkle,tinkle,swindle,twine
眨眼睛,blink,blank,blind,link
普通,conventional,to pass a test,original,advanced
移民,immigrant,migrant,immigrate,emigrant
宁静,tranquility,name of a collection of short stories, Pang Huang, "Wandering About", by Lu3 Xun4 鲁迅,unruffled,be at a loss
缺陷,flaw,law,fag,raw
白天,day,may,bar,gag
理发师,barber,barter,bare,garner
本能,instinct,indistinct,instant,instance
标准,norm,zoom,dorm,work
骨髓,marrow,arrow,harrow,morrow
泻湖,lagoon,swimming pond,Kunming Lake, at Summer Palace Yi2 He2 Yuan2 颐和园,lagoon
假定,presumption,like that,or else,only in the case that
衣橱,wardrobe,alveolar ridge,cupboard,framework
裤子,pants,punt,pant,hands
一阵,hail,hall,tail,wail
昏昏欲睡,drowsy,drowse,dross,drown
呼叫,outcry,outer,outlay,outcrop
描写,description,to record,write down,above-mentioned
激发,incite,ignite,innate,invite
有根据的,valid,rabid,vapid,aid
无法生殖,infertile,infantile,fertile,fancy
沉思,contemplate,imagine,associate,day dream
