#word,meaning,option1,option2,option3
使接触,contact,context,concoct,content
西班牙人,Spanish,Jew,patriot,Indian 
起程,departure,to begin,to take off ,weigh anchor
安培,ampere,impede,adhere,impure
非洲,African,Latin America,East Asia,community
争夺,contest,countess,convert,content
渠道,ditch,milch,hitch,bitch
拖曳,drag,crag,brag,dam
装饰物,ornament,ointment,ornamental,armament
时代,era,draw,via,etc
虚弱,faint,taint,fan,joint
空白,blank,blind,bank,blanket
金钢石,diamond,amber,jasper,sponge
婚礼,wedding,wetting,pending,webbing
很,awfully,luncheon,liberalize,delicious
检阅,inspection,infection,injection,insertion
习性,habit,hail,tacit,rabbit
温度,temperature,area,elevation,air temperature
帽沿,brim,prim,rim,trim
使繁殖,breed,bend,bleed,brew
第二,secondary,secondly,seventh,nineteenth
水兵,sailor,tailor,pallor,silo
坏的,evil,ever,eve,devil
持续,duration,oration,donation,education
大陆,continent,contingent,content,confident
大衣箱,trunk,trump,truss,funk
重音,stress,tress,actress,dress
贷棚,shed,sew,sex,sad
制服,uniform,inform,armor,uniform
前一刻,eve,serve,cede,etc
雄禽,cock,hack,cook,pick
坚持,persist,resist,perish,permit
应给,due,dog,dull,dike
塞,stuff,surf,duff,stuffy
跳水,dive,bile,gibe,diver
倾销,dump,dim,drop,dunk
航行,navigation,aviation,navigator,space flight
详细,minute,mince,minus,mint
浅的,shallow,hallow,shadow,shall
检查,inspect,insect,infect,inspector
无限,infinite,definite,infinity,finite
惊骇,terror,lingering fear,fear,amaze
木偶,puppet,upset,puppy,supper
寂静,quiet,quaint,quilt,quip
开始,outset,outlet,sunset,oust
范围,scope,shove,nope,scale
广泛,comprehensive,symmetry,in detail,endless
死,death,breath,depth,oath
出汗,sweat,swan,swear,neat
严厉,severe,sever,sphere,seven
重要,importance,importune,important,secondary
英雄,heroic,heroin,hectic,heron
帝国,empire,umpire,expire,mire
反抗,revolt,revel,devout,revert
控告,charge,change,hare,cargo
刮,scrape,scrap,scraper,rape
取代,replace,relate,replica,replete
放大,amplify,simplify,change of direction,rise suddenly and sharply
使变硬,harden,marten,ardent,garden
火箭,rocket,racket,socket,wicket
桶,pail,pain,palm,mail
少许,trifle,triple,tribe,rife
脆弱,tender,under,reader,ponder
世纪,century,denture,venture,penury
群众,mass,task,mart,mask
地区,region,regain,regimen,legion
准确,accurate,inaccurate,accuracy,actuate
租借,hire,give,dime,hare
杀人犯,murderer,murder,criminal,turncoat
标记,label,lobe,navel,libel
肉体,flesh,lash,slosh,flash
不稳定的,unstable,unable,unsuitable,stable
去掉,subtract,to eliminate,supply again,to lay off employees
磨,grind,grand,gird,grin
小说,fiction,friction,diction,faction
机会,chance,charge,fiance,change
转换,switch,witch,bitch,twitch
相等,equal,equate,unequal,squall
已婚,married,unmarried,be doomed,join forces
密,thickness,sickness,convex,scripture
杂志,magazine,margarine,annals,record
基督教《圣经》,Bible,pile,foible,vile
下雨,rain,ration,grin,drain
禁止,forbid,florid,morbid,turbid
令人高兴,jolly,sally,folly,dolly
超出,exceed,excess,extend,except
输出,export,expert,seaport,import
负担,bear,weal,bead,bar
另外,otherwise,how ,no matter what|how,owing to
一瞥,glance,balance,dance,lance
乞丐,beggar,bear,survivor,a person who always gets good breaks
乐事,joy,rot,toy,pay
懒散,idle,vide,idem,idea
除去,apart,part,ajar,apt
尽,exert,pert,export,extra
痛苦,bitter,titter,butter,better
交付,delivery,livery,deliver,to solicit contributions
演说,address,dress,actress,redress
天气,weather,tether,weaver,leather
出发,depart,deport,impart,dearth
决定,fix,fax,firm,fire
使不满,dissatisfy,bole,general,bandage
擅离,desert,deserts,dessert,deter
特别,peculiar,pecuniary,secular,jolly
传染,infect,infest,insect,indent
短棍,bat,teat,cap,fate
虚弱,feeble,fable,treble,fumble
否定,negative,negation,relative,native
可能性,probability,property,flexibility,arrogance
立方形,cube,puke,cure,fuse
废料,garbage,cabbage,garage,barrage
沉默,silent,silence,sleet,silken
观念,ideal,steal,dell,deal
半岛,peninsula,peninsular,field,hidden shoal
店员,clerk,lurk,clock,cloak
多数,majority,maturity,minority,everything
选择,option,ration,opinion,nation
发动机,motor,mote,motion,mot
沙的,sandy,panda,handy,sane
一般,generally,generally speaking,exception,close to
作答,respond,rescind,response,despond
不明确的,indefinite,infinite,definite,treat
事例,instance,insane,distance,instinct
值得相望,desirable,glint,zonal,map
哲学家,philosopher,medical scientist,astronomer,veteran
完全相同,identical,flair,broth,councillor
存粮,provision,profusion,precision,proviso
没有希望,hopeless,homeless,loveless,topless
单独,sole,sock,solemn,sled
轻声低语,mutter,matted,patter,flutter
审判,judgement,judgment,public trial ,a  trial 
可取,unfortunate,help,a faulty stroke in calligraphy or painting,selfish interest
传说,story,stow,stole,stock
当…的时候,whilst,whimsy,thirst,wilt
生锈,rusty,rust,nasty,trusty
女房东,landlady,conceit,recast,exception
快乐,delight,alight,height,blight
相关性,relativity,political,customary,direction
行骗,deceive,decide,receive,decisive
专业,speciality,specialize,specialty,specially
过度,excess,access,exceed,egress
引起,generate,penetrate,venerate,enervate
别针,clasp,lass,blast,chase
避免,avoid,aloud,avid,acrid
尽力,strain,stair,strait,stain
主要,central,mental,enthral,general
针,pin,tip,gin,win
必然性,necessity,necessary,historic,national
出现,appear,appeal,pear,upper
曲解,misunderstand,to picket,to correct,to confuse
诗作,poetry,potty,portly,pottery
鸡肉,chicken,chick,thicken,cricket
英亩,acre,ache,act,fare
财产,property,prosperity,proper,poverty
烟草,tobacco,opium,white arsenic,cigarette
连续,successive,succession,since the beginning of history,continue
外科,surgery,nursery,surety,surge
实践,practical,tactical,practice,cause to develop
研究所,institute,constitute,destitute,flight crew 
带,band,bandy,bated,zany
水滴,drip,rib,dip,flip
胶,glue,flute,glut,gale
打鱼人,fisherman,woodman,pastor,hunter
小型考试,quiz,buzz,quit,quid
损坏,spoil,spill,pail,spout
罐,pot,rot,pat,pig
虎钳,vice,vine,ice,nice
犄角,corner,owner,cornea,border
葡萄牙人,Portuguese,magnetic,choke,apple
火车头,locomotive,locomotion,bandage,train
丢弃,abandon,to abort,ruin,oblivion
不可能的,impossible,possible,impassable,raffle
闩门,bolt,bet,volt,boa
深化,deepen,beeper,deep,deafen
很可能,doubtless,countless,stocky,scare
锚,anchor,author,actor,abhor
行政部门,service,survive,serve,device
攀登,climb,crime,limb,crib
羊毛,wool,woo,foot,mood
特殊,particular,not stick to one pattern,particular,despicable
有弹性的,elastic,classic,plastic,drastic
势力,influence,confluence,influenza,inference
上帝,lord,pod,pond,lard
随后,subsequent,no more,every day,to be about to
她,her,per,hie,here
日出,sunrise,surprise,surmise,to come and go
炸裂,explosion,expulsion,exclusion,explosive
失去,lose,loss,loose,loop
影响,affect,afflict,effect,defect
自夸,boast,bask,toast,cast
准许…进入,admit,vomit,amity,adopt
发音,pronunciation,shout,to call awake,to groan
纺织品,textile,tactile,tensile,reptile
盲目,blind,blend,blank,blink
心理,psychological,driving force,brushwork,drive
中等,medium,media,tedium,pendium
细菌,bacteria,tick,bedbug,antibody
抄写,copy,canopy,cavy,cork
团结,unity,sanity,unify,amity
将…处死,execute,executor,excite,executive
同情,sympathetic,apprehensions,an understanding,bear with
痊愈,recovery,recover,to leave hospital,arise from the dead
真空,vacuum,vacuous,space,digital
较次要的,minor,miner,honor,major
征,impose,pose,implore,expose
石灰,lime,limit,slime,limbo
谢罪,apology,ecology,biology,zoology
偏见,prejudice,dissent,political views,vision
诱惑,temptation,to drive,attractive,incite
被打碎的,broken,a bloody nose and a swollen face,injuries and deaths,shed blood
远处,distance,distaste,distant,pittance
池塘,pond,wend,prone,hood
投资,invest,invent,incest,inset
摇动,tremble,tumble,treble,bramble
经济,economic,economics,economist,economical
露,dew,vex,few,deed
进行,pursue,purse,curse,pursuit
改做,alter,filter,altar,waiter
呆板,wooden,wonder,wood,woolen
仇恨,hatred,sacred,matted,hard
青肿,bruise,arise,rise,cruiser
优秀,excellent,excellency,be worth reading a hundred times,brilliant
皮箱,luggage,baggage,bin,bellows
使悲痛,grieve,groove,thieve,grave
盐,salt,belt,silk,bait
不平常地,unusually,extreme,take orders,to receive
激发,stimulate,stipulate,simulate,stimulant
漂亮,pretty,petty,poetry,putty
新来者,stranger,strange,strangle,estrange
摄影,photographic,exposure,to rinse,group photo
有意,conscious,uninhabited,jolly,unconsciously
节奏,rhythm,mode,dust,two or more characters with the same vowel formation
延缓,postpone,postcode,to bring forward,consolidate
词典,dictionary,booklet,almanac,collection
热忱,zeal,weal,seal,steal
参议院,senate,seat,sedate,senile
鸽子,pigeon,pinion,piston,canary
百分度的,centigrade,pennant,complicate,opulent
骆驼,camel,canal,lapel,care
缎带,ribbon,sling,old fashioned square table to seat eight people,table 
有罪,guilty,guilt,guile,gully
取得,acquire,acquit,enquire,require
不必要的,unnecessary,extant,to lack,sufficient
改进,improvement,transportation,loosen,to update
尺,ruler,buyer,idler,refer
使闪耀,sparkle,sparse,shackle,spangle
转变,conversion,concession,confession,convection
褐色,brown,brow,blow,crown
干事,officer,office,offer,barber
隆重,solemn,sole,column,spleen
很,very,every,veer,verb
糖,sugar,lunar,spear,cigar
等候,await,wit,trait,whit
粉红色,pink,kick,bin,lank
愤慨,indignant,indigent,to take one's anger out on sb ,complacent
决定性的,final,finely,focal,fill
项链,necklace,jewelry,embroider,ring
造反,rebel,revel,repel,keel
离婚,divorce,diverge,diverse,visit
使得,render,tender,wander,fender
虹,rainbow,smoke,frost,smoke 
给…加燃料,fuel,fret,fuse,feel
草地,grass,glass,class,gray
潮,tide,side,till,pride
运货汽车,lorry,horsy,lord,lowly
拇指,thumb,thump,throb,hump
礼拜,worship,warship,workshop,airship
数学,mathematics,botany,architectural,high tech
中止,pause,parse,sparse,pass
社会主义,socialism,socialist,racialism,socialite
真诚,cordial,amiable,to rebel,rule
惨事,tragedy,issue,topic,administrative
使塞满,jam,an,jaw,jade
严格,strictly,mean,generous,not censure sb for his past misdeeds
钉,nail,ail,soil,tall
容器,vessel,lessen,lessee,weasel
预备,preliminary,armaments,to format,remodel
行动,action,faction,motion,caption
器械,device,deface,devise,evince
令人愉快,grateful,graceful,hateful,ungrateful
可以解决,soluble,voluble,salable,double
内心,inner,winner,dinner,liner
大洋洲,Oceania,wilderness,field,North America
门把,knob,knit,knot,snob
骨灰,ash,gasp,ashy,ado
华氏温度计,Fahrenheit,subway,affluence,deliver
会议,session,cession,lesson,pension
海岸,coast,cost,east,coat
耐久,last,lane,most,lass
日落,sunset,russet,onset,unseat
敏感,sensitive,sensitize,refuse to give up until all hope is gone,knowledge
入口,entrance,trance,entrench,enhance
俘虏,captive,capsize,active,native
保卫,defend,defeat,depend,defense
连接词,conjunction,plane,lineal,batten
缺口,gap,gin,pap,clap
观察员,observer,observe,Secretary of State,representative
少,little,nettle,tattle,litter
有责任的,responsible,reliant,beloved,solidarity
脑力,brain,brawn,train,bravo
朝气蓬勃,vigorous,rigorous,timorous,to sigh 
支持,behalf,behave,half,befall
面貌,feature,measure,fracture,nature
试,trial,tidal,trio,trice
浆果,berry,bray,berk,nervy
飞机,aircraft,glider,space station,spaceship
睡着,asleep,sleet,sleep,sweep
股本,stock,block,stocky,stack
晶粒,crystal,coastal,rigid body,organism
家庭教师,tutor,stupor,motor,outer
星期三,Wednesday,Saturday,Sunday,Friday
开除,sack,tuck,pack,bask
立即,directly,not simply,unfinished,hastily
主管人员,governor,govern,glitter,ring
碟,tray,array,tiny,bay
耳朵,ear,per,wear,learn
禽兽,brute,write,grate,brake
货物,goods,good,gloss,goody
雪的,snowy,showy,snow,now
自主,freedom,rake,revolve,nominal
少量,mouthful,youthful,truthful,insignificant
圆柱,column,calumny,colon,clump
想象,imagine,marine,image,to wrack one's brains
加快,quicken,quieten,sicken,quickset
不合法的,illegal,legal,not to be divulged,suspicious
自然,naturally,still,too,in the end
垂直,vertical,parallel,languish,slender
打,beat,boat,beast,brat
公用电话亭,booth,broth,smooth,brooch
手势,motion,notion,onion,cotton
海军,navy,wavy,knave,vary
窃贼,thief,them,grief,tier
站,stand,tan,stank,send
通讯,communication,record,Psalms,chronicle
繁荣,prosperous,prospectus,like a seething cauldron,uproar
相当,quite,quit,suite,quote
强迫,compel,complex,copper,impel
夸大,exaggerate,exasperate,response,boast
本土,native,naive,nation,nature
非凡,singular,angular,insular,unparalleled
剪刀,scissors,razor,knife and fork,ice skates
估算,compute,compote,computer,complete
斧子,ax,cut,scissors,spindle
有吸引力,attractive,attraction,verdant,reign
可能,liable,viable,amiable,cable
花边,lace,place,lock,dance
利益,benefit,befit,merit,defect
能力,might,night,light,sight
王冠,crown,drown,croon,brown
气喘,gasp,gap,cash,gas
注射,injection,infection,invention,insertion
乳酪,cheese,cheek,chest,cease
物质,physical,physically,physician,physics
冗长乏味,tedious,devious,tedium,tenuous
解释,explain,plain,exclaim,exploit
木材,timber,timer,temper,bomber
自动,automation,automatic,male,coarse
印度,India,Soviet Union,Cuban,Cambodia
故意,intentional,liberty,by hook or by crook,make an all-out effort
犯,commit,comment,combat,comic
牲口,cattle,castle,tattle,battle
味道,odour,dour,amour,odium
瓷器,china,receiver,theostat,router
昌盛,prosperity,posterity,property,pitiless
天堂,paradise,praise,parasite,parade
绝对,absolute,obsolete,resolute,absolve
原谅,excuse,expose,excise,exude
改革,reform,form,deform,report
手枪,pistol,piston,postal,pastel
电子学,electronics,subject,astronomy,zoology
煤,coal,code,veal,tool
执照,certificate,a vote,license plate,half fare
学院,college,collide,colleague,allege
戏院,theatre,there,sheathe,cinema
邮件,mail,rail,fall,mall
光辉,brilliant,steep,vigorous,coarse
叹气,sigh,wish,rig,sight
奴隶,slave,enslave,stave,slant
猜测,guess,quest,less,mess
烂,rot,ray,rap,rust
陆军中尉,lieutenant,meander,falsify,derivation
恭敬,respectful,resentful,be sensitive about one's reputation,dry
厕所,convenience,kitchen,box ,drawing room 
汤,soup,shop,soda,loud
不愿意的,unwilling,unwitting,willing,solstice
着陆,landing,to contact,to land,meet by chance
确立,establishment,designated,choose a site for the capital,legislation
情愿,choose,horse,chore,hose
服装,dress,crest,press,tress
印度人,Indian,Japanese person or people,Jew,Kurdish person or people
拖拉机,tractor,traitor,rector,tract
根据,evidence,evince,evident,residence
接受,acceptance,acceptable,receive commands,be out of the question
激情,passion,bastion,mansion,fashion
聪明,intelligent,not unwise,awkward in speech,dare not go one step beyond the prescribed limit
丛书,series,serial,shriek,eerie
有错误的,faulty,fault,faculty,vault
时间表,schedule,masterpiece,table,spectrum
准备,preparation,prepare against natural disasters,portable,raise 
地中海的,Mediterranean,monopoly,apparent,trawl
冻,freeze,freezer,breeze,fleece
啼,crow,row,brow,growl
爵士音乐,jazz,jazzy,lazy,haze
九十,ninety,nicety,piety,finely
使苦痛,rack,each,rock,crack
感觉迟钝,stupid,stupor,stud,stolid
节约,spare,sparse,pare,snare
来临,arrive,derive,strive,arrival
锐利,sharply,able to,machine,interesting
怀疑,suspect,inspect,subject,respect
裤子,trousers,shorts,skirt,cotton-padded jacket
心情,mood,cold,good,mad
前的,previous,devious,precious,decisive
热心,zealous,jealous,jealousy,zealot
存在,exist,desist,moist,exit
纪念章,medal,mental,sedan,pedal
裁判员,judge,cadge,fudge,purge
日报,journal,journey,weekly publication,official  newspaper
天资,genius,genus,genial,census
超级市场,supermarket,airline company,multinational corporation,flower shop
安全,secure,seduce,cure,secret
气喘,pant,pang,paste,cant
损害,injury,inquiry,injure,jury
想起,recollect,collect,to ask,to ponder
像要,like,pike,lilt,take
丧葬,funeral,funereal,federal,numeral
障碍,barrier,carrier,barrister,barred
无遮敝的,naked,maker,take,nape
认出,recognition,to employ,separately,contrast
踝,ankle,angle,amble,able
咀嚼,chew,crow,them,hen
直升机,helicopter,airplane,glider,spaceship
给…分等级,grade,pride,grant,gage
构筑,construct,constrict,construe,instruct
在户外,outdoors,outdoor,sheriff,instruct
刺,thorn,chore,thorny,thin
帐篷,tent,cent,taut,tenet
明智的,advisable,admirable,disable,immemorial
自由,liberty,livery,liberal,puberty
政治家,statesman,salesman,talesman,artist
第二十,twentieth,one out of a multitude,twelfth,sixteenth
皇帝,emperor,director,taxpayer,tyrant
居民,inhabitant,ethnic Chinese person or people,overseas Chinese,city resident
叶片,blade,blaze,ablaze,bead
抹布,rag,ray,cog,man
服从,submit,subsist,sublet,summit
夜,night,right,mighty,knight
粥,porridge,maritime,auto,stamp
淹死,drown,brown,frown,down
早期,childhood,session,New Year,betwixt
蘑菇,mushroom,washroom,become due ,to come to an end
样子,aspect,assent,specs,aspen
费用,expense,expend,expunge,expose
插,thrust,thrash,trust,thrum
数量,amount,mount,aunt,around
猪肉,pork,pond,pry,hark
有趣,interesting,pitiful,laughable,comical
大会,congress,compress,confess,standing committee
待遇,treatment,mistreatment,banishment,counter
饮料,drink,rink,brine,dinky
仅仅,merely,measly,hereby,rarely
类似,similarly,to resemble,just like,for example
签名,signature,signatory,to seal,apply to customs
斗争,battle,batten,cattle,tattle
普通,commonly,common,unprecedented,only
在海外的,overseas,overhear,overstay,oversee
说法,version,inversion,tension,aversion
领会,appreciate,depreciate,acknowledge,to mistake
犯罪,sin,urn,fun,sand
焦点,focus,opus,forum,onus
螫,bite,biped,butt,bike
巨大建筑物,castle,cattle,castor,baste
修订,revise,repine,reside,crevice
一代,generation,federation,generator,the corresponding time period 
科学家,scientist,pianist,artist,writer
半年,semester,sequester,half a year,date
课程,lesson,lessor,lemon,lessen
千克,kilogram,kilogram,kilometer,foot 
司令官,commander,commandeer,colander,commando
渴望,eager,danger,header,waver
鼓风炉,furnace,surface,surname,stove
即,namely,homely,barely,nicely
开始,opening,to start,to drive a car,weigh anchor
一块油画布,canvas,canvass,canal,bull
一大群,swarm,wary,soar,warm
音乐节,festival,festive,bestial,wedding day
使协调,coordinate,swop,allocate and transfer ,control
施舍,charity,clarity,chart,clarify
象征,symbol,symbolic,gambol,cymbal
一点儿,somewhat,there is no lack of,insignificant,polysaccharide
样子,fashion,passion,fission,fusion
制度,institution,republic,slavery,plot
秘书,secretary,staff member,broker,shop assistance
练习,exercise,expertise,excise,test
实际上,virtually,when all is said and done,in reality,simply
旅客,guest,guess,pest,gush
预防,prevent,present,pretext,preen
战胜,overcome,overcoat,overtime,ease
爆炸,blast,blade,bait,clash
肮脏,mess,mesh,pest,cress
浸没,submerge,county,awareness,infallible
使不愉快,displease,disease,displace,disperse
兴旺,flourish,nourish,florist,depression
门廊,porch,forth,worth,force
耗竭,drain,draw,bran,ruin
图书馆馆长,librarian,enrich,navigable,blotch
数字,digital,digit,comma,separate character
巨响,bang,gang,lag,band
眉,brow,row,rob,know
收到,receipt,deceit,recipe,receive
关系,relationship,to risk one's life,forfeit,chain reaction
捋,stroke,stride,strike,stoke
一打,dozen,doze,don,dote
穴,nest,desk,post,meet
称号,title,stifle,tingle,litre
拍手,clap,flat,crap,clam
有权威的,powerful,splay,builder,primitive
内阁,cabinet,cabin,canine,clarinet
愚蠢,foolish,polish,bookish,abolish
旅行,tour,pour,tow,toy
鱼,fish,wish,firm,foist
包含,comprise,compromise,compress,compile
重,weight,height,slight,alight
寻找,seek,leek,feed,seedy
词句,expression,depression,impression,expressive
缰绳,rein,resin,preen,run
吠叫声,bark,nark,art,barn
领航员,pilot,pot,plot,pivot
古代,ancient,ascent,incident,accident
运输工具,carrier,career,barrier,courier
剥,strip,steep,strap,trim
山腰,hillside,hilltop,Emei Mountains,dell
有前途的,promising,repository,grenade,somewhat
毫不,none,nope,cone,pane
语言,language,measure word,declarative sentence,dialect
领导,guidance,nuisance,president,first secretary
不顾一切,regardless,uninhibited,not care about one's appearance,firm
再检查,review,preview,revel,renew
囚犯,prisoner,prison,serviette,auto
轮胎,tyre,three,more,tame
滤纸,filter,fitter,falter,flier
使更好,improve,disprove,impose,implore
合作,cooperate,corporate,operate,clasp Buddha's feet - profess devotion only when in trouble
电极,pole,love,poly,poke
楼,storey,story,strew,store
鞭子,whip,whit,hip,while
雅致,grace,prate,trace,gate
极大,tremendous,not often,wide scale,to stand tall
叛国罪,treason,season,reason,offense
获得,earn,learn,eat,Mars
函数,function,unction,junction,munition
光学,optical,optics,optician,topical
魔鬼,devil,civil,peril,evil
和谐,tune,tone,fuse,lone
当选,election,electron,execution,selection
登上,mount,moult,must,noun
目录,catalog,tune,make a catalogue,table of contents
致敬,greeting,to communicate,offer birthday felicitations,remit
差异,different,difference,diffident,surplus
盆地,basin,pain,baron,basis
抵抗,resistance,resistant,assistance,force majeure
手套,glove,grave,close,love
信徒,Christian,Christmas,worshipper,elder
预料,expect,except,expel,aspect
证实,verify,omen,to reflect,it could even be said
满意,content,context,contest,consent
好名声,reputation,repetition,imputation,deputation
冷酷,stony,ton,stoke,stock
分,divide,dividers,device,vide
评价,evaluate,evacuate,roll call,stay at a selected  grass-roots unit to help improve its work and gain firsthand experience for guiding overall  work
锡,tin,gin,run,fin
提示,clue,lie,cube,cause
粗略,rough,through,trough,enough
华丽的,magnificent,uphold,claret,plant
特殊,special,especial,spectral,spatial
烟囱,chimney,chime,sink,browser 
增补,supplement,appreciation,rise in value,addendum
生产,production,protection,productive,reduction
少数,minority,majority,dual,some
发行,issue,ensue,tissue,assure
预测,predict,credit,edict,product
令人厌恶,wicked,ticket,wicker,wicket
准确度,accuracy,accurate,dynamism,vigor
直率,freely,finely,free,rely
中级,intermediate,very difficult ,easy,only
量,gauge,age,gate,barge
除…之外,except,exempt,excerpt,exceed
铜币,copper,chopper,copier,compel
鹅,goose,noose,choose,gorse
变压器,transformer,megaphone,connector,server 
想象中的,imaginary,honesty,not just in name only, but also in reality,very
别的,else,tense,elder,muse
建立,establish,designated,legislation,establish a capital
目击,witness,fitness,waitress,glance
使弯曲,bend,geld,bean,lend
完成,complete,compote,compete,compute
季度,quarterly,clod,tenable,percolate
无偏见的,objective,adjective,objection,subjective
相对,relatively,coincidence,be a speculator ,to furnish
一瞥,glimpse,zombie,tapestry,hope
通用,current,currant,currency,currently
溶解,solution,absolution,volition,pollution
更少,less,mass,loss,lead
表面上的,apparent,parent,primarily,decade
樱桃,cherry,cherub,cheery,berry
主要,main,mail,rain,drain
较大,major,ajar,labor,mayor
考虑,consider,confide,consumer,to feel
找到,find,mind,send,wind
焙,bake,dyke,beaker,maze
确定,positive,position,punitive,overthrow
背叛,betray,defray,berry,astray
楼梯,staircase,railing,corridor,stoop
酸的,sour,snub,hour,scour
辩解,explanation,dialectical,to quibble,controversy
哑巴,mute,mate,rote,much
每日,daily,ally,dally,dairy
包,pack,puck,mace,pock
体谅,considerate,forgiveness,be troubled ,forgive
察觉,perceive,receive,deceive,perceptive
最高,supreme,spree,to stand tall,slender
暗示,imply,simply,impale,impel
产业,industrial,rate of exchange,to sell for,personal property
半导体,semiconductor,solid,fluid,liquid crystal
忧虑,distress,mistress,stress,distrust
喷气式飞机,jet,bet,bat,lot
个别,individual,therefrom,piece,alone
火药,powder,solder,poser,ponder
表明,indicate,vindicate,indict,abdicate
习惯用语,phrase,peruse,please,pirate
嵌入,insert,desert,inset,incest
便餐,refreshment,sacrament,puffed rice,plain cooked rice
邻近,neighbourhood,approach,common border,traffic jam
法律,legal,leaf,heal,medal
汽油,gas,day,oar,law
给人印象深刻的,impressive,expressive,impression,oppressive
保护,protection,projection,production,protector
民众,popular,populate,poplar,ocular
波动,wave,waive,wane,wake
信用,credit,predict,remit,accredit
伸出,project,protect,protest,projector
队伍,procession,processor,profession,recession
加仑,gallon,balloon,galley,allow
缺乏,absent,absence,abet,assent
非常,extremely,in spite of,maximum,many
铝,aluminium,bronze,aluminum,copper-nickel alloy
使联系,relate,replace,refute,rebate
松鼠,squirrel,quarrel,alligator,mouse
逼真,lively,lately,likely,livery
而且,furthermore,however,in addition,together with
单元住宅,flat,clot,flu,flaunt
脉冲,pulse,pose,purse,pale
显示,exhibit,it can clearly be seen,to embody,to indicate
走了气的,stale,stage,style,shake
幼芽,germ,gene,perm,perk
除…之外,besides,beside,reside,betimes
邀请,invitation,imitation,invocation,indication
热烈,warmth,earth,warm,worth
劝告,recommendation,spur on,to excite,appease
在于,consist,coexist,contest,consort
汽水,soda,soul,rod,soya
矛,spear,near,speak,smear
哭泣,weep,peel,sleep,veer
有烟火药,gunpowder,retentive,dissent,immature
钱包,wallet,wallow,caller,wallop
到来,arrival,rival,arrive,carnival
款待,treat,threat,teat,dread
限度,limitation,imitation,one side of sth,octave
在…旁边,beside,besides,betide,bedside
名词,noun,foul,con,soup
同意,consent,contend,convent,concept
引言,introduction,semimonthly,comment,bulletin
领土,territory,battlefield,border,theater of operations
兔子,rabbit,gambit,habit,rabble
湾,bay,wan,baby,sag
可靠性,reliability,infuse,evacuate,omen
人工,artificial,activity,female,superficial
社,bureau,bread,burial,bursar
妥协,compromise,comprise,bruise,mediate
诚实,honesty,false,moderate ,loyal to
简短,brief,thief,brink,brim
长途公共汽车,coach,poach,cough,broach
部分,proportion,promotion,multiple,discount
代替人,substitute,regulate,show,tunic
监禁,jail,gain,pail,ail
过路人,passenger,messenger,captive,traveler
明白,clearly,see clearly,to discover,to see through
能量,capacity,capacitor,calamity,sagacity
掐掉,pinch,pint,winch,lunch
邮递员,postman,postal,postmark,postwar
更改,modify,codify,mollify,mortify
培养,training,to experiment,gymnastics,end of term examination
异常,remarkable,reparable,to accept,take orders
航天器,spacecraft,receiver,siren,facilities
使疲乏,weary,year,earn,merry
大大,greatly,father's elder brother,protector,girl
殖民地,colony,felony,colon,cony
敌方,hostile,hostage,hospice,hostel
相等,equality,quality,qualify,equity
平的,even,eve,ever,uneven
疏忽,neglect,deflect,reflect,elect
寡妇,widow,widen,window,willow
指示,instruct,instinct,obstruct,construct
班长,monitor,motor,monster,janitor
氮,nitrogen,comparable,breast,isolation
青铜,bronze,blonde,drone,prone
菜肴,dish,disk,dash,gash
惟恐,lest,lush,let,less
突出,outstanding,depressed,barefooted,overhang
有限,limited,there is no lack of,polysaccharide,layer upon layer
祈祷,pray,rap,pry,parry
法国,French,wrench,trench,quench
裂缝,crack,rack,crock,cock
使窘迫,embarrass,monogram,load,clay
纤细,fine,fin,face,tie
刺激,spur,snub,sub,spa
猫熊,panda,hand,panic,pang
划船,row,romp,ion,crow
埋藏,bury,beryl,turn,busy
把…排除在外,exclude,elude,seclude,excuse
友谊,friendship,flesh,sexual relations,formalities
星期四,Thursday,Wednesday,Sunday,tomorrow
凶兆,threat,throat,thread,treat
卷轴,reel,keel,revel,peel
第四,fourth,for the first time,third,twelfth
价值高的,costly,mostly,comply,courtly
共同,together,tether,altogether,exist side by side
内服药,medicine,medicinal,vitamin,paste
装置,installation,pave,assemble and install,infrastructure
医院,hospital,hospitable,Cambridge,National People's Congress
春季,springtime,springtide,hot  day,anniversary
不愿,reluctant,resultant,can,inadvertent
很,perfectly,more,fundamental,surely
非本质的,accidental,accident,incidental,underrate
删去,cancel,dance,cane,cancer
译员,interpreter,maternal grandmother,reporter,nurse
成员,member,ember,embed,memoir
成功,successful,to suffer a setback,crumble,not exert oneself
扩大,expand,expend,extend,expound
事变,event,even,vent,seven
百分比,percentage,parentage,unemployment rate,handle
出席,attend,abend,intend,fatten
请来,fetch,filch,etch,catch
给…保险,insure,injure,insecure,insert
保险,insurance,instance,assurance,insurant
海绵,sponge,sponger,spangle,spine
给…以灵感,inspire,inquire,conspire,spire
摩擦,friction,fraction,fiction,function
直,straight,straighten,strait,perquisite
抓,scratch,scratchy,crutch,scotch
亚麻织物,linen,nine,wine,alien
射门,shot,to ski,penalty kick ,to do shadowboxing
农村,rural,aural,mural,regal
搭救,saving,numskull,dispensary,sportsman
被劈开,split,pit,skit,spit
推,push,plush,blush,rust
致,extend,emend,attend,expand
发起,sponsor,sponger,sensor,spoor
卷,volume,plume,value,vogue
旅行,travel,ravel,trace,grave
刷子,brush,rush,truth,crush
出血,bleed,sleek,bleak,bated
