#word,meaning,option1,option2,option3
underestimate,低估,估计,渴望,推测
pantry,食品柜,早餐,优胜者,分
signify,表示,体现,统称,展示
antique,古代,时代,现代,中世纪
engagement,约会,调情,结婚,追求
dynamic,机能上的,光辉,额外,修订(改
nought,无,大量,以后,吊
correlate,互相关联的事物,存在,主要,单元
historic,历史,病历,最终,结局
pyjamas,(宽大的)睡衣裤,静止,立即,婚姻
ornamental,装饰,克隆,酿造,放置
paralyse,使麻痹,严重,条理,重要人物
handout,施舍物,元件,备件,证物
alteration,变更,多样化,年轻化,多极化
continental,大陆,纬线,赤道,子午线
tangle,使缠结,有害生物,公正,油炸
peak,(物体的)尖端,少数,坚韧,办
solo,独唱曲,咳嗽,老板,难对付的人(事)
theft,盗窃,绑票,盗版,掠夺
introduce,提出(议案等),一定,回答,发信号通知
scoff,嘲笑,污蔑,丑化,违抗
expire,断气,牺牲,过去,饿死
squash,压碎,石头,因而,第一
mystery,神秘小说,传记,小说,卷
mammal,哺乳动物,奖品,必需品,动植物
expenditure,(时间等)支出,白费,转帐,损耗
patriot,爱国者,白人,华侨,吉普赛人
marvel,惊奇,余悸,困惑,习惯
skip,跳绳,曲棍球,吊环,排球
impress,盖印,葱葱,年龄较大,世界闻名
prose,散文,小说,神话,童话
ordinarily,通常,不离儿,新鲜,及格
grief,悲伤,悲喜交集,哀痛,大快人心
equator,赤道,北纬,西半球,东经
metallic,金属粒子,电子,港口,激动
radial,放射,照亮,照射,辐射
fell,砍伐,雕刻,穿透,戳
fitting,适当,白白,手提,徒劳
trample,践踏,欺压,恫吓,孤立
circular,通函,本票,选票,收据
icy,冷冰冰的,丰富,使惊吓,痛苦
sensitivity,敏感(性),工程,进入,申报(纳税物品)
persistence,持续,往往,率先,一直
cutter,用于切割的器械,物质,第一位的,大约
roundabout,迂回,断后,侵袭,阻击
industrious,勤劳,用功,积极,持久
nightmare,经常的恐惧,邮递员,一道菜,未爆炸的
monk,修道士,尼姑,长老,圣徒
preset,预先装置,合计,物体,讲习班
romance,传奇,腔调,独幕剧,梆子
lubricate,使润滑,品质,兴建,珍惜
stiffness,硬度,频道,庹,赫兹
versatile,通用,罄,比量,照搬
undertake,从事,拼命,冒险,变节
stalk,高烟囱,多的,品种,侦察(用)的
reject,舍弃,爱屋及乌,弃权,丢弃
poll,投票,擢升,竞选,初选
barely,仅仅,纯粹,统统,不仅
mirror,反映,预兆,展示,起源
adore,崇拜,抱屈,令人钦佩,尊敬
jack,传动装置,愿意做,后来,向…报警
stillness,寂静,鼎沸,没落,无声
