#word,meaning,option1,option2,option3
低估,underestimate,reasoning,suspect,anticipate
发行,issue,sue,tissue,assume
预言,predict,edict,product,precinct
磁,magnetism,magnetize,magnetic,magnesium
动力学的,kinetic,genetic,kinetics,with
世俗,secular,regular,peculiar,ocular
暴虐,tyrannical,sin,honest and sincere,immoral
准确性,accuracy,accurate,might,characteristic
中级,intermediate,sole,tip,inferior
量规,gauge,grudge,gauze,gouge
不自私的,unselfish,deferent,enthusiastic,overrate one's own abilities
铜,copper,dapper,cropper,chopper
孤独,isolated,hastily,noiseless,leisurely
撕,rip,pin,rap,dip
救生者,lifesaver,iron,excitable,detonate
录像带,videocassette,magnetic tape,pump,audio tape
灵活性,flexibility,handy,skilled,muddled
想象中的,imaginary,to fake,provoke,create a disturbance
信任,credence,cadence,pretence,prudence
药丸,pill,gill,pile,piss
为…作证,witness,fitness,waitress,Fahrenheit
每季,quarterly,annual,the year before last,springtime
目标,objective,adjective,objection,subjective
永久,perennially,many years,dash,all day long
延长,extended,pull back,to extend,rise suddenly and sharply
移置,displace,misplace,display,displease
遗传,genetic,genetics,heretic,frenetic
一瞥,glimpse,jacket,vexation,azure
差异,diversity,university,diversify,adversity
迷人,glamorous,amorous,symmetry,narrow
激励物,impetus,impious,impetuous,inaction
长出,sprout,spout,spot,rout
现今,current,recurrent,torrent,currant
溶液,solution,isolation,volition,pollution
爆米花,popcorn,sacrament,rice with meat and vegatables,a kind of food popular among believers in Islam
丰富,abundance,abundant,additional,soak
星际,interstellar,companion ,god of longevity,planet
副产品,by-product,minerals,vessel,textile
分期付款,installment,installment,compensation,redeem
缺席者,absentee,absence,absent,wince
熏香,incense,intense,increase,immense
企业家,entrepreneur,critic,person skilled in a trade,producer
废弃,obsolete,absolute,to give up,implicated
杂乱的一堆,jumble,rumble,mumble,gamble
保证,pledge,ledge,sledge,plunge
划界限,circumscribe,travesty,reprisal,palmy
闹剧,farce,flare,arch,fire
弹力,elasticity,force,moment of momentum,motion
不兼容的,incompatible,quirk,heckle,demean
使粉碎,shatter,flatter,spatter,latter
命令,mandatory,monopolize,gather,award
节约,economize,economics,economic,economist
(陪审团的)裁决,verdict,edict,verdant,below
剧团,troupe,grope,trough,rope
摸索,grope,elope,grove,prose
贫民,pauper,sapper,pamper,dapper
（电）阳极的,positive,position,punitive,weekly
出卖,betray,stray,berry,beta
脆弱,fragility,as one pleases,unequivocal,indefatigable
无声息的,breathless,truce,procedure,liturgy
楼梯,staircase,the Long Corridor at Yi He Yuan,path,piazza
酸的,sour,sorry,sob,sod
原始,primordial,made in one's own country,ready,ready made
装,pack,each,pay,apace
接受者,recipient,incipient,spectators,purchaser
现象,phenomena,panoramic view,background,spectacular
耗尽,deplete,deflate,depute,delete
考虑周到,considerate,take care of oneself,weigh,to be at ease
感知,perceive,deceive,perceptive,receive
交迭（的）,overlapping,thread,parallel,restaurant
石工,stonemason,worker,mason,tailor
中世纪的,medieval,medical,mediaeval,sideline
沟壑,ravine,repine,rain,divine
(权力、级别或地位)至高的,supreme,spree,invite,airhostess
上瘾的人,addict,admit,advice,audit
暗示,imply,pimple,employ,impale
大批,array,fray,astray,tarry
工业,industrial,building industry,telecommunications,mining industry
模仿,impersonate,gild,be a visitor ,take lessons after school or work
穷困,distress,listless,mistress,digress
有神论者,theist,lingo,resent,ward
（空气）温和的,balmy,palmy,balm,balk
挥霍,prodigious,propitious,extract,save
实用性,practicality,acidity,substantive,punitive
催化剂,catalyst,analyst,cataclysm,mini
开始,initiate,initiative,vitiate,initial
释义,paraphrase,indicate,to introduce,quote
禁止,prohibitive,to affix a seal ,visa,to permit
痛苦,affliction,affection,miserable,grieve
令人敬畏,formidable,touching,pitiful,nasty
（不可数）愉快,amenity,amity,regret,calculation
象征,indicate,abdicate,intimate,vindicate
偏见,bias,Xmas,alias,brash
高原,tableland,beautiful,Saturday,discontent
插入,insert,inert,invest,inset
提神之事物,refreshment,robbery,thankless,viewpoint
显著,markedly,official,shady,vague
费时间的,time-consuming,enactment,vibration,compassion
给人深刻印象的,impressive,impression,expressive,oppressive
爱国,patriotic,patriotism,patriot,abhor
坚持（意见）,cling,lint,sling,ring
插入,embed,ember,webbed,emend
大步,stride,strike,deride,stripe
内心,innermost,deliberately,conscience,real situation
流行,popular,poplar,populace,ocular
豹,leopard,panther,leopard,white bear
不连续的,discrete,discreet,spread,to be in front
贷方,credit,accredit,edit,creditor
洗牌,shuffle,scuffle,snuffle,ruffle
设计,project,prospect,protect,product
延展性,malleability,toxicity,limitations,compatibility
树叶,foliage,voltage,forage,corsair
制止物,deterrent,detergent,touch,humorist
租,rent,fixed rent for farmland,book a whole theatre,farmer
缺少,absent,advent,absence,assent
油脂,grease,great,grace,crease
围,encase,erase,escape,enrage
相关,relevance,chain reaction,having nothing to do ,to be a suspect 
布鲁斯音乐,blues,professor,hay,slow
机理,mechanism,mechanics,mechanize,mechanic
附近,vicinity,divinity,fast,far from the center
松鼠,squirrel,quarrel,dolphin,mole
透明,translucent,blur,indelible,misty
活泼,lively,livery,live,likely
破产,bankruptcy,bankrupt,shut,success
公正,justly,close the country to international intercourse,just and fair,won't listen to reason
受人欢迎,acclaimed,bannal,hold,coy
脉搏,pulse,purge,repulse,purse
惯用,idiomatic,idiotic,axiomatic,transfer
展览,exhibit,mora,art exhibition,to appreciate
细菌,germ,mere,term,teem
除了…（还有）,besides,betimes,beside,betide
沼泽,swampy,Central America,islands,desert
推荐,recommendation,nominate,recommend ,act in a  capacity
先兆,precursor,indication,symptom ,situation
传染性的,infectious,infection,defraud,kangaroo
(敏捷地)操纵,maneuver,miserable,unzip,modern
刺激,stimulation,stoppage,hinder,boost
退休,retirement,refinement,be responsible for a task unit until it is completed,carry on the back
哭泣,weep,peep,weld,weed
狭窄,confining,extensive,extensive,unlimited
玻璃器具,glassware,cherry,setback,edify
药方,prescription,strap,folk remedy,epistle
可渗透的,porous,amorous,proud,joyous
自传,autobiographical,biography,feature article,journal
可靠性,reliability,contribute,criticize,radiator
刺激,stimulus,blockage,impel,in addition
（四边形的厚物质）板,slab,solar,spa,stag
人造,artificial,male and female,coarse,slippery
刺绣,embroidery,embroider,to tie,access
有鳞状斑点的,scaled,shout,outgoings,fluent
妨碍,impede,ampere,impel,impute
加速,accelerating,latency,consolidate,sunset
根本,radical,medical,rascal,racial
补偿,compensation,lengthen,addendum,reissue
有趾,toed,horizontal,rectangle,lavatory
无助,helpless,heedless,selfless,turn white hot
牛仔,cowhand,nobleman,cavalier,coward
反复说,iterate,literate,liberate,operate
缝被子的人,quilter,acumen,deserve,scapegoat
妥协,compromise,comprise,tame,to persuade
腾出,vacate,agate,acute,vacant
交替,alternate,alternator,alienate,indirect
分派,dispatch,despatch,to part,knock together
传粉媒介,pollinator,airmail,bricklayer,adjoin
四轮大马车,coach,torch,botch,poach
比例,proportion,promotion,percentage,growth rate
代替者,substitute,gallon,limit,foresight
会计员,accountant,broker,clerk,a cadre 
桂冠,laurels,chasm,trophy,feud
表面,facade,facile,cascade,parade
异常,exceptional,not beyond the scope of,least,to share
使震惊,stun,stab,stem,bun
预兆,portend,portent,porter,potent
容量,capacity,capacitor,incapacity,sagacity
掐,pinch,winch,witch,porch
不遵照传统生活的,nontraditional,scrape,standpoint,stench
世系,descent,resent,descend,recent
修改,modify,codify,edify,bodily
类似,comparable,compatible,general,excess
偿还,reimburse,bounce ,to give change,lend
显著,remarkable,reparable,illegal,vague
宇宙飞船,spacecraft,paddle,sledge,space station
上升,ascent,aspect,scent,assent
厌倦,weary,hoary,seamy,beard
校正,proofread,addendum,adorn,to delete
顺从,pliant,unconstitutional,keep ,to violate 
有治疗作用的,healing,cache,tremulous,volunteer
仙人掌,cacti,lilac,cuckoo,plum blossom
群体,colony,colon,corona,ecology
计算,reckon,beckon,region,rector
敌对,hostile,jostle,hospice,hostage
造反,rebellious,rebellion,liberation,think sth not worth doing
同等,equality,quality,equalize,qualify
渡口,ferry,worry,parry,decry
感伤性的,sentimental,carbonic,ideal,contagious
预制,prefabricated,moviemaking,have something custom-made,to manufacture
忘记,neglect,reflect,deflect,select
柳树,willow,callow,wallow,swallow
备忘录,memo,me,mime,mere
多边形,polygon,polyglot,stature,looks
操作,manipulate,usage,to copy,to operate
教,instruct,instructor,construct,instinct
气候上的,climatic,climate,underwear,gnat
不公平,injustice,justice,tendril,platelayer
监控,monitor,janitor,motor,mentor
认知,cognitive,be acquainted with,worth hearing a hundred times,acquaintance
喝彩,acclaim,exclaim,reclaim,claim
机械化的,mechanized,navy,redden,prosecutor
雨量非常少的,semiarid,reduce,mechanical,worthless
不可预知,unpredictable,submit,idea,precis
悬念,suspense,dispense,suspender,suspend
宣布,declaration,to hold,give an order,convene
青铜,bronze,drone,breeze,brine
精力充沛,energetic,wangle,smile,intertwine
杰出,outstanding,shocking,mean,specialized
夷为平地,raze,fade,rack,daze
装载的货物,shipment,trenchant,merry,witchery
限制,confinement,stoppage,irritate,excited
简洁,concise,confide,concave,consist
流行性感冒,influenza,influence,feather screen,cross-eyed
自然,spontaneously,inferior to,more,also
达到高潮|顶点,culminate,cultivate,fulminate,ruminate
（使）爆裂,crack,back,rack,brace
遗传,heredity,hereditary,herewith,fashionable
使尴尬,embarrass,edge,barbarity,egoism
踢马刺,spur,shut,tour,spear
争论,controversy,to quibble,written polemics,theory
维护,uphold,uphill,hold,untold
把…排除在外,exclude,elude,seclude,include
群,cluster,fluster,bluster,cloister
巨大,colossal,colossus,colonial,coarse
徒劳,fruitlessly,indistinct,obligation,unsuitable
伤感,sentimentalize,jubilation,awfully,miserable
杀虫剂,pesticide,root of herbaceous peony ,amoeba,borneol
鱼鹰,osprey,peacock,parrot,cuckoo
打开,unfold,unbolt,unroll,untold
无神论者,atheist,theism,attest,serf
研究生助教奖学金,assistantship,galvanism,overhaul,hazy
（门窗等）微开的,ajar,afar,bar,jar
遗传学,genetics,genetic,genesis,kinetics
意识形态,ideology,geology,theology,suicide
春天,springtime,springtide,first half ,the year before last
租约,lease,ease,lose,cease
不情愿的,reluctant,resultant,enforce,entice
意外,accidental,accident,incidental,secure
取消,cancel,cancer,cane,chance
杆状物,shaft,chart,shift,shit
同样,uniformity,depend upon,peer,to be united in action
塑造,mold,end of term examination,gymnastics,to try
扩张,expand,expend,extant,extend
照顾,attend,matted,tend,extend
划线于…下,underscore,to emphasize,speech,forecast
文件,documentation,records,ordinary mail ,fax
腺体,glandular,cell,nuclear,white blood cell
海绵,sponge,spongy,spine,sponger
周线,contour,candour,contort,concur
给…以灵感,inspire,spire,inquire,aspire
摩擦,friction,fiction,fruition,fraction
特技,stunt,punt,slut,tuna
划痕,scratch,stretch,catch,scratchy
使通风,ventilate,ventilator,annuity,saturation
亚麻布,linen,liver,liner,laden
开枪,shot,rapid-fire,encamp,be on  patrol
田园,rural,mural,burial,aural
迟到,tardy,tidy,bandy,tarry
顶点,zenith,length,tenth,octave
劈开,split,slit,spirit,solid
徽章,emblem,amble,ember,embed
通勤,commute,commune,compute,confute
延长,extend,extent,expend,emend
兵工厂,armory,factories and mines,prison,munitions or ordnance factory
量,volume,voluble,column,value
使...安心,reassure,assure,treasure,measure
审慎,prudent,prude,student,prudence
夸张,exaggeration,reply,to conceal,check
推测,conjecture,to think,preside over,to insist on
胚胎,embryonic,coda,course of disease,result
臭名昭著,notorious,corruption,won't work,glory
皱眉,frown,crown,gown,drown
合并,merger,merge,emerge,marker
周转困难,stringent,factory,colander,overhaul
开拓者,pioneer,ponder,grandson ,ex-
接近,approaching,like,for instance,following
镇压,scotch,scorch,scratch,stitch
调查,survey,purvey,serve,surly
临时保姆,baby-sitter,billet,brink,sword
立场,standpoint,grammar,clues,or drawing
苏格兰的,Scotch,dad,hoodoo,classical
严格,rigorous,vigorous,timorous,riotous
令人满意,satisfactory,sorry,conspiracy,preparation
狂热,feverish,madness,craze,stoppage
中立派,independent,push,fragrant,unlike
天文学家,astronomer,linguist,researcher,dancer
繁荣,thrive,tripe,thrill,thieve
相应,correspondence,to coexist,supply,run parallel
添加,tag,fag,tack,far
（植物）繁茂的,exuberant,pollution,spouse,exaction
手工业工人,artisan,artiste,artist,artesian
衰落,decay,decade,decoy,decry
世俗,mundane,mandate,sundae,pretty and flirtatious
众多,numerous,humorous,polysaccharide,inestimable
负担得起,affordable,to check,surpass,to determine
使超载,overload,overhead,overcoat,overlap
分裂,breakup,"Unity of will is an impregnable stronghold" ,meet,to have a reunion
模仿,mimetic,major,take lessons after school or work,to study abroad
怪物,monster,mister,master,mobster
财政,finance,fiance,financier,fiancee
畏惧,dread,knead,tread,bread
举起,elevate,relegate,delegate,enervate
猩红,scarlet,scale,scarce,carpet
胆怯,timidity,silly,muddled,be tempered into a steel
退休,retire,satire,revile,recite
微风,breeze,wheeze,breezy,bronze
小河,brook,look,brisk,troop
学校的全部课程,curriculum,whichever,hawthorn,venal
信徒,faithful,unfaithful,fitful,saint
反顾,retrospect,pay attention to,repent,shut oneself up and ponder over one's mistakes
胚胎学的,embryological,surtax,patriot,functional
冲动,urge,purge,puree,sage
混乱,chaotic,chronic,be well-fed and well-clothed,pollution
调和,coordination,tame,bruise,to convince
反复练习,drill,fill,doll,hill
情绪,emotion,motion,emotional,elation
有韵律的,rhythmical,xerox,moulder,lampshade
侵略,aggressiveness,detective,infest,recover
谦逊,humble,crumble,tumble,thimble
空白,vacancy,vacant,plump,shaggy
香味,scent,sect,cent,scene
小费,tip,dip,tie,zip
自然（主义）的,naturalistic,diaphragm,peek,flute
臭氧,ozone,zone,stone,hone
浅滩,ford,work,form,forth
同样,likewise,to be united in action,agree without prior consultation,at the same time
国会,congressional,standing committee,legislative assembly,Chinese Academy of Science
福特汽车公司,Ford,word,mimic,jail
柔顺,supple,dapple,supply,topple
匆忙准备,cram,cramp,tram,calm
偏爱,preference,reference,deference,reverence
尽善尽美,perfection,perception,lit.: dragon flies, phoenix dances,be worth reading a hundred times
充满热情,passionate,brisk,machine,pitiless
相当多地,substantially,father's elder brother,auntie,father's younger brother
移居外国者,emigrant,migrant,emigrate,immigrant
继承,inherit,insert,inhibit,inherent
出席,presence,prudence,pretence,preserve
未损坏的,unspoiled,porpoise,corset,exception
羞怯,shyness,weep with grief,wail,sigh
证明,document,monument,omen,to rest in
质地,texture,mixture,denture,textile
准确地确定,pinpoint,protect,pumice,implant
健康状况,condition,conviction,coalition,conduction
心脏,cardiac,cardinal,element,core
复兴,revival,removal,reveal,rival
解剖,anatomy,analogy,vaccine,operation
向一旁,sideways,sidewalk,scraper,pallet
轻便,portable,portal,workable,parable
欺诈,crooked,to hoodwink,to deceive,indulge
图像,image,damage,dirage,impale
多功能的,malfunctional,scorpion,litter,us
轮流,rotate,rotten,rota,probate
阶段,phase,tease,phrase,place
碎片,debris,ferris,debit,unfinished
使迷惑的,puzzling,heathen,relief,gimmick
特有,characteristic,matchless,unprecedented,be out of the question
地平线,horizon,transnational,birthplace,border area
有…名气,reputed,vexation,drunken,bastion
授权,accredit,credit,request sb,to authorize
纪念,commemorate,concerned,grieve over somebody's death,recollect
安装,install,instil,instant,stall
使对抗,pit,hit,vet,bite
播种,sow,bowl,soak,know
家长,patriarchal,protector,uncle,wife of father's elder brother
没有污点,spotless,judoist,fritter,sizzle
有害,noxious,anxious,obnoxious,copious
因此,thereby,hereby,heresy,whereby
彬彬有礼,civility,civilian,civilize,divinity
极小,minuscule,gumboot,funereal,human
气球驾驶者,balloonist,rip,accede,eschew
危险,hazardous,a land swarming with disaster victims,confront a powerful enemy,hard
出类拔萃,peerless,unprecedented,show ingenuity,coarse
一段情节,episode,epitome,epistle,rarely
预测,forecast,recast,foremost,forest
组织,constitution,board of directors,standing committee,committee
卓越,preeminent,prominent,unprecedented,particular
晒斑,sunburn,auburn,suburb,unborn
穿着,attire,entire,retire,attic
刺激,jar,barb,bat,tap
天,heaven,heavenly,leaven,weaken
陪伴,accompany,company,to violate an agreement,welcome
徒步旅行,hike,dike,shine,fine
潮湿,humid,hump,amid,lurid
策略,tactics,tactical,antics,lactic
信奉宗教,religious,religion,delicious,honest
无差别的,undifferentiated,fan,doodle,rocket
单独的（地）,alone,along,atone,lone
喜剧,comic,colic,atomic,topic
使恼火,chafe,hate,chair,chasm
静止,quiescent,frantic,cope with,steady
积极向上,aspiring,curry favor with,diligent,boyish
合作,cooperation,fully displaying one's capabilities,grope,be faced with
同时,simultaneous,nevertheless,merely,foundation
调色板,palette,palate,gazette,epaulette
水管工人,plumber,lumber,number,slumber
远离,aloof,roof,alloy,aloft
灭绝,vanish,garnish,famish,mannish
顾问,consultant,constant,factory owner,underling
连锁,interlocking,chain reaction,oblivion,forfeit 
显著,pronounced,legal,faint,secret
周期,periodic,periodical,period,the Ming Dynasty
真诚,genuine,equine,engine,custom
石英,quartz,quart,quarry,quartet
难达到的,inaccessible,mangle,feint,holiday
讽刺作家,satirist,satirize,always,meagre
自然而然,involuntary,guarantee,on the eve of,be bound to
暴力,violence,silence,violent,pressure
谷仓,barn,burn,bird,earn
行进,progression,to point,to walk slowly,to walk
粉碎,crush,crash,slush,brush
不能理解,incomprehensible,as easy as blowing off dust - not needing the slightest effort,shallow,low level
获得胜利,triumph,triumphal,trump,to go bankrupt
雇主,employer,employee,empower,explorer
风景,landscape,historical sites,mirage,formula
耐用,durable,dutiable,parable,curable
堕落,corruption,correction,cause to develop,to put in place
商业,commerce,commence,compere,coerce
头昏眼花,dizziness,be unconscious,seasick,numb
小礼拜堂,chapel,lotion,indignity,workable
招致,incur,uncut,inner,concur
洞穴,burrow,furrow,borrow,barrow
色彩,tint,tune,topic of discussion,task
重新解释,reinterpretation,continent,milky,technique
哑铃状的,dumbbell-like,physically,tuition,workshop
（尤指食物）易腐的,perishable,presumable,aneroid,hectare
交响乐,symphony,symphonic,music,Spring Festival couplets
在…之下,beneath,breath,bequeath,mote
粉笔,chalk,half,talk,chair
孤独,solitude,solicitude,leisure,desolate
暴力引起,violent,violet,virulent,silent
固有,inherent,inherit,indecent,interest
稳定,stable,table,eatable,sable
新近,freshly,ancient times,previous week,in succession
传奇,legendary,tragicomedy,wooden clappers with bars of unequal length,one-act play
持久,long-lasting,make nothing of hardships,haul,intermittently
放弃,renunciation,discard,to risk one's life,love me
招待员,receptionist,to light a fire,messenger,waiter
陡峭,precipitous,circumference,rugged,blunt
大量,multitude,altitude,fervent,modest
发展,evolution,revolution,devolution,resolution
中子,neutron,neutral,atomic nucleus,living creature
恭敬,deferential,patient ,hasty,generous
正在进行,ongoing,cheerio,village,blank
食物,sustenance,fireworks,forage grass,vegetables
造成,spawn,grab,to urge,immunity 
使隔离,seclude,secure,secede,preclude
实际上,actually,actuality,actual,no wonder
凌辱,outrage,courage,outface,to menace
肖像,portrait,portray,image,epidemic
消耗,consumption,hibernate,outgoings,preference
花束,bouquet,banquet,pollen,ovary
平稳,smoothly,peace,inconstant in love,boom
敏感性,sensibility,wistful,easy,university
严格,tough,trough,bough,rough
口味,appreciation,indulgence,interest ,interest
稽核,audit,audio,addict,suit
修订,revision,precision,vision,division
仁慈,charitable,good and honest,these,to stop
电影放映员,projectionist,anomalous,chancellor,anus
要求,postulate,postdate,populate,to seek
不幸,adversity,diversity,adversary,break out
同义字,synonym,gangster,decoy,prick
（非正式）极…的,fantastic,fanatic,convent,barnacle
牵连,implication,ruin,to risk one's life,to abstain from voting
使人愤怒,irritating,knitwear,pop,derogatory
未经证实,unsubstantiated,determine,cirrus,combatant
好交际的,sociable,social,unsociable,social interaction
延缓,suspend,suspect,upend,suspense
(单复数同形)子孙,offspring,aunt,peer,friend
声称,claim,clip,cram,slam
（物体表面）滑的,slippery,slipper,skipper,clippers
重新找回,retrieve,relieve,reprieve,to take
琴弦,chord,corn,lord,ford
事业,undertaking,knight,baron,duke
共生（关系）,symbiosis,sketchy,rumpus,seemly
有特色的,distinctive,sole,low,unreasonable
公共马车,stagecoach,antenatal,widen,become
平静,serene,serpent,semen,severe
限制性的,restrictive,ethical,locust,outright
巨大,gigantic,be a cinch,slight,OK
分离,disconnect,discontent,disconcert,to compile
祭祀,sacred,screed,barred,sachet
合格,qualified,unprecedented,sole,upper class
敌人,foe,bob,go,coy
储备,reserve,serve,reverse,reverie
劝告,recommend,commend,rebuff,to excite
海草,seaweed,tremella,peppermint,Chenopodium album
象征,symbolize,symbolic,to reflect,it could even be said
寄宿,lodging,camp,settle down,to live in a cave
成为先兆,foreshadow,approve,it is  clear,mark
牧者,herder,semi-tenant peasant,hunter,shepherd
世界性的,cosmopolitan,fengshui,country,man's world
陈词滥调,platitude,latitude,altitude,gratitude
设计舞蹈动作,choreograph,other,malt,adze
纪念物,memorial,memorize,immemorial,supply
体谅,consideration,sympathy,can't help,be deeply concerned
担保,warranty,warrant,arrant,unexpected
不同意的,dissenting,vagary,phone,trim
职业,profession,procession,professor,profusion
小溪,creek,check,reel,creep
专业主义,professionalism,chalk,smother,charm
模仿,impersonation,to read,take lessons after school or work,be a visitor 
鉴赏家,connoisseur,banker,scientist,creator
会议,conference,inference,confluence,confidence
学费,tuition,audition,fruition,munition
传染性的,contagious,contagion,contiguous,remiss
以契约约束,indenture,denture,stalagmite,hut
液体,liquid,liquor,limpid,livid
类群,species,specious,special,specie
徘徊,hover,hoover,have,waver
使减轻,mitigate,litigate,motivate,militate
警报,alert,avert,exert,flirt
库存品,inventory,investor,inventor,arse
自治,autonomy,astronomy,govern,autonomy
保存,preservation,keep,to stockpile,grope
绘制…的地图,map,gag,sad,papa
胖嘟嘟的,plump,pulp,plume,slump
拖,tow,go,tag,hot
周边,peripheral,symmetry,omit,plentiful
强调,emphasis,emphatic,emphasize,to notify
四轮马车,wagon,technology,straggle,commandant
争吵,brawling,start a fight,hoot,curse
螺丝刀,screwdriver,wooden club ,diamond,cramp
饵,lure,cue,curse,rude
归档,file,Bible,gild,mole
摇摆,sway,away,way,wad
假设,hypothesis,even,due to,from this, it can be seen that...
疯草(牲畜食后引起疯草病),locoweed,reimburse,blubber,rue
呼吸,respiration,hold in the mouth,snore,to call awake
迟钝,torpor,torpid,torso,horror
挥发性的,volatile,dramatist,unhappy,pompous
醒目,strikingly,indistinct,illegal,suspicious
敏捷,agile,ample,exile,file
坚决主张,insist,inset,assist,insight
增补,supplementation,widen,buy one's ticket after the normal time,increase in value
平凡,commonplace,right,difficult,first-class
迟疑,hestiant,compelled,calm,thirsting or hungering for sth.
评价过高,overestimate,ginger,household,jackal
不适当的,ineligible,parsley,sufficient,vindicate
提供消息,informative,miracle,niggard,kickback
楔形,wedge-shaped,computer,kilovolt,productive
无生命的,inanimate,intimate,reanimate,rind
使升级,upgrade,parade,degrade,grade
小集团,faction,bastion,fraction,unction
武器,weapon,beacon,reason,season
流畅,fluent,affluent,flint,flunk
迅速成长,burgeon,surgeon,burden,dudgeon
使过度疲劳,overtire,platitude,wipe,embankment
使容易,facilitate,multiple,possess,odd
接受器,receptor,converter,memory ,browser 
观点,perspective,neutral,standpoint,military strategy and tactics
新奇,novel,ravel,hovel,naval
限制,confine,confide,confuse,confirm
照片,photograph,phonograph,pantograph,image
漂浮,float,flat,flop,afloat
采石场,quarry,parry,harry,quay
（诗歌的）头韵,alliteration,bifocals,sprain,disconcert
注意,heed,heal,hemp,weed
惊讶,astonished,appall,be attached to one's native land and unwilling to leave it,lingering fear
暴动,riot,rip,rife,rice
总站,terminal,terminate,seminal,terminus
（一堆）碎石,rubble,quibble,rabble,babble
照字面意义地,literally,literacy,literary,literal
可变,variable,parable,valuable,invariable
逐渐消失,fade,wage,fast,fame
概括,generalization,conceal,make something stand out,steeped in
把…归于,attribute,tribute,from this, it can be seen that...,it seems that
天才,ingeniously,foresight,intellect,imaginative power
债权人,creditor,editor,credit,beggar
有帮助的,helpful,heedful,step over,to stop
妨碍,impediment,impenitent,provoke,foster
对称（性）,symmetry,trenchant,overlapping,equilibrium
叙述,recount,account,recant,recruit
限制,restrict,district,restraint,strict
流浪,migratory,signatory,to seek shelter,to make a living as a traveling performer, etc.
厌恶,disgusted,spoil ,universal love,loyal to
二氧化物,dioxide,diode,oxide,divide
放映机,projector,projection,protector,project
芬芳,aromatic,colorful,gaudy,fume
分析,analysis,paralysis,analyst,analyse
黏糊糊的,slimy,slim,sling,limp
博览会,exposition,position,deposition,opposition
树的,arboreal,cubicle,primarily,benumb
使平衡,balance,parlance,glance,palace
广阔的区域,expanse,estimable,gully,elitism
成分,element,aliment,eleven,eleventh
凭据,credentials,power source,light source,source
奇特,oddly,oddity,duly,eddy
不同,distinct,indistinct,instinct,distant
雕刻,engrave,enslave,enrage,grave
冲刷,scour,score,scud,scrub
亚种,subspecies,overweight,cross,serviceman
爆发,eruption,equation,fruition,issue
规定,dictate,dictator,dilate,distaste
怀疑,doubt,dolt,daunt,mount
关于人与人之间关系的,interpersonal,politic,sugar,speaking
系统,systematic,of  extraction,film series,network
浅薄,superficially,answer the questions without any hitch,learned,ignorant
眨眼,blink,click,slink,flunk
变成化石,fossilized,precaution,unequal,master
传统,conventional,usual practice,opening ceremony,etiquette
（从外国移入的）移民,immigrant,migrant,emigrant,immigrate
多层建筑,multistory,balderdash,across,nestle
能适应的,adaptable,swap,baboon,net
宁静,tranquility,to carry out,pressing,be sorry
效忠,committed,to be confronted with,clasp Buddha's feet - profess devotion only when in trouble,grope
理发师,barber,bomber,garner,barren
本能,instinct,instant,indistinct,distinct
蒸发,vaporization,burn down,dissolve,anxious
下垂物,pendant,pennant,pedant,verdant
紫色,purple,curdle,duple,rumple
阶层,stratum,erratum,statue,strum
标准,norm,warm,sore,worm
不能架桥,unbridgeable,broody,funeral,cripple
(通过太阳知道时间的)日规,sundial,sandal,sundae,pad
货物,cargo,barge,carrot,curio
天生,instinctive,foreign,ready made,made in China
裤子,pants,pant,pantry,hands
冰雹,hail,hair,aim,hat
纪念,memorize,motorize,mesmerize,memorial
昏昏欲睡,drowsy,drown,drowse,rowdy
大声疾呼,outcry,outcrop,outlay,outer
（信件）重寄,redirect,aide,statistic,Eucharist
有根据的,valid,vapid,vivid,raid
生殖,reproductive,adult,undomesticated,lay 
不肥沃的,infertile,infantile,fertile,milestone
沉思,contemplate,conceive,visualize,to wrack one's brains
半文盲,semiliterate,veteran,observer,chemist
消费,consume,consumer,contuse,confuse
边缘,perimeter,parameter,customary,historic
洗衣店,laundry,foundry,sundry,launder
人道主义者,humanist,upbringing,pail,corrugate
(去壳的)麦粒,kernel,kennel,vernal,keel
家务杂事,chore,more,care,cohere
加强,intensive,intense,extensive,incentive
令人惊异,amazing,fold,tropic,dysentery
类似,analogous,for instance,inequality,exception
幼虫,larvae,insect,dragonfly,cockroach
雕刻品,sculpture,scripture,culture,sculptor
（一）卷,roll,gall,owl,all
长期存在,long-standing,repulsion,syringe,lodge
大量,abundant,abundance,grim,loftily
狂热,craze,prate,crane,crag
解放,emancipate,to battle,internal disorder,flatten
扭曲,distortion,leeway,smooth,roll
制冷剂,refrigerant,poison bait,hemp,poisonous
丛林,jungle,juggle,mangle,bungle
酸,acid,add,raid,vapid
华丽,magnificence,refined,simple and unadorned,superficial
一角硬币,dime,dice,dare,chime
难辨认的,illegible,legible,opportune,dreadful
速率,velocity,ferocity,felicity,about a hundred
劳动者,laborer,labor,reformer,socialist
慢跑,jogging,to walk quickly,to leap,run quickly
排挤,supplant,supplicant,to bully,to draw into
上过釉的,glazed,avionics,dyspepsia,toothache
特意,expressly,uninhabited,jolly,accidental
子孙,descendant,ascendant,defendant,close friend
使惊讶,astonish,admonish,deploy,clarion
成分,component,opponent,competent,nourish
建筑上的,architectural,exaction,quality,gear
啄,peck,pink,sick,specs
摘录,snippet,snipe,skipper,shipper
敬意,deference,reference,preference,reverence
行列,range,orange,gage,trance
不公平的,unfair,unfit,fair,affair
创意,originality,idea,opinion,prejudice
多层面的,multifaceted,egress,temple,exist
