#word,meaning,option1,option2,option3
低估,underestimate,reckon,assumption,expect
肤色,complexion,complexity,completion,blue
通道,opening,waterway,road,open port
帆布,canvas,canvass,canal,woolen
恰好相符,coincide,confide,concede,concise
（蜜蜂）一群,swarm,warm,spasm,arm
音乐节,festival,festive,bestial,day off 
染色体,chromosome,white blood cell,nuclear,nerve
同等者,coordinate,earphone,impromptu,catchword
仁慈,charity,clarify,chatty,chary
装饰,upholster,upholstery,holster,counterfeit
标志,symbol,symbolic,cymbal,gambol
简明,succinct,valid,vague,illegal
有点儿,somewhat,all kinds of,many,full
使残废,maim,mail,math,maxim
热心,ardent,arena,dent,arrant
跳栏,hurdle,ember,something superfluous,precious  deposits
抱怨,grumble,crumble,stumble,bramble
惯例,institution,judicial case,medical] case,antecedent
引起,trigger,snigger,tiger,wringer
实行上,virtually,sure enough,might as well,no wonder
预防,prevent,prefect,present,event
战胜,overcome,overcoat,overtime,cause to perish
炸毁,blast,beast,east,clasp
脏乱,mess,mast,miss,mesh
闪烁,flicker,sticker,ticker,flick
潜入水中,submerge,precis,steamship,county
繁荣,flourish,nourish,florist,full of tenderness or affection
门廊,porch,perch,notch,pinch
排水管,drain,rain,brain,grain
擦试不掉,indelible,dash,overnight,quite a while
陈旧,antiquated,magnificent,ancient,currently available
数字,digital,digit,comma,an unannotated edition of a book
猛敲,bang,sane,band,bung
可触摸的,tangible,intangible,tangle,effort
收据,receipt,receive,recent,recipe
刚愎自用,perverse,reverse,pervert,machine
(报时的)钟声,stroke,stoke,strike,stole
兜风,airing,go for a drive, ride or sail,pursue ,stray
头衔,title,titan,sidle,aisle
证明,certify,mortify,testify,terrify
采用,adoption,option,abortion,addition
截止时间,deadline,headline,decline,breadline
橱,cabinet,cabin,canine,clarinet
奥德赛,odyssey,January,come,aesthetic
包含,comprise,compromise,compile,compose
苦恼,laden,waken,sadden,lane
本着良心,conscientious,retirement ,be responsible for a task unit until it is completed,responsible
(生产、进出口等的)配额,quota,quote,rota,quit
外交礼节,protocol,to agree to and sign ,to step aside,to give in
纠正,rectify,testify,certify,ratify
少女,maiden,raider,maize,madden
致命,lethal,petal,metal,legal
吠,bark,mark,barn,berk
飞机驾驶员,pilot,plot,pivot,slot
年代学,chronology,science and technology,physics,geometry
法律顾问,counselor,owner,help in the mess kitchen,apprentice
流产,abortion,abortive,apportion,adoption
地方长官,commissioner,Qiao Shi ,Kennedy ,Mao Zedong
伙伴,ally,sally,ably,mall
使挫折,baffle,waffle,raffle,bauble
一套房间,suite,quire,suitor,slice
货运商,carrier,barrier,warrior,caries
大声的要求,clamor,quiet,flourishing,decompose
脱光衣服,strip,strap,stair,trip
死刑,execution,executive,executor,elocution
制定,constitute,institute,constipate,specified 
上锁人,locker,mockery,rocket,flicker
山坡,hillside,Fragrance Hill ,cliff,Wuxia Gorge, in the Changjiang River Three Gorges
吝惜,grudge,smudge,trudge,prude
有希望的,promising,wellbeing,low,lame
维护,safeguard,lifeguard,escort the Emperor,serve
重大的事件或发现,landmark,bargaining chip,buoy,gold medal
分泌液,secretion,secretive,accretion,section
聊天,chat,seat,vat,cheat
引起,induce,insure,endure,indict
到来,advent,absent,avert,adept
(军队的)侧翼,flank,flunk,clank,clink
不管…的,regardless,apparition,pallid,marten
评论,review,preview,revise,relief
散布,intersperse,be decorated with lanterns and colored banners,to line up,manipulate
轮胎,tyre,yore,lyre,type
滤纸,filter,fillet,falter,silver
分析,analytical,analytic,research,punctuation
归还,refund,rend,refuel,fund
破坏,ravage,rage,adage,garage
恳求,plea,pleat,pea,prep
深刻的了解,insight,sight,insist,night
合作,cooperate,corporate,operate,grope
营养,nutrition,attrition,nutation,adverbial adjunct
纸张文具(总称),stationery,stationary,stationer,stole
柱,pole,power,lore,yore
唤起(回忆、感情等),evoke,revoke,devote,yoke
层,storey,store,snore,stormy
快速或突然移动,whip,whine,drip,warp
(身体或智力方面的)缺陷,handicap,bombshell,periodic,aquarium
依字母顺序的,alphabetical,frenetic,flimsy,maternal
(河口的)三角洲,delta,beta,melt,death
)风度,grace,garage,grave,pace
巨大,tremendous,insignificant,frail,fig.: flamboyant
抵制,boycott,offend,lit.: slap the table and shout with praise,unconstitutional
客居外国家庭期间,homestay,spatter,nuptial,discharge
挖苦,scorch,starch,scotch,torch
手册,handbook,bankbook,manual,card
功能,function,junction,unction,sanction
数字,numerical,numeral,Chinese character,character
立体声的,stereo,stare,store,steer
视觉,optical,topical,optional,optics
合流,confluence,confidence,conference,influence
调整,tune,fuse,run,tyre
增长,mount,count,moult,grunt
目录,catalog,ins and outs,tint,appendix
结论,inference,influence,difference,reference
电工,electrician,electrician,helper,forger
最重要的,paramount,situation,on,vintage
河口,estuary,pass,import,to go out
超过,outdo,outer,auto,outgo
顽强,obstinate,uninhibited,brave,categorically
停战,truce,traduce,trice,truckle
查清,verify,guard a pass,investigate,detect
满足,content,convent,contend,context
肖像,icon,ion,aeon,con
石板,flagstone,slab,thumbtack,writing brush
好名声,reputation,regulation,deputation,repetition
必须包括,entail,dental,tail,mental
基督教教徒　,christian,sly,reputation,cling
独特之处,peculiarity,gap,formidable,top and bottom
非常,enormously,obtain one's share,exceeding,to inherit
评价,evaluate,evacuate,roll call,judgment
将…归类,categorize,allegedly,digit,hie
摇摆,waver,weaver,wager,caper
周期性的,cyclic,turncoat,glandular,suppress
撞击,percussion,persuasion,permission,to touch down
线索,clue,clique,flue,hue
粗暴,rough,bough,grouch,trough
壮丽,magnificent,seductive,shabby,flirtatious
烟囱,chimney,chime,hole puncher,browser 
安静,placid,lucid,flaccid,placard
航天飞机,shuttle,scuttle,shutter,shuffle
补充之物,supplement,masthead,periodical,journal
少数,minority,majority,uncommon,booming 
问题,issue,tissue,assure,ensue
预测,predict,precinct,credit,edict
邪恶,wicked,nickel,wicker,wicket
世俗的、尘世的,secular,jocular,peculiar,regular
暴虐,tyrannical,humanity,what,malicious
准确,accuracy,accurate,ridiculous,no risk at all
中间,intermediate,very difficult ,inferior,eligible 
精确计量,gauge,gauze,gouge,sage
沼泽地,quagmire,islands,Asian,Nansha  Islands
伦敦地下铁道,metro,metal,merry,method
撕扯,rip,rig,rasp,kid
安顿,establish,to deploy,privately-owned,allocate and transfer 
目击,witness,fitness,waitress,visit and observe
(使)弯曲,bend,lens,band,bed
谨慎小心的、细心的,scrupulous,mote,marsh,misty
季刊,quarterly,origin,evening paper,statistical tables and reports
目标,objective,adjective,subjective,objection
振奋,elated,in addition,excited,hinder
取代,displace,misplace,display,disgrace
创始,genetic,genetics,emetic,frenetic
一瞥,glimpse,plastic,administer,protege
变化,diversity,diversify,university,adversity
推动力,impetus,impious,impetuous,competitive strength
红树林,mangrove,lemon,Chinese ilex,banana
嫩芽,sprout,spout,snout,uproot
趋势,current,torrent,currant,currency
解决(办法),solution,absolution,evolution,isolation
丰富,abundance,abundant,soak,annex
活塞,piston,prison,vision,bison
疏忽,inattention,wholeheartedly,sag,be driven to join the Liangshan Mountain rebels
书架,bookcase,a built-in wardrobe or cupboard,cotton-padded mattress,quilt
提名,slate,slave,elate,plane
承包者,entrepreneur,artist,veteran,economist
废弃,obsolete,absolute,to waive one's right to vote,to draw into
软管,hose,dose,those,honey
明显,apparent,parent,illegal,undisguised
揉杂,jumble,mumble,fumble,tumble
主要,main,maim,saint,min
抵押,pledge,ledge,sledge,wedge
破碎,shatter,batter,spatter,stutter
烧硬,bake,brave,have,bole
命令,mandatory,give somebody a task,to give notice,publicize
酥皮点心,pastry,soy sauce,white sugar,dessert
判断,verdict,edict,verdant,to know what's what
歌唱团,troupe,rouge,grouse,true
(暗中)摸索,grope,gripe,grip,grape
正的,positive,position,punitive,inertia
暴露,betray,berry,bray,astray
象征,token,towel,take,omen
两栖类的,amphibian,because,middle,nun
脾气坏的,sour,spoor,boar,scour
高声诉苦,squeal,squeak,seal,sequel
接受者,recipient,incipient,customer,purchaser
倒空,deplete,replete,delete,deflate
体谅,considerate,excuse,tolerant,treasure
钠,sodium,insist,peanut,binoculars
认识到,perceive,deceive,perceptive,receive
热带地区,tropic,frolic,trophy,topic
（精致的）衣服,apparel,footprint,motel,point
中世纪的,medieval,medical,mediaeval,modern era
可怕,horrible,forcible,terrible,troublesome
最高,supreme,spree,lowest,roly-poly
使成瘾,addict,adrift,audit,adduce
边缘,marginal,virginal,marital,martial
队列,array,aural,harry,arrow
偏执狂,paranoia,parabola,engage,religion
不舒适,distress,distrust,mistress,stress
很大,prodigious,propitious,coarse,strong soldiers and sturdy horses - a well-trained and powerful army
硝酸盐,nitrate,epsom salts,white phosphorus,salt
催化剂,catalyst,analyst,cataclysm,density
喜剧,comedy,homely,comely,comply
引入,initiate,vitiate,initial,imitate
释义,paraphrase,punctuate,grade,comment
个别,individual,each other,jointly ,on one's own
淫秽,obscene,scene,obscure,nobly
脱掉帽子,uncap,pliers,vestment,amble
可怕,formidable,not enjoy popular support,moving,extensive
指出,indicate,indict,vindicate,intimate
偏见,bias,big,hiss,bray
插入,insert,invert,insect,inset
)茶点,refreshment,to eat a meal,vegetarian food,taste
法律上的,legal,metal,leap,regal
咆哮,growl,crowd,trowel,gaol
感人,impressive,impression,oppressive,impassive
调整,modulate,ovulate,moderate,adulate
大量出现,teem,deem,them,heed
紧握不放,cling,fling,climb,sling
牢牢插于,embed,embody,webbed,ember
进步,stride,astride,striker,strive
确定…的数量,quantify,qualify,quantity,brigadier
个别,discrete,discreet,to combine,personally
赊欠,credit,remit,accredit,crest
硫磺,sulfur,hydrocarbon,white phosphorus,quicksilver
投掷,project,product,reject,projector
(附有停车场的)汽车旅馆,motel,hotel,metal,money
润滑脂,grease,crease,greasy,breast
尽管,whereas,whereby,where,yes or no
与…有关系,relate,relay,elate,rotate
机构,mechanism,mechanize,mechanic,mechanics
附近地区,vicinity,divinity,baggage,harlot
半透明的,translucent,wasp,tiger,displease
破产(状态),bankruptcy,bankrupt,subtitle,economic
精湛,exquisite,requisite,perquisite,good
戳,poke,pork,sole,pace
陈腐的,stale,stake,tale,stain
优惠,preferential,fig.: flamboyant,terrible,shocking
微生物,germ,herb,girl,perm
温暖,warmth,worth,warpath,wrath
推荐(信),recommendation,clam,stride,pyjamas
多余,superfluous,dynamic equilibrium,balance,deficit
存在于,consist,insist,convict,contest
传染,infectious,infection,to arouse,to infect
操纵,maneuver,system or institution,patriotic,dictatorship
宽恕,remission,emission,revision,recession
纸牌戏,poker,powder,poser,pocket
限制,limitation,imitation,excited,boost
处方,prescription,prescribe,to perform or have an operation,to play a small role
同意,consent,consort,contest,consist
领域,territory,system,on top of,political and government circles
可渗透的,porous,joyous,pompous,amorous
海湾,bay,ban,bin,lap
刺激物,stimulus,embellish,seesaw,spiritual
厚板,slab,spa,slave,slot
假的,artificial,maim,differ,both
窜改,falsify,calcify,gasify,addendum
(钟等的)摆,pendulum,pendium,starvation,low
完全笼罩,wreathe,breathe,wreath,wrestle
妨碍,impede,ampere,impose,impale
基本,radical,rascal,racial,medical
补偿,compensation,widen,to make an extra effort,natural selection
摇晃不稳,shamble,shame,amble,humble
妥协,compromise,comprise,to hit with hands or fists,injure
(使)交替,alternate,alternator,alienate,mitigate
急件,dispatch,despatch,map,bulletin
教练,coach,coast,couch,peach
比例,proportion,promotion,interest rates,recovery ratio
用…代替,substitute,puzzle,scorer,hyacinth
会计,accountant,barber,clerk,broker
监狱,jail,sail,ail,mail
例外,exceptional,inequality,equally matched,asynchronous
能力,capacity,calamity,sagacity,incapacity
使恼怒,exasperate,exaggerate,contradict ,bother
捏,pinch,winch,peach,punch
下坡,descent,descend,scent,decent
过错,offence,defence,office,offender
修改,modify,codify,mortify,bodily
可比较的,comparable,compatible,inflation,prank
偿还,reimburse,lend,bounce ,to give change
显著,remarkable,reparable,illicit,lawful
上升攀登,ascent,accent,advent,assent
疲倦,weary,nearly,year,merry
接着发生,ensue,sense,censure,ensure
词典,thesaurus,encyclopedia,dictionary,a rubbing from a stone inscription
（音乐）强音的,forte,forge,fort,forth
紧抱住,hug,jut,fur,how
(同类人的)聚居地,colony,cony,color,colon
考虑,reckon,beckon,rector,region
不友好的,hostile,hostel,jostle,hospice
渡运,ferry,jerry,very,flurry
互利,reciprocal,favorable,break out,profit by other people's toil
敏感,touchy,touch,vouch,tough
平坦,even,fever,oven,mien
结核病,tuberculosis,VD,epidemic,sudden attack of a serious illness
人孔,manhole,manhood,manacle,mantle
及时,timely,timer,nicely,time
忽略,neglect,elect,reflect,select
性欲,sexual,asexual,sequel,seal
操作,manipulate,common,exhausted,to imitate
懒洋洋地斜倚或靠坐着,lounge,lunge,lone,rouge
标点符号,punctuation,comma,character,brackets
监听,monitor,monster,janitor,mentor
认识(力)的,cognitive,secret,shrewd,admittance
嘈杂,hubbub,humbug,hubby,to crowd
向…欢呼,acclaim,declaim,claim,reclaim
脚蹬,pedal,pedant,petal,peddle
氮,nitrogen,vandal,fruitful,secondly
年金领受权,annuity,acuity,retirement pay,commission
悬念的状态,suspense,suspender,dispense,suspend
宣言,declaration,taxation form,copybook ,label
青铜制品,bronze,broke,browse,booze
精神饱满,energetic,mitre,kilogram,hypocrisy
加上,plus,plush,blue,plump
淡啤酒,ale,lethargy,editorial,flourish
简明,concise,concede,confuse,consist
成年人的,adult,adjust,dolt,abut
达到高潮,culminate,fulminate,ruminate,cultivate
发出爆裂声,crack,crazy,crock,clack
使窘迫,embarrass,willow,exist,murky
蹲伏、弯腰,crouch,couch,crush,grouch
激励,spur,opus,sir,pure
争论,controversy,to reply ,tarnish,defame
举起,uphold,hold,untold,unfold
把…除外,exclude,explode,excuse,exude
喷嘴,nozzle,wrench,throne,wing
群集,cluster,fluster,bluster,clutter
巨大,colossal,colossus,colonial,untrammeled
杀虫剂,pesticide,root of herbaceous peony ,ointment,aspirin
(短距离)全速奔跑,sprint,splint,spring,misprint
逐渐表露,unfold,enfold,unbolt,untold
一卷(胶片等),reel,yell,heed,leek
气喘病,asthma,measles,epidemic disease,focus 
意识形态,ideology,geology,theology,suicide
医院,hospital,hospitable,National People's Congress,Beijing university
出租,lease,please,dense,lace
不愿意的,reluctant,resultant,to make fun of,horrify
污物,sewage,sage,silage,stage
删去,cancel,cancer,canker,cane
译员,interpreter,maternal grandmother,actor,media
轴,shaft,safe,shift,shout
造型,mold,stature,terrain,polygon
扩张,expand,expound,expend,errand
比例,percentage,parentage,index of refraction,percentage
注意,attend,attune,amend,batten
找来,fetch,watch,retch,reach
惯性,inertia,inert,rigidity,necessity
给…保险,insure,ensue,insurer,ensure
旧病复发,relapse,elapse,lapse,release
保证,insurance,assurance,instance,insurant
海绵,sponge,spongy,spangle,sponger
鼓舞,inspire,spire,inquire,aspire
摩擦,friction,fraction,fiction,faction
抓伤,scratch,scratchy,snatch,screech
旋风,whirlwind,violent storm,against the wind,gust
使通风,ventilate,ventilator,competitor,flimsy
亚麻布,linen,links,libel,liner
制图,cartography,to map,carving,simple and straightforward style of writing
农村,rural,aural,regal,mural
(使)分裂,split,shit,spit,splint
承车上下班,commute,commune,compute,compete
伸出,extend,expend,attend,expand
律师,practitioner,a teacher in charge of a class,jury,instructor
发起,sponsor,sponger,sensor,spoor
音量,volume,voluble,column,vogue
了望台,observatory,observatory,a news service ,academy of sciences
蕃茄酱等,ketchup,evaluate,lemon,cousin
表现形式,presentation,nugget,divisor,event
使(某人)安心,reassure,pressure,assure,treasure
兵团,legion,lexicon,lotion,region
精明,prudent,trident,rodent,prurient
(使)流血,bleed,blue,feed,beet
猛扑,pounce,bounce,ounce,pouch
臭名昭彰,notorious,well-known ,lose face,unemployment
一群,batch,bat,botch,thatch
皱眉头,frown,fowl,brawn,brown
码,yard,garb,oar,hard
检查,survey,purvey,sure,surgery
残忍,brutal,rural,brute,frugal
原谅,forgive,furtive,forge,to focus on
严酷,rigorous,timorous,vigorous,riotous
下赌注,stake,take,safe,slate
兴旺,thrive,thrice,shrine,arrive
通信,correspondence,to make a telephone call,grunt,to communicate
标签,tag,tame,tub,sag
对语,antonym,acronym,refusal,absorption
(人)充满活力的(植物)茂盛的,exuberant,typography,due,urgency
活动,pursuit,pursue,to drain,current
(使)衰退,decay,decry,defy,delay
现世,mundane,mandate,sundae,unemployment
为数众多,numerous,humorous,simple,surplus
超载,overload,overboard,overlook,overland
怪物,monster,minister,rooster,mister
为…提供资金,finance,fiance,fiancee,inane
恐惧,dread,dream,treat,tread
抬起,elevate,enervate,elate,elevator
夸示,ostentation,perilous situation,reflex,smoking
槽,groove,prove,groom,grope
迷惑,bewilder,builder,to cheat,all's fair in war
高山,alpine,seacoast,shore,hilltop
允许,permit,perm,termite,pert
羞怯,timidity,the glad eye,cry on each other's shoulder,heave deep sighs
服从,compliance,compliant,keep ,unconstitutional
微风,breeze,breech,freeze,breezy
出处,source,sluice,sour,coerce
强迫,coerce,coarse,commerce,source
(学校、专业的)全部课程,curriculum,morphine,delicious,buzz
反顾,retrospect,shut oneself up and ponder over one's mistakes,accidental,look cold and indifferent
法庭,forensic,munitions or ordnance factory,Ministry of Public Security,yard
操练,drill,droll,roll,krill
感情,emotion,motion,devotion,lotion
降低身份,humble,hobble,rumble,mumble
刮脸,shave,shaver,suave,stare
(职务的)空缺,vacancy,vacant,cloakroom,ward
香水,scent,scan,scant,scene
小缺点,foible,foil,file,Bible
(海岸等的)新鲜空气,ozone,zone,atone,hone
钳子,clamp,clap,lamp,champ
同样,likewise,agree without prior consultation,be under the jurisdiction of,roommate
未到期的,undue,endure,uncut,unique
端,end,trend,seed,tent
把…塞进,cram,cab,gram,cramp
叶状,leafy,cocaine,blossom,methylate
继承,inherit,interim,inhabit,inert
存在,presence,prudence,pretence,preserve
祝福,bless,chess,blush,less
不可避免,inevitable,not necessarily,when all is said and done,life insurance
希望,promise,praise,premise,provide
(材料等的)结构,texture,lecture,mixture,fixture
极小之物,pinpoint,roof,top,tail
传播,carry,vary,parry,awry
(,condition,coalition,conviction,conduction
难取悦的,fastidious,make life difficult for,to joke,mischievous
解剖,anatomy,analogy,surgery,vaccine
(道路,toll,folk,boll,toil
轻便,portable,workable,parable,porthole
弯的,crooked,aorta,upstanding,trooper
使猛然一惊,startle,sterile,stale,tattle
过度,extravagant,further,despite,unlimited
(使)轮流,rotate,prorate,rebate,potato
整齐,orderly,order,ordeal,elderly
诈骗,cog,can,jog,do
使分段进行,phase,chase,phrase,vase
数据库,database,core,vane,acceptable
(破坏物的)碎片,debris,ferris,debit,sled
困境,strait,start,strain,trait
使确信,convince,confine,convict,continue
宠爱,cosset,cherish,beconme excited,worth hearing a hundred times
特有,characteristic,particular,to the greatest extent,as one wishes
眼界,horizon,arithmetic,intellectual,variable
膝部,lap,rap,ad,harp
纪念,commemorate,concerned,seek,to ponder
安装,install,instant,instil,stall
深渊,pit,sit,spit,kit
播种,sow,sop,fog,sly
探讨,research,search,research,to manufacture
有害,noxious,obnoxious,odious,anxious
过份,exceedingly,heartily,palate,gunpowder
因此,thereby,heresy,hereby,whereby
逗乐,amuse,muse,amiss,use
为雪所封闭的,snowbound,religion,reservoir,benevolent
魅力,glamour,clamour,amour,glamour
有危险的,hazardous,frisk,buttonhole,deplore
小量,crumb,comb,crib,crimp
插曲,episode,epitome,epistle,support of sb
预测,forecast,foremost,recast,forest
章程,constitution,rule,dinner party,terms 
使…特殊化,specialize,speciality,socialize,specialist
出租,let,tent,vent,get
陪伴,accompany,company,to violate an agreement,to support
沙丁鱼,pilchard,sardine,goldfish,turtle
远足,hike,wide,make,dine
翻来覆去,toss,to,moss,loss
不稳定的,uneasy,greasy,unmask,easy
帝王,imperial,impartial,imperil,director
咯咯地笑着说,giggle,goggle,jiggle,gurgle
仅仅,alone,lose,prone,atone
连环图,comic,toxic,cosmic,cubic
万灵药,panacea,palace,disorderly,graze
精确,precise,premise,precis,precede
恭敬,reverent,reverence,revere,reverend
适于航行,navigable,navigate,majority,slender
同时,simultaneous,still,together with,and
(使)烦恼,fret,free,fire,fore
贮藏,storage,steerage,stoppage,stage
消失,vanish,banish,garnish,lavish
医院的高级专科顾问医生,consultant,constant,undermine,invite
真心,genuine,equine,engine,to revolt
防波堤,mole,mote,moult,lone
轻蔑、瞧不起,scorn,scold,scope,sort
缓和,alleviate,to deepen,to improve,hurriedly
牲口棚,barn,hard,ear,baron
压碎,crush,hush,thrush,rush
胜利,triumph,triumphal,trump,excel
抓住,catch,arch,batch,latch
风景,landscape,mirage,format,ornamental
耐久,durable,curable,disable,arable
贪污,corruption,correction,fraud,to embezzle
蛇(尤指大蛇或毒蛇),serpent,ferment,percent,serene
小礼拜堂,chapel,make a pilgrimage,prayer,blessings
带来,incur,input,cur,insure
挖洞,burrow,barrow,borrow,brow
（食物）易坏的,perishable,pregnant,pelt,discern
簿记员,bookkeeper,unkind,misery,confusion
交响曲,symphony,symphonic,symphony,play
（动作、生活的）步调,tempo,teapot,typo,tempt
肝炎,hepatitis,"bird flu" ,focus ,white diarrhea
剧烈,violent,violence,violet,virulent
固有,inherent,interest,inherit,adherent
行人,pedestrian,tourist,relative ,tongue
不考虑的,irrespective,consequently,thus,in view of
肮脏,dingy,deny,dandy,diary
道德,moral,mural,local,mortal
稳重,staid,impatience,patient ,insolent
传说中的,legendary,tragicomedy,tragedy,one-act play
全神贯注于,engross,egress,gross,showy
反省,meditate,dedicate,mediate,medicated
赶上,overtake,overrate,overtime,overture
预留,obligate,obviate,oblige,to threaten
众多,multitude,altitude,minority,every
进化,evolution,solution,devolution,revolution
断奶,wean,wear,well,pen
持续,ongoing,on time,former,continuously
下降,fall,fell,call,malt
生计,sustenance,lunch,meal,supper
和别人隔离,seclude,delude,secede,exclude
消费,consumption,waste,to use up,transfer money from|into an account
一束(花),bouquet,banquet,poster,missionary
食肉动物,carnivore,divorce,sundown,theirs
艰难,tough,trough,through,tongs
审计,audit,audio,quoit,addict
同义词,synonym,particle ,motto,verb
异想天开,fantastic,fanatic,thought,conceive
马离地跳跃,buck,puck,muck,sock
运河,canal,tonal,carnal,fatal
(鸟)振翼,flutter,clutter,fluster,latter
税收,revenue,reverse,revere,revenge
香槟酒,champagne,whisky,beer,spirit usually distilled from sorghum or maize
友善,sociable,social,unsociable,friendly
行贿的财物,bribe,rite,gibe,bride
暂停,suspend,suspender,upend,spend
后代,offspring,ancestor,friend,close friend
声明,claim,calm,clap,alarm
滑溜,slippery,slipper,shipper,clippers
挽回,retrieve,relieve,reprieve,to assimilate
弦,chord,chary,curd,chop
使湿透,drench,trench,breach,quench
双重,dual,oval,draw,duet
惯例,tradition,gradation,transition,traction
华丽,gaily,vanity,civilization,gruff
巨大,gigantic,fine,wee,negligible
抵押,mortgage,mortgager,montage,mortgagee
神圣,sacred,hatred,barred,acre
节制,reserve,deserve,preserve,revere
使受欢迎,recommend,commend,gravitate,accentuate
男女同校,coeducation,fortress,valuable,hippodrome
外科手术刀,scalpel,scalp,scamper,scale
象征,symbolize,symbolic,it could even be said,to show
蜜月(假期),honeymoon,thoughtful,magic,aha
力劝,exhort,exert,extort,export
住所,lodging,integrated circuit,location,special-purpose phone line or communications link
蜂拥,pour,nor,pout,lout
工作,stewardship,colleague,to serve,undertake to perform work within a time limit and according to specifications
应允,comply,homely,comity,comely
全世界的,cosmopolitan,foliage,accusation,emphasis
陈腔滥调,platitude,latitude,altitude,gratitude
名义上的,nominal,comical,seminal,nominee
体谅,consideration,pity,to be willing to part with ,to rest
耗尽,depletion,waste,to squander,cost
保证书,warranty,warrant,arrant,wedding contract
就餐,dine,dint,mike,dinner
创造,create,creative,crepe,crave
北极,arctic,hectic,ascetic,archaic
许可(证),clearance,to prohibit,visa,to affix a seal 
嘲弄,sarcasm,carcass,to make fun of somebody,temptation
拨款,grant,rant,rank,grape
肾脏,kidney,kidnap,gizzard,apparatus
评说,observe,observer,serve,obverse
学费,tuition,auction,munition,suction
((文语.古)),whence,fence,wrench,hence
不可剥夺,inalienable,starve,seventieth,completion
体育馆,gymnasium,library,salon,general office of a newspaper
木工,carpenter,carpentry,seasonal laborer,labor
物种,species,special,specie,series
犹豫,hover,cover,hoover,fever
和谐,chime,chide,crime,lime
帮助,aid,arid,raid,kid
减轻,mitigate,litigate,vitiate,mutilate
猛投,fling,sling,faint,fringe
陈腐,trite,tripe,crate,tribe
详细目录,inventory,investor,inventor,gondola
自治,autonomy,astronomy,law and order,autonomy
护卫队,escort,resort,extort,scorn
拖引,tow,row,jog,blow
果皮,peel,keel,peer,peep
重点,emphasis,emphatic,emphasize,report
自助餐厅,cafeteria,polish,abstruse,chopper
引诱物,lure,nurse,puke,lute
私下,closet,claret,close,covet
浏览,skim,skip,skit,sir
把…归档,file,fell,mike,fine
救护车(船、飞机等),ambulance,imbalance,savagery,woman
支配,sway,stay,seal,away
假设,hypothesis,so,only,apart from this
赎罪,redeem,deem,redden,compensation
呼吸,respiration,pronunciation,to spit,to groan
使失去感觉,numb,limb,name,puma
反复无常,volatile,fluctuate,vicious circle,to develop
国籍,nationality,qualifications,home state or region,voter
轻快,agile,ail,gill,aide
打碎,smash,smart,mash,smack
软骨,cartilage,carriage,albinism,powdery mildew
征集(税等),levy,lacy,lee,lay
平凡,commonplace,low level,tip,profound
告别,farewell,to leave,concentrated,meet
火葬柴堆,pyre,macadam,deft,improvise
柜台,counter,clutter,bounder,cluster
见闻广博,informative,anecdote,gospel,New Year's Eve family dinner
仲裁,arbitrate,arbitrary,arbitrage,verify
切成细条,shred,shrug,shed,sore
使升级,upgrade,degrade,grade,parade
泰然自若,poise,police,prize,posy
不合需要,undesirable,seem,lavatory,explode
流利,fluent,effluent,affluent,client
怒吼,howl,showy,hotel,scowl
迅速成长,burgeon,surgeon,dudgeon,burden
使容易(便利),facilitate,holly,deduce,merchant
骚扰,molest,modest,lest,moment
对应物,correspondent,swirl,assorted,video
透视图,perspective,flow chart,forms for reporting statistics,spectrum
新奇,novel,navel,over,hovel
限制,confine,canine,confide,coffin
时髦,modish,modify,radish,dish
掠夺,plunder,blunder,slander,slender
提供,offer,differ,coffer,infer
储备金,float,pleat,foot,flay
拒绝,refusal,refuse,refuel,reply
采石场,quarry,quart,query,curry
注意到,heed,heel,hue,deer
剽窃,plagiarize,abduct,extort under false pretences,annex
骚乱,riot,ring,root,robot
有选择性,selective,elective,seductive,selection
分岔,diverge,diverse,diver,divorce
受监护人,ward,wad,award,aware
末端,terminal,seminal,terminus,terminate
确实,literally,literacy,literary,literal
引用,quote,queue,suite,quota
电子(学)的,electronic,electric,electron,nativity
变量,variable,invariable,parable,variance
褪色,fade,jade,late,face
属性,attribute,tribute,air of arrogance,possibility
聚精会神,intent,intend,invent,inset
承认,acknowledge,meddle,overthrow,retort
对称(性),symmetry,linked in countless ways,widespread,symmetry
限制,restrict,district,retract,restraint
迁移,migratory,signatory,to be in hospital,perch
不知怎么,somehow,tempo,focal,bide
分析,analysis,analytic,analyse,analyst
陈列,exposition,expedition,deposition,position
树木,arboreal,lacebark pine,chasm,pine
收付平衡,balance,glance,palace,blanch
激怒,ruffle,muffle,muffler,raffle
信任状,credentials,draper,tit,settlement
不同,distinct,distance,distract,indistinct
铭记,engrave,enrage,enclave,engage
(使)听写,dictate,dilate,dictator,distaste
鲤鱼,carp,card,tar,carol
成体系的,systematic,atheist,rig,version
谬误,fallacy,wallaby,allay,standard
闪亮,twinkle,twiddle,tinkle,tingle
眨眼睛,blink,kink,bring,blank
普通,conventional,unprecedented,unique,to pass a test
移民,immigrant,emigrant,migrant,immigrate
宁静,tranquility,regret,be worthy of,panic
缺陷,flaw,fat,feat,fan
一日,day,pat,den,wan
理发师,barber,barter,garner,barren
直觉,instinct,indistinct,instant,instance
标准,norm,normal,room,form
骨髓,marrow,borrow,marry,harrow
泻湖,lagoon,name of a river,pond,lagoon
假定,presumption,stem from,if that's the case, then ,in addition to this
衣橱,wardrobe,closet,deposit,bed
