#word,meaning,option1,option2,option3
intoxicate,使喝醉,欺骗,活动(范围),动物园
absolve,赦免,违法,流放,绑架
recorder,记录装置,(尤指用沙纸)磨光,刑罚,嵌板
glib,能说会道,赘述,对话,多嘴
uncover,揭露,斥责,谴责,保密
compatriot,伙伴,比邻,亲信,把兄弟
pout,撅起,相比,显示,建造
unlettered,无字,车轮,开发,野外
qualm,内疚,羞愧,轻松,从容不迫
diver,蛙人,技工,舵手,驾驶员
flog,驱使,致死,抓住,招致
hussar,轻骑兵,退伍军人,老兵,警官
capricious,变化无常,变脸,变质,多变
wince,六角盘,在的上方,这些,(外)祖父
collusion,共谋,让开,迁就,会谈
alpha,第一位的,商人,重,指挥
interloper,闯入者,掌握,结束,抹
physicist,物理学家,建筑师,制作者,研究员
besotted,痴迷,全心全意,安土重迁,顿悟
dirk,用短剑刺,漏出量,工业界,腼腆
duffer,笨蛋,白痴,半瓶醋,宝贝
scuttle,逃避,幸免,避讳,应得
lush,繁茂,一些,肥沃,稠密
sort,种类,广播网,电话网,广域网
escapade,越轨行为,贴出,差不多,医术
slogan,标语,梦话,暗语,脏话
dolphin,海豚,河马,袋鼠,白花蛇
duo,二重唱,帮腔,合唱,对歌
balk,阻止,扰乱,麻烦,缠绕
conduit,导线管,爆炸,邻接,设想
quibble,就...作狡辩,腐朽,报导者,罩
slot,踢入门,不过,大概,标准
numeral,数字,卜辞,单字,句号
glossary,词表,采,绝望,对…征税
cobweb,蜘蛛网,针,网络,球网
demented,疯狂,窒息,狂热,麻木
offhand,不假思索,不翼而飞,暮,敏捷
deface,涂掉,斗争,细想,作文
outermost,最外面的,租给,使保持,使困惑
haw,山楂,蜜桃,艾,瓞
minimize,达到最低值,清单,芭蕉属植物,加油
vegetarian,素食者,眼镜,聚集,专心
flail,胡乱摆动,实用主义,不久前,信号
grill,拷问,审判,审讯,判处
jetty,防波堤,陷阱,堤岸,渠道
pigtail,辫子,目的,理由,古典
liner,定期船,正确无误,(指时间)在…以前,名次
erudite,博学,无所不能,无能,大器晚成
deviate,背离,对抗,违犯,违心
radiate,流露,带有,包藏,霸占
daunt,威吓,逼债,勾引,强制
cashmere,开士米,主要,伸展,战船
hoax,欺骗,趋附,糊弄,包庇
expedite,迅速执行,通情达理,排队,痛
putrid,腐烂,变质,双生,冷却
communism,共产主义,爱国,保护主义,种族主义
ellipse,椭圆,圆周,拱形,不少
mongrel,杂种,级别,派别,豆科
lug,拖,产量,(车间)主任,惊奇
clod,块,教友,自动售货商店,安置
ufo,不明飞行物,坚决主张,尖端,飘动
bonus,红利,薄利,盈利,外资
chic,漂亮,渺茫,优惠,逼真
construe,解释,下载,参考,留言
opus,作品编号,不确知的,可怜,关闭
epilepsy,癫痫,暑瘟,湿气,梦游症
abjure,避免,消防,躲避,荣获
pyjamas,宽松裤,贡献,宠物,失望
lacquer,漆器,轨枕,警报器,烟囱
orchestral,管弦乐队演奏的,走,特性,相同的人(或物)
overdo,做得过分,非常,通常,独特
obloquy,丑名,嵌板,(医生等的)意见,完结部
dysentery,痢疾,霍乱,疟疾,翳
dike,把...打扮得漂漂亮亮,没有被预订的,保持,推
pap,软食,爆米花,圣餐,抓饭
tit,打击,告诫,调教,补课
compiler,汇编者,主角,留待,工资收人
ewer,大口水壶,呆笨,气体,栅栏
scud,顺风行驶,喜欢,在楼下,片断
rick,草堆,出版社,躲避,(使)通风
fatalism,宿命论,法理,墨水,中学
platoon,排,死亡率,丛,把子
bicycle,自行车,列车,车辆,小汽车
vomit,呕吐,消化,伤风,泻肚
oddity,怪人,鼓吹者,文学家,学士
intersect,相交,友善,交流,往复
squash,粉碎,占据,扰乱,消灭
mammal,哺乳动物,动物,摆设,补给
react,影响,轰动,不相干,相关
luminary,光的,或许,垃圾,等级
pathology,病变,最大化,简单化,聚变
kinswoman,女性家属,卫生间,淡薄,肥皂剧
laureate,讴歌者,婴儿,记录,计划
cherub,小天使,作弊,辩护,窘境
dispose,排列,开列,散布,陈列
regional,区,下划线,稳的,米饭
beautify,变得美,花,选择,呆笨
consign,留出,洗的衣物,这些人(东西),强壮
jostle,搅扰,麻烦,阻碍,纠缠
comment,闲话,阐述,发言,谈到
nurture,给...营养物,隔开,信念,投篮
crucify,诋毁,争论,讽刺,丑化
ovum,卵形饰,咽,存在,野生生物
backwoods,边远蛮荒林区,财宝,条文,全国人民
corollary,具有推断性质的,男性服务员,通常,也
footprint,轮迹,回答,一出喜剧,无力
unload,摆脱,剥离,退学,退役
dunce,笨蛋,半瓶醋,白痴,废物
cataclysm,灾变,(虫、鸟等)鸣声,使获得自由,骆驼
object,提出,诉苦,闲谈,演讲
nebula,星云,寿星,太阳,卫星
forthright,直率,坦白,狡猾,不道德
doggerel,拙劣的诗,自来水,在…上,未开发的
bramble,黑莓果,地区,反常出格,仓促
dogmatism,教条主义,无所不能,能干,灵巧
colon,结肠,肚子,心脏,阴户
cognate,同源,同时,抗衡,同步
milkman,卖牛奶的人,女士(对妇女的尊称),整齐,链条
versatile,易变,懒惰,大堆,授予(奖品等)
plaudit,喝彩,吹口哨,哀号,鸣叫
converge,会合,久违,别离,告别
voracious,贪吃,嗷嗷待哺,醉,口渴
swirl,打旋,表“种类”时则可数),邮筒,穿过
purposeful,有目的的,气愤,压缩,攻击
coppice,灌木林,酒店,交际,精神上
dilute,减弱了的,爆裂,变化,群众
asphalt,铺沥青于,烟灰缸,漂亮,在前面(头)
elixir,灵丹,在早期,冲出,刺
quorum,法定人数,定额,贸易额,雨量
curvature,曲,逆,严肃,初级
sensory,感觉,以为,发现,公认
abstention,弃权,埋没,断送,放弃
caper,跳跳蹦蹦,把…计算在内,特别,指示
propound,提出...请求验证,俯冲,野草,表演
sedan,单舱汽艇,袖子,蜂箱,低劣
