#word,meaning,option1,option2,option3
重新点燃,rekindle,chafe,labyrinth,promotion
水槽,gutter,potter,mutter,butter
堕落,perversion,degenerate,popular,to take drugs
法庭,tribunal,tribune,munitions or ordnance factory,factory
没有决断力的,shiftless,keep silent about major charges while admitting minor ones,collapse,to work
大酒杯,chalice,meet,territory,childbirth
难取悦的,fastidious,make things difficult,to make fun of somebody,to play
不一致的,discordant,reprimand,overdue,bread
证明无效,invalidate,validate,dime,august
劳碌,drudge,ridge,smudge,trudge
(话语等)适当的,felicitous,delicious,solicitous,futile
嗜酒,bibulous,chary,multiple,narrow
轻便,portable,portal,parable,workable
演出时的丑角,buffoon,shall,torso,handshake
不诚实的,crooked,clippers,wither,tuck
不加掩饰,unabashed,anomaly,attentive,homesick
使不满意,disgruntle,itemize,revengeful,regal
使吃惊,startle,sparkle,sterile,tattle
奢侈,extravagant,industrious ,diligence,cautious
旋转,rotate,potato,rotten,rebate
偷看,peek,preen,peer,jerk
活动过强,hyperactivity,polite,after,contralto
寓言,parable,parallel,arable,payable
流口水,slaver,slavery,salver,laser
废墟,debris,ferris,debit,light rain
海峡,strait,trait,straight,strain
使某人确信,convince,confine,convene,convict
宠爱,cosset,patriotism,loyal to,misunderstanding
服从,compliant,compliment,compliance,complaint
与众不同的特征,characteristic,linoleum,rainy,axle
有名气的,reputed,overweight,hatchet,eve
业余爱好,amateurish,heir,divinity,nudge
纪念(伟人,commemorate,highland,ignoramus,lifelong
使就职,install,instant,stall,instil
难以抗拒的冲动,compulsion,compassion,superior,stockpile
播种,sow,stow,saw,now
有害,noxious,anxious,obnoxious,copious
命令,edict,duct,edify,evict
精明仔细,canny,bandy,cannon,scanty
把...装饰得华丽而俗气,bedizen,rusty,windfall,awe
平台型铁路货车,flatcar,halve,patronage,wreak
山核桃,pecan,banana,grape,walnut
易于交谈,affable,amiable,fable,arable
暂停,suspended,to launch,stanch ,armistice
押韵,rhyme,chime,rhymed,theme
过分暴露,overexposure,hey,nurse,gratify
勇敢,prowess,process,profess,protest
逗某人笑,amuse,accuse,muse,arise
彬彬有礼,civility,divinity,civilize,civilian
韵律,metrical,ethical,medical,metric
极小,minuscule,snowflake,come,reminder
湿透,drenched,old-fashioned,fresh,airtight
无可匹敌,peerless,save,forbear,dwell
永恒,perpetuity,perpetuate,hard,stand
(使)完全干涸,desiccate,desiccant,dedicate,delicate
注定,predestine,unmarried,to lose effectiveness,tripartite confrontation
饼屑,crumb,drum,cruel,comb
预测,forecast,recast,foremost,forest
宪法,constitution,clause ,international law,ordinance
出类拔萃,preeminent,prominent,out of the ordinary,unprecedented
专门研究,specialize,socialize,speciality,specialist
沮丧,dejection,to take one's anger out on sb ,lose one's temper,to lose hope
丢脸,scandalous,well-known ,to promote,persecute
穿着,attire,attune,entire,attic
伴随,accompany,company,to break a promise,meeting
细查,canvass,carcass,canvas,attack
倒退,backset,construction,to take a wrong step in life,progress
确认,verification,demolish sb's argument,accepted ,to deny 
锯屑,sawdust,roseate,polemic,barley
徒步旅行,hike,wide,spike,mime
使某事复杂化,complicate,implicate,complicity,turbid
关闭,closure,enclosure,censure,close
不连贯的,disconnected,economical,jam,confirm
咯咯笑,giggle,wiggle,goggle,mingle
(女人)体态苗条的,svelte,swelter,shelter,stele
肮脏,seamy,shaky,sham,steamy
星状,astral,mortgage,amount,payable
喜剧演员,comic,topic,toxic,colic
万灵药,panacea,palace,autobahn,syllable
杂乱,disjointed,impoverished,fluffy,difficult
清洗,cleanse,lease,crease,cleave
擦痛,chafe,case,cafe,chap
恭敬,reverent,reverend,reverence,revert
不动,quiescent,blood-soaked,ruthless,eternal
控诉,indict,idiot,inflict,insist
合作,cooperation,grope,make a hasty last-minute effort,fully displaying one's capabilities
青霉素,penicillin,physique,depression,anthracite
同时发生,simultaneous,geriatrics,flog,entrails
(使)烦躁,fret,net,few,facet
调色板,palette,gazette,palate,epaulette
管子工,plumber,slumber,lumber,climber
荒诞不经,chimerical,nicely,lifelike,uncertain
搞两面派,duplicitous,to hear told,turn ,to rebel
冷淡,aloof,loom,flood,loaf
连锁,interlocking,be irrelevant,be linked,to influence
不同,disparity,dispirit,almost, nearly,similarity
(观点等)强硬的,pronounced,useful,state in writing,unofficial
周期,periodic,periodical,period,the Northern Song Dynasty 
真诚,genuine,equine,engine,loyal to
轻蔑,scorn,score,store,scowl
肠胃气胀,flatulence,rope,warrior,thickset
无意,involuntary,exactly,conscious,specialized
停止偿付,moratorium,discus,drive,purely
缓和,alleviate,hurriedly,loosen,to strengthen
谷仓,barn,warn,burn,pare
灾难性的,catastrophic,hippodrome,zoologist,redundancy
压坏,crush,cough,brush,rust
隐语,argot,arson,harlot,arrow
未受过训练的,undisciplined,inclusive,expand,itinerant
飘泊,divagate,toil,to depend on,to  exile
极坏,execrable,execrate,notice,binomial
消除...的疲劳,refresh,repress,regress,afresh
态度暧昧,noncommittal,inconstant,mutinous,canvas
奉为神,deify,decay,deity,beefy
挫败,crestfallen,to succeed,crumble,not do one's best
堕落,corruption,correction,promote,issue for enforcement
民众,populace,popular,copulate,populate
商业,commerce,commence,coerce,compere
严肃,seriousness,to make more mild,economic crisis,helpless
(附属于教堂或监狱等的)小教堂,chapel,boar,endanger,ratchet
招惹,incur,input,concur,cur
挖洞,burrow,borrow,furrow,barrow
给...淡淡地着色,tint,withdrawal,discontent,outclass
非常热心,perfervid,careless,guilty,brassiere
挑毛病,cavil,carol,pail,cavity
(食物)易坏的,perishable,fanatic,priority,destined
游荡,loiter,potter,liver,litter
残暴,atrocity,ferocity,jolly,honest and sincere
(动作、生活的)步调,tempo,tempt,hemp,memo
定量,quantum,capacity,plural,number of times
可以理解,scrutable,vegetable,guess,customary
孤独,solitude,solicitude,difficult,lonely
好管闲事的人,busybody,desperate,hourly,chicken
肝炎,hepatitis,septicaemia,"bird flu" ,measles
固有,inherent,inherit,indecent,incoherent
牢固,stable,fable,sable,stage
行人,pedestrian,a distant relative with the same family name,passenger,visitor
肮脏,dingy,dinky,stingy,dinghy
稳重,staid,patient ,really,to float
(马)飞奔,gallop,wallop,gallon,alloy
羊齿植物,fern,furnish and decorate ,house pet,articles
全神贯注于,engross,egress,gross,spinning
(尤指思想或感官)敏锐,acuity,acidity,acute,fruity
镶木地板艺术或图案,parquetry,baa,stupid,ok
人为,factitious,exact,gruff,flexible
作伪证,perjure,perjury,peruse,perturb
陡峭,precipitous,four-sided,arch,oblate
谜,enigma,stigma,wheat,concrete
赶上并超过,overtake,overtime,overrate,overture
静止,quiescence,sweeping,pitiless,heavy
崇敬,reverence,reference,preference,reverent
多数,multitude,altitude,all,"not even a blade of grass grows"
戒掉,wean,near,wed,tan
中子,neutron,neutral,living creature,electronic
顺从,deferential,to violate,to infringe,unconstitutional
意外,contingent,cotangent,continent,cannot go so far
香草,vanilla,straw,Chenopodium album,black henbane
生计,sustenance,humanity,breakfast,a simple meal
阁楼,attic,attire,attain,astir
大量生产,spawn,terra,python,agreement
和别人隔离,seclude,secure,preclude,exclude
易感性,susceptibility,tremendous,bequest,hovel
仪式隆重,ceremonious,jigsaw,cinnamon,desperate
暴行,outrage,courage,outface,scepter
肖像画,portrait,portray,reel,caricature
芳香,bouquet,banquet,foul smell,colorful
(煮汤用的)大锅,caldron,carbonize,plod,gap
过分守礼,prudery,loaf,coke,unbosom
后悔,rueful,take no notice of,repent,not reconciled to
长矛,lance,lunge,lank,ounce
内省,introspection,would rather ,conviction,inadvertent
食肉动物,carnivore,dispute,passbook,brute
厌食症,anorexia,gastritis,hepatitis,leukemia
旁听,audit,aunt,suit,bandit
爱好探察洞穴的人,spelunker,mental,damnation,carat
宽厚,charitable,honest,sin,sinister
最低,nethermost,so big,gallon,to stand tall
假定,postulate,postdate,populate,because
刺猬,hedgehog,tapir,porcupine,wolves 
不幸,adversity,diversity,adversary,disadvantageous
马弓背跳跃,buck,sulk,deck,suck
未留遗嘱,intestate,testate,integrate,intestine
斗篷,poncho,crown,hat,cap
半瓶醋,dilettante,capable,incapable,short and pithy
(音乐)断音的,staccato,naval,oilfield,jobless
水獭,otter,loiter,butter,often
拍翅,flutter,clatter,latter,fluster
恭顺,submissive,submission,not stint,pride
国家的税收收入,revenue,venue,revenge,reverse
未经证实,unsubstantiated,feminine,cockatoo,shaky
贿赂,bribe,brave,write,bridge
打谷,thresh,these,tress,thrust
暂缓,suspend,suspender,suspense,spend
儿女,offspring,daughter,only son,brothers
溺爱,dote,dose,rote,zone
声称拥有的权力,claim,reclaim,flair,clam
(使)减速,decelerate,bread,sound,implacable
狡猾,slippery,shipper,skipper,clippers
(日、月等)晕,halo,hate,Cal,hulk
挽回(错误),retrieve,relieve,reprieve,Ireland
圆帽,bonnet,tonne,banner,connect
讲坛,podium,spire,pavilion,platform
显要人物,mogul,twaddle,random,reign
和弦,chord,chop,core,chary
共生(关系),symbiosis,postal,twenty,composure
愤怒,ire,concern,complacent,feel wronged and act rashly
统治者,potentate,despot,taxpayer,contractor
轻率的(地),headlong,headline,headland,paraffin
军火,munitions,Mauser pistol,rough bamboo mat,horseshoe
使湿透,drench,French,trench,wrench
绝食,fast,feat,fasten,art
使陷于危险中,imperil,imperial,peril,impel
凭正当理由的,warranted,fence,conduit,geometry
深奥,profundity,subtle,commonplace,inferior
堡垒,bulwark,city gate tower,arsenal,database
借口,pretence,credence,presence,prudence
双重,dual,goal,veal,duel
市政当局(指城市行政区及管理者),municipality,midden,crucible,cocktail
没骨气的,spineless,sinless,wisdom,astute
大炮,ordnance,ordinance,revolver,pike
现象学(对现象的哲学研究),phenomenology,fellow,monolithic,gaze
护城河,fosse,river,seaside,underground river
恶作剧,prank,plant,spank,plank
(脸色)变苍白的,blanch,branch,blench,bleach
大胆,audacity,keep on fighting in spite of all setbacks,bold and decisive,abide by the law and behave oneself
解冻,debacle,deteriorate,cooling,freeze
用...作抵押,mortgage,mortgagee,mortgager,montage
要求,requisition,expectation,aspire,to seek
难以察觉,unobservable,create,savour,desire
神圣,sacred,screw,acrid,hatred
有资格的,qualified,ticklish,country,doze
西风,zephyr,storm wind,head wind,east wind
储备,reserve,deserve,preserve,referee
推荐,recommend,commend,exhort,recommend 
外科手术刀,scalpel,scalp,scale,scamper
(病)间歇性的,remittent,distort,contraband,ambience
力劝,exhort,export,extort,expert
(女人的)化妆室,boudoir,library,study ,office
预示,foreshadow,approve,reaction,to illustrate
盲从,sequacious,obey ,to be contrary to,unconstitutional
倒退,retrogress,progress step by step,promote,routine
遵循,comply,comely,imply,homely
说笑,jest,test,rest,pest
不安全的,insecure,insure,secure,vindicate
陈词滥调,platitude,altitude,latitude,gratitude
名义上的,nominal,comical,nominee,nominate
纪念性的,memorial,memorize,immemorial,manly
眼睛,ocular,jocular,secular,popular
不成比例,incommensurate,vegetable,practise,verb
暗示,inkling,inning,incline,to describe
埋葬,inter,rehearse,education,ease
自负,vainglorious,undertake the whole thing,retirement ,conceited
唠叨,garrulous,speech,empty out,to say more than is necessary
不惊慌的,unflappable,unruffled,undisturbed,ashamed
初生儿,neonate,blemish,spectre,love
北极,arctic,hectic,narcotic,attic
小湾,creek,cream,leek,trek
为...复仇,avenge,avenue,verge,average
炫耀,showy,snowy,shock,show
鉴赏家,connoisseur,investigator,technician,reviewer
嘲笑,sarcasm,carcass,lit.: slap the table and shout with praise,dispute
有同情心,compassionate,shaver,offer,janitor
篡改,falsification,set to rights things which have been thrown into disorder,to correct an error,to picket
同意给予,grant,groan,craft,giant
讨论会,conference,confidence,inference,confluence
不爱抛头露面的,self-effacing,revenue,womanly,horsepower
慌张,flustered,cool,be indecisive,urgent
不可剥夺,inalienable,digress,anodyne,ibid
把...浸入水中,douse,hussar,affidavit,nervous
传染,contagious,contagion,contiguous,infection
废除,rescind,descend,resound,resin
契约,indenture,denture,factory regulations,bound by an oath
卑下,reptilian,priceless,core,shabby
木匠,carpenter,carpentry,mason,gardener
辱骂,vituperative,curse,hoot,abuse
翱翔,hover,lover,haven,hole
娇生惯养的人,mollycoddle,lengthwise,scrawl,pacifist
减轻,mitigate,litigate,mutilate,militate
频率,frequency,frequent,adult,Marathon
(音乐,diminuendo,smokestack,guile,eaves
警报,alert,fleet,overt,blurt
陈腐,trite,urine,twine,bite
存货清单,inventory,investor,inventor,powdery
使...惊讶发愣,dumbfound,nausea,linear,she
自治,autonomy,astronomy,public security,autonomy
维护,preservation,escort the Emperor,tend,wait upon
码头,quay,way,fury,say
小瓶(药水瓶),phial,pill,petal,pail
颇胖,plump,plumb,slump,plume
不谨慎的,indiscreet,discreet,codicil,humble
护送者,escort,scorn,sort,scoot
闲荡,dally,really,alloy,sally
难变更的,byzantine,airy,narky,single
削去...的皮,peel,feel,keep,pew
不重要的,peripheral,outskirts,foreign,outdoor
螺丝起子,screwdriver,diamond,cramp,ear of maize
基础,substratum,underline,level,marginal
顽固,hidebound,icebound,arise from the dead,not know how to appreciate favors
诱惑力,lure,burn,lyre,here
壁橱,closet,clot,close,corset
浏览,skim,kid,seem,ski
赞扬,praise,prize,appraise,raise
原则,principle,principal,amino,adverbial adjunct
锉刀,file,silk,hive,fist
卑鄙,ignoble,noble,ennoble,ignore
大败,rout,root,route,rota
罪犯,malefactor,scenario,fume,gymnasium
影响使改变,sway,say,seamy,slam
假设,hypothesis,thereupon,so,regardless of
未经教育,untutored,solicitude,consist,croquet
赎罪,redeem,deem,redden,impose 
呼吸,respiration,vomit,snore,sting
宗教的供品,oblation,relation,obligation,oblivion
麻木,numb,pub,hump,nab
谨慎,discretion,act recklessly,take to heart,firm
死气沉沉,torpor,torso,torpid,horror
挥发性的,volatile,thigh,impression,skid
慢吞吞的,dilatory,to block,meet by chance,communication
(用以刻写图案、文字的)模板,stencil,stench,utensil,pencil
敏捷,agile,gill,ankle,ail
凝聚,agglomerate,to reunite,to converge,gather
(使)茫然,stupefy,stuffy,jobless,felicitate
溴化物,bromide,locust,worry,weak
匮乏,destitution,extensive,moving,unlimited
严肃,demure,demur,denude,deduce
长柄大锤,sledgehammer,inward,attest,confident
平衡物,equipoise,upend,elm,henceforth
愉快,exuberance,awfully,great celebration,to the satisfaction of everyone
妇人政治,gynaecocracy,author,vomit,enchant
征兵,levy,lever,wavy,level
(上下船的)跳板,gangway,anyway,gateway,muzzy
平常,commonplace,first-class,trials and tribulations,eligible 
辞行,farewell,in opposition to,to support,abide
刻字,lettering,pierce,hew,engrave
火葬用的柴堆,pyre,volleyball,renovate,wasp
对...估计过高,overestimate,patentee,fellowship,livelihood
珐琅,enamel,camel,navel,namely
没有资格,ineligible,ripen,thorough,expire
缓和,mollification,weaken,hurriedly,to strengthen
格言,adage,agape,addle,page
杂种,hybrid,horrid,Indo-european ,mutation
无生命的,inanimate,intimate,reanimate,sadness
仲裁,arbitrate,arbitrary,arbitrage,schedule in advance
有棕色斑纹的,brindled,beefsteak,refugee,subvert
提升,upgrade,degrade,grade,parade
派系斗争,faction,ration,function,action
混合物,amalgam,as a whole,prey,historical relic
极度喜爱或仰慕,idolize,idealize,rough,timezone
使相等,poise,pile,rose,pose
令人不悦,undesirable,beloved,dreary,sad
(指人)语言流利的,fluent,fleet,foment,affluent
迅速成长,burgeon,surgeon,burden,dudgeon
使容易,facilitate,excited,put an end to,in addition
骚扰,molest,moment,moist,mole
符合,correspondent,unpractical,congenial,ought  out
透视法,perspective,warden,stamp,bitter
教导,indoctrinate,nest,cunning,sequence
限制,confine,confuse,condone,connive
时髦,modish,polish,mulish,modify
件,missive,mission,massive,misfire
抢劫,plunder,slander,slender,bounder
采石场,quarry,quarrel,harry,marry
头韵,alliteration,murmur,benefit,arrant
谨慎,prudence,credence,prudent,presence
谷物的皮壳,chaff,chart,calf,chase
刨子,plane,biplane,palate,bane
参加暴动,riot,wrist,rot,tilt
不文明的,unenlightened,insurance,flirt,temperance
分歧,diverge,verge,diverse,divert
心脏病专家,cardiologist,casserole,sparrow,snore
预测,prognosticate,guess,expect,expectation
偏执狂的,paranoid,astrology,maelstrom,nonce
粗俗,artless,well-timed,grandeur,full of  tenderness or affection 
(一堆)碎石,rubble,rabble,ruffle,rumble
引用,quote,lute,equate,quite
接合,splice,spike,spire,slick
易变,variable,viable,invariable,amiable
难以满足,implacable,impeccable,adore,rainproof
属性,attribute,tribute,flexibility,possibility
大胆,forwardness,unremitting,bold and decisive,make known
目的,intent,invent,indent,infant
发狂,maniacal,stoppage,paralysis,uterine bleeding
承认,acknowledge,retort,to criticize,attack 
使痛苦,embitter,bitter,jaunt,duffer
妨碍,impediment,impenitent,to limit,in addition
对称,symmetry,dramatic,appropriate,suit
放纵,indulgence,indulgent,to ingratiate oneself,to dupe
油渍,smear,scar,star,spear
回荡着声音,resound,sound,respond,redound
描述,recount,redound,account,resound
用巧计或花言巧语获得某事物,wangle,mingle,waggle,tangle
羽饰,panache,lightning,to radiate,lighten
兴冲冲,ebullience,to bow,mixed feelings of grief and joy,great celebration
排除,foreclose,put an end to,brush,perish
电影放映机,projector,protector,project,prosecutor
渗漏,leakage,cleavage,breakage,adjoin
血小板,plaque,plague,clique,place
(以甜言蜜语)哄骗,cajole,carol,castle,cackle
分析,analysis,analyst,analyse,analytic
博览会,exposition,opposition,position,deposition
车床,lathe,late,hate,lithe
树木,arboreal,lacebark pine,thicket,scar
(使)窒息而死,suffocate,impose,addressee,womb
要素,element,lament,eleventh,clement
弄皱,ruffle,raffle,muffle,piffle
不重要的,inconsequential,scratching the surface,next,importance
清楚,distinct,instinct,indistinct,distract
在(硬物)上雕刻,engrave,enrage,engage,enslave
情操高尚,high-minded,edict,heretic,derelict
增加,addition,audition,additive,edition
四处搜索,scour,scout,spoor,scoot
猪,swine,duchess,wintry,trout
放弃,relinquish,to forfeit,to risk one's life,involve
多刺,prickly,prickle,sickly,tricky
口述,dictate,dictator,distaste,dilate
放火,incendiary,staking,win,broken circuit
调情,flirtatious,seek,propose marriage,engagement
冠(状物),corona,corolla,colon,cornea
吹毛求疵,carp,cab,crap,burp
梯子横挡,rung,seniority,phase,order
有系统的,systematic,negotiate,perforate,vicarious
谬误,fallacy,wallaby,allay,rationale
勉强,reluctance,make threats,entice,force
棘手的问题,tickler,title,blank examine paper,problem
奴役,bondage,montage,bandage,abdicate
顺从,subjection,objection,subjective,to violate
因循守旧,conventional,just,lag ,selfish
危急关头,exigence,consume,enigmatic,chloroform
有适应能力的,adaptable,hands,igneous,guideline
除毒,detoxicate,wash,to sweep away,purge
乡巴佬,yokel,overseas Chinese,ethnic Chinese,fellow citizen or countryman
宁静,tranquility,panic,thirsting or hungering for sth.,pressing
(对事业,committed,pilfer,parry,overstock
假作悲伤,bathetic,democracy,to start,justly
瑕疵,flaw,flat,foal,claw
背叛者,turncoat,turnout,economics,retreat
为动物寻找饲料的人,forager,roundly,platelayer,ownership
转向,veer,near,gear,never
本能,instinct,instance,indistinct,instruct
蒸发,vaporization,molten,singe,burn down
肩章,epaulet,shoulder emblem,candle,badge
可估量的,ponderable,timber,mash,friendship
地层,stratum,strum,status,erratum
钩状物,crook,croon,broom,droop
不关心政治的,apolitical,naked,accordance,morrow
不含糊的,unequivocal,feasible,vague,suspicious
加入叛变,mutinous,luminous,glutinous,stud
一点儿,whit,hit,grit,whet
规范,norm,dorm,foam,loam
精华,marrow,harrow,arrow,narrow
丑陋的女人,gorgon,musk,moonlight,raider
泻湖,lagoon,stream,Changjiang River,swimming pond
不文雅的举止,gaucheness,studio,sortie,boulder
天生,instinctive,no danger of anything going wrong,ready made,originally
冒昧,presumption,patient ,generous,sensitive
全部服装,wardrobe,nightshirt,flighty,apprehend
令人不快,noisome,noise,sensory,vocal
奏鸣曲,sonata,sonar,donate,senate
磨破,threadbare,democracy,fall behind,dictatorship
自制,self-control,collect and process,inhibit,to develop
为小事争吵,bicker,pucker,wicket,backer
使痛苦,aggrieve,vacate,thunderous,salvo
冰雹,hail,haul,jail,sail
龌龊,filthy,filmy,fishy,filth
激励,hortative,impose by force,spoil things through excessive enthusiasm,promote
(衣服上的)褶,pleat,plea,neat,clear
宗派活动,factionalism,distinct,ream,indelible
宣誓书,affidavit,inveigh,luscious,arouse
改变方向,redirect,bannal,marrow,stepfather
激发,incite,innate,incise,ignite
有根据的,valid,rabid,amid,vivid
不毛,infertile,infantile,fertile,furious
深思,contemplate,to remember,pursue ,woo
严厉批评,excoriate,anarchy,expansion,harpoon
大吃大喝,consume,consumer,conjure,contuse
剂量,dose,role,rouse,hose
周长,perimeter,parameter,size,illumination
戴在动物颈部的项圈,collar,solar,cellar,cola
避难所,asylum,slum,phylum,cinema
顶点,culmination,octave,limitation,half of sth
畅饮,quaff,chew,hold in the mouth,my goodness
肮脏,filth,faith,pith,filch
核心,kernel,kennel,keel,vernal
长篇,voluminous,luminous,reading material,finalize a manuscript, text, etc.
侮辱,indignity,infinity,dignity,indemnity
夸张,overstate,overrate,overtake,overstay
讨厌的工作,chore,shoe,cone,core
贪得,acquisitive,malformed,moribund,dastardly
优越(感),superiority,aviation,wrongful,earthquake
(使某物)发出轻而爽的声音,rustle,wrestle,rumple,castle
血亲,consanguinity,marriage connections,to mail,collective
使震动,convulse,contuse,confuse,converse
挑衅,belligerent,blessings,create out of the imagination,manifest
禁酒者,teetotaler,mad,exude,bier
耐久,long-standing,sag,critical,strict
狐狸,vulpine,arctic fox,bear,apes and monkeys
同类,kindred,inbred,kindle,hundred
漫步,ramble,rumble,rubble,gamble
极深,abysmal,surgery,remunerate,straddle
使成核,nucleate,luxuriant,transplant,aura
私奔,elope,slope,lope,grope
解放,emancipate,internal disorder,fight,overthrow
平底锅,pan,pale,ply,pagan
阴谋,conspire,inspire,to plan,plot
陶器,ceramics,theostat,siren,chinaware
到目前为止,hitherto,hither,awaken,hub
变形,distortion,appraise at the current rate,change of direction,disperse
雄鹅,gander,anger,manner,gender
义务,onus,us,genus,nun
经文,scripture,stricture,sculpture,scriptural
枝形吊灯(烛台),chandelier,chandler,dioxide,shaggy
无粘性的,nonviscous,alcohol,enjoyable,yearn
难读,illegible,legible,lamppost,quietude
上升,ascendant,attendant,descendant,to lose weight
折缝,crease,cress,crave,please
能抓物的,prehensile,authority,eventful,venial
污秽,squalid,squad,squall,squalor
迅速,velocity,ferocity,felicity,in the depth of night
排挤,supplant,supplicant,plot against,isolate
承认,avow,vox,cow,allow
记者,reportorial,translate,editor,nurse
听诊器,stethoscope,memorable,humorous,genus
特意,expressly,exhaustion,casual,unmanned
后代,descendant,ascendant,defendant,close friend
成分,component,opponent,competent,nourish
不需证明,axiomatic,automatic,idiomatic,collector
(音乐)无调的,atonal,total,tonal,national
扭曲,awry,way,wry,angry
出价,bid,value of output,property,bid
怨恨,spite,smite,slice,spate
鄙视,despise,despite,dispose,devise
长期,long-term,short,adult,many years
轻啄,peck,pert,jack,speck
思潮信仰,ethos,lustful,avid,staunch
拖延,temporize,memorize,to delay,be unable to stand 
敬意,deference,inference,reference,defence
排列,range,derange,rare,rage
桉树,eucalyptus,castor-oil plant,beet,cane
创造性,originality,diversity,borderline,constructiveness
分配,dispense,dispose,disperse,suspense
歧视的,discriminatory,gut,mischief,etiquette
保存,conservation,succeeded in finding,to store,to look for an opportunity
反感,disgust,disguise,distrust,discuss
授权给某人采取行动,empower,employer,power,saunter
光亮,lustre,austere,lust,hustle
专横,despotic,progress,close the country to international intercourse,fall behind
催眠状态,hypnosis,hypnotism,scenario,extort
对手,opponent,component,exponent,a stranger
实验参照组,control,central,vast,bay
教师,pedagogue,pedagogy,demagogue,a teacher in charge of a class
(对人或物)有矛盾看法的,ambivalent,traffic,carcinogen,palate
不必要的,otiose,dynamic equilibrium,balance,extant
卫生,sanitary,sanity,salutary,sanctuary
有名,celebrated,corruption,humiliation,nameless
不定时发生的,sporadic,Eire,official,cheeky
危及,jeopardize,laborious,sag,exultation
(大量)供给,purvey,survey,pure,purser
愤世嫉俗,cynical,conical,typical,lyrical
门厅,foyer,poser,flyer,loser
有臭味的,malodorous,spindle,prosaic,tingle
出现,emergence,emergency,emergent,to reappear
损害,tamper,harmful,convenient for,insurmountable
浮标,buoy,booty,buzz,coy
弄污,defile,derive,define,docile
脆弱,frailty,frail,fruity,faulty
使逐渐形成,evolve,revolve,devolve,involve
讽刺,sarcastic,disagree,sneer,fig.: wonderful!
趋势,trend,rend,abend,tread
林中的空地,glade,lode,lady,lame
生命短暂,ephemeral,foam,grade,hemisphere
取出肠及内脏,eviscerate,suitable,cocoon,snack
得救,salvation,starvation,salutation,valuation
内向的人,introvert,unfeeling,tidal,fitful
指责,denounce,announce,renounce,to hide
侵犯,trespass,order subject about,accomplice,corrode
单调,monotonous,laughable,peculiarity,pitiful
充满,abound,around,pound,sound
有抵抗力,resistant,hesitant,resistance,assistant
坏疽,gangrene,frequently-occurring disease,heart disease,"bird flu" 
毒液,venom,vent,tenor,vend
令人不快,offensive,defensive,carbolic,engagement
回答,rejoin,rein,resin,recoil
幸灾乐祸地看,gloat,slot,gnat,goat
落叶剂,defoliator,seedling,absorption,chary
确定,assured,to survey and evaluate,foregone conclusion,specified
永久,eternal,external,paternal,maternal
警戒线,cordon,foul line,border line,bound
陶冶,edify,unify,defy,edict
可交换的,exchangeable,pine,transship,flirt
嘲笑,derisive,decisive,derive,libel
花房,greenhouse,woodland,Taoyuan ,barn
认识论(对知识本质的研究),epistemology,tremble,slew,announcer
困惑,discomfited,usual practice,fascinate,not be fond of certain food
解放(奴隶),manumit,perception,automobile,strand
不省人事,unconscious,heartless,stifle,paralysis
不连续的,discontinuous,amiable,country,buffalo
不近人情,inhumane,humane,inhuman,cherish the outmoded and preserve the outworn - be conservative
富足,ample,gamble,apple,sample
好辩,contentious,ignorant,blur,senate
饿极了的,ravenous,just and fair,despicable and filthy,honest
显著,arresting,to be of use,illegal,mysterious
(雨)猛降,pelt,pat,wet,belt
遗漏,omission,mission,emission,fission
拙劣诗人,versemonger,palpable,okay,harness
不合身的,unbecoming,him,midmost,neutron
不可触摸,intangible,tangible,ascertain,clod
提高,elevation,delegation,elation,legation
妨害,encumber,cucumber,number,harmful
(系狗的)绳子,leash,custard,prototype,perch
负有责任,accountability,subsidy,textbook,surveyor
尖刻,pungency,sin,malicious,tyrannical
朝圣之旅,pilgrimage,livestock,tease,kowtow
唠叨,garrulity,grunt,whisper,a speech
注视,fixate,overlook,to watch,kiss
使隔离,sequester,semester,expose,equinox
有吸引力,enticing,narrow,nasty,small
大脑,cerebrum,cerebral,dimple,the white of the eye
(液体等)渗漏,seep,deft,abdicate,look
音色,timbre,probable,flexibility,performance
扮小丑,clown,frown,cow,clean
萤火虫,firefly,grasshopper,caterpillar,earthworm
描画,delineate,delicate,deliberate,emend
相关,relevant,irrelevant,reliant,elegant
眼科学,ophthalmology,senate,discourse,pliable
使凝结,curdle,purple,cuddle,cradle
真正,authentic,as a matter of fact,unavoidable,simply
铜锈,verdigris,cool off,corruption,labor
猛烈抨击,fulminate,culminate,ruminate,inapt
追想,retrospective,concerned,to demand,to seek
突然袭击,assault,assail,profitable,kettle
测量员,surveyor,survivor,survey,trapeze
愚笨,unwise,flexibility,bookishness,wise and farsighted
停滞,stasis,up to,cease fire,market close
奉承,palaver,palate,salver,player
(使)倾斜,tilt,filth,hilt,teat
反射,reflect,select,refract,deflect
礼节,decorum,deform,funeral,baptism
烤肉架,barbecue,plain boiled pork,lettuce,rice flour meat
(枪炮)齐射,fusillade,at every turn,frequently,moment
(狗尾巴等)摆动,wag,pan,bad,tag
不稳定,limbo,jumbo,akimbo,climb
浓缩,condense,condenser,condone,converse
怀孕,pregnant,poignant,pregnancy,pennant
火花,spark,shark,spank,spade
马屁精,sycophant,equip,astrology,precursor
促进,accelerate,arouse,obstruct,put an end to
朴素,severity,idleness,diligent,great effort
神化,deification,liquefy,to commercialize,to turn into
皈依者,proselyte,pram,intoxicate,preemption
